Scenario,Model,N,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time
Static Model,NN,4,3,0.3631654676258993,0.5561921551344204,0.9794612730183636,0.43941504178272983,0.9084067631705082,0.43957799390032354,0.017992998159973062,37.21597034204751,0.2546876799315214
Updated Model,NN,4,3,0.3786472148541114,0.50330542089026,0.9808581615925805,0.432166508987701,0.9013400550698678,0.4270626937676556,0.01748265705750239,55.56948654190637,0.24805000401102006
Static Model,NN,4,4,0.18953362255965292,0.39335959482273497,0.9740588602992767,0.25580969807868253,0.8649480403265103,0.26127735183725304,0.02231976094034291,37.21597034204751,0.2436267079319805
Updated Model,NN,4,4,0.2109059434506636,0.4113674732695554,0.975883095842529,0.2788479877932481,0.8626275295836765,0.28346455555792993,0.021507315872962104,61.64937749598175,0.2524392760824412
Static Model,NN,4,-1,0.27376797431243893,0.48467622343054867,0.9767600580440433,0.3498974038718886,0.889538680248625,0.35341715410809604,0.020156386449685634,37.21597034204751,0.24915719393175095
Updated Model,NN,4,-1,0.28895402653502006,0.462926347009392,0.9783706207842324,0.35581306990881456,0.8842642090938777,0.3553744588956735,0.0194949928830199,58.60943201894406,0.25024464004673064
Static Model,NN,6,4,0.3924050632911392,0.5279805352798054,0.979716412483974,0.45020746887966806,0.906115379042806,0.4451403893286424,0.017866726376851844,53.216057036072016,0.16740336595103145
Updated Model,NN,6,4,0.3385615914307575,0.5383211678832117,0.9761954878585507,0.41568811648661347,0.9088652173043091,0.4155482433027427,0.01876470327355512,74.64857527799904,0.16075073298998177
Static Model,NN,6,5,0.24320987654320989,0.4820554649265905,0.9763294360779962,0.32330415754923414,0.8761878100184977,0.33169694689960944,0.02016152622971577,53.216057036072016,0.16588365496136248
Updated Model,NN,6,5,0.312408043158411,0.5195758564437194,0.9809506496488644,0.3901990811638591,0.8933272817099265,0.39391756584241866,0.017428791892664195,86.1081110779196,0.16774407192133367
Static Model,NN,6,6,0.17689822294022617,0.37244897959183676,0.9734402357466106,0.23986856516977,0.8679344043917945,0.24463438504962406,0.022709662776428594,53.216057036072016,0.16653459006920457
Updated Model,NN,6,6,0.17701504049363673,0.3903061224489796,0.972722662865125,0.2435659326081189,0.8732213110610259,0.2506678999296923,0.023703232447780456,49.564263042993844,0.16693621198646724
Static Model,NN,6,-1,0.26650744591177294,0.4688581314878893,0.9764953516926855,0.3398423504120387,0.8858279746247173,0.34247455696155465,0.020245979651617015,53.216057036072016,0.16660720366053283
Updated Model,NN,6,-1,0.2733922163952526,0.48961937716262977,0.9766229210186411,0.35086787105915695,0.8932529633660338,0.35499490754947993,0.01996558779159151,70.10698313297083,0.16514367229926089
Static Model,NN,8,5,0.2948128693368352,0.45445344129554655,0.9794228708475787,0.357626443647949,0.8908938855412233,0.35608769971035836,0.016932328859881964,60.309791021980345,0.0859966860152781
