Scenario,Model,N,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time
Static Model,SVM,4,3,0.2215528781793842,0.6433430515063168,0.998469075669616,0.32959920338561116,0.9200813585845512,0.3769710880701016,0.0020985021706509456,116.79875193489715,319.44718817505054
Updated Model,SVM,4,3,0.23020833333333332,0.6443148688046647,0.9985316087837423,0.33921719109746734,0.9159739735102224,0.3845807176380433,0.0020343144317995433,128.30769239994697,329.0799559468869
Static Model,SVM,4,4,0.1496103896103896,0.6167023554603854,0.9989676351340596,0.2408026755852843,0.9270753436045638,0.3034189936748858,0.0016200359398435796,116.79875193489715,316.2179930449929
Updated Model,SVM,4,4,0.10919143054595715,0.6766595289079229,0.998448610286811,0.18803927402558762,0.9064573407312049,0.27141720532161123,0.002010784034713012,37.31417419412173,138.9487459801603
Static Model,SVM,4,-1,0.19336454304905354,0.6350267379679144,0.9987183554018378,0.2964581057887346,0.9221429753954492,0.3499646138134359,0.0018592690552472644,116.79875193489715,317.8325906100217
Updated Model,SVM,4,-1,0.16955316937997922,0.6544117647058824,0.9984901095352766,0.2693259972489684,0.9116359325080723,0.33261129722064586,0.0020225492332562756,82.81093329703435,234.0143509635236
Static Model,SVM,6,4,0.21762948207171315,0.6388888888888888,0.9984497472525223,0.324665676077266,0.9191972599371266,0.37231012914569445,0.0020805240429014544,77.41478193900548,117.1964443619363
Updated Model,SVM,6,4,0.21576354679802956,0.6403508771929824,0.9984326927668515,0.3227708179808401,0.9160827977893747,0.3711293905038029,0.0020903397700094595,71.4044473581016,114.06320202513598
Static Model,SVM,6,5,0.1861671469740634,0.6729166666666667,0.9986620755991241,0.291647855530474,0.9306846833291818,0.35349776482585477,0.0018757925661050407,77.41478193900548,114.86739453417249
Updated Model,SVM,6,5,0.131062124248497,0.68125,0.9980208269379012,0.21983193277310928,0.9282535466173363,0.2982529955456015,0.002566955927945011,21.947012339020148,77.88084368803538
Static Model,SVM,6,6,0.15562913907284767,0.5662650602409639,0.9990074289339582,0.24415584415584413,0.9117813390925307,0.29651719143182914,0.0015606864279823509,77.41478193900548,115.13402978214435
Updated Model,SVM,6,6,0.1480891719745223,0.5602409638554217,0.9989630872712141,0.23425692695214104,0.9088569793769321,0.2876816880318027,0.001765191018042431,16.562084150034934,69.11016608192585
Static Model,SVM,6,-1,0.1914764694001212,0.6336898395721925,0.9987064172618683,0.2940902745463006,0.920935146901588,0.3478793860459988,0.0018390010123296172,77.41478193900548,115.73262289275105
Updated Model,SVM,6,-1,0.16450441100155683,0.6356951871657754,0.9984722023253223,0.2613714442764876,0.9128418625601359,0.3228781425481506,0.0021408289053323004,36.63784794905223,87.01807059836574
Static Model,SVM,8,5,0.2244337680164722,0.6276391554702495,0.9984946573981222,0.33063700707785637,0.9010626815991334,0.37474860740502103,0.002075581082713457,65.35285813803785,84.58602325594984
Updated Model,SVM,8,5,0.21951219512195122,0.6218809980806143,0.9984662332553375,0.32448673009514273,0.9038091084592909,0.36889503723888456,0.002106754948414594,65.72132061002776,85.70077674416825
Static Model,SVM,8,6,0.23763066202090594,0.6712598425196851,0.9985662862379396,0.3510036026762738,0.9275557179420006,0.398859310301996,0.0019741993800634697,65.35285813803785,84.66080275201239
Updated Model,SVM,8,6,0.1955403087478559,0.6732283464566929,0.9982115529359865,0.3030571555161719,0.9314098025210472,0.36221992891933913,0.0023342228442882113,28.610372166149318,65.20497412304394
