Training Period,Testing Period,Training Error,Testing Error,Training Size,Testing Size
1,2,19,5,13547,13547
1,3,19,12,13547,13549
1,4,19,15,13547,13550
1,5,19,19,13547,13550
1,6,19,22,13547,13687
1,7,19,29,13547,13866
1,8,19,26,13547,13866
1,9,19,24,13547,13866
1,10,19,24,13547,13955
1,11,19,27,13547,13954
1,12,19,28,13547,13953
1,2,19,6,13547,13547
1,3,19,14,13547,13549
1,4,19,16,13547,13550
1,5,19,21,13547,13550
1,6,19,21,13547,13687
1,7,19,31,13547,13866
1,8,19,29,13547,13866
1,9,19,25,13547,13866
1,10,19,25,13547,13955
1,11,19,28,13547,13954
1,12,19,31,13547,13953
1,2,22,6,13547,13547
1,3,22,13,13547,13549
1,4,22,15,13547,13550
1,5,22,20,13547,13550
1,6,22,22,13547,13687
1,7,22,30,13547,13866
1,8,22,27,13547,13866
1,9,22,24,13547,13866
1,10,22,23,13547,13955
1,11,22,26,13547,13954
1,12,22,29,13547,13953
1,2,21,4,13547,13547
1,3,21,11,13547,13549
1,4,21,15,13547,13550
1,5,21,18,13547,13550
1,6,21,21,13547,13687
1,7,21,29,13547,13866
1,8,21,26,13547,13866
1,9,21,23,13547,13866
1,10,21,24,13547,13955
1,11,21,29,13547,13954
1,12,21,30,13547,13953
1,2,20,4,13547,13547
1,3,20,13,13547,13549
1,4,20,15,13547,13550
1,5,20,19,13547,13550
1,6,20,20,13547,13687
1,7,20,29,13547,13866
1,8,20,26,13547,13866
1,9,20,23,13547,13866
1,10,20,23,13547,13955
1,11,20,26,13547,13954
1,12,20,28,13547,13953
1,2,21,4,13547,13547
1,3,21,11,13547,13549
1,4,21,13,13547,13550
1,5,21,18,13547,13550
1,6,21,22,13547,13687
1,7,21,29,13547,13866
1,8,21,27,13547,13866
1,9,21,24,13547,13866
1,10,21,25,13547,13955
1,11,21,30,13547,13954
1,12,21,32,13547,13953
1,2,19,7,13547,13547
1,3,19,14,13547,13549
1,4,19,18,13547,13550
1,5,19,20,13547,13550
1,6,19,23,13547,13687
1,7,19,33,13547,13866
1,8,19,28,13547,13866
1,9,19,26,13547,13866
1,10,19,25,13547,13955
1,11,19,28,13547,13954
1,12,19,28,13547,13953
1,2,20,7,13547,13547
1,3,20,14,13547,13549
1,4,20,16,13547,13550
1,5,20,21,13547,13550
1,6,20,21,13547,13687
1,7,20,31,13547,13866
1,8,20,29,13547,13866
1,9,20,25,13547,13866
1,10,20,24,13547,13955
1,11,20,29,13547,13954
1,12,20,33,13547,13953
1,2,19,5,13547,13547
1,3,19,14,13547,13549
1,4,19,17,13547,13550
1,5,19,22,13547,13550
1,6,19,22,13547,13687
1,7,19,31,13547,13866
1,8,19,28,13547,13866
1,9,19,24,13547,13866
1,10,19,24,13547,13955
1,11,19,28,13547,13954
1,12,19,30,13547,13953
1,2,19,4,13547,13547
1,3,19,13,13547,13549
1,4,19,16,13547,13550
1,5,19,20,13547,13550
1,6,19,21,13547,13687
1,7,19,29,13547,13866
1,8,19,27,13547,13866
1,9,19,24,13547,13866
1,10,19,24,13547,13955
1,11,19,30,13547,13954
1,12,19,29,13547,13953
1,2,19,5,13547,13547
1,3,19,13,13547,13549
1,4,19,14,13547,13550
1,5,19,19,13547,13550
1,6,19,23,13547,13687
1,7,19,29,13547,13866
1,8,19,26,13547,13866
1,9,19,23,13547,13866
1,10,19,25,13547,13955
1,11,19,32,13547,13954
1,12,19,30,13547,13953
1,2,19,6,13547,13547
1,3,19,13,13547,13549
1,4,19,13,13547,13550
1,5,19,18,13547,13550
1,6,19,23,13547,13687
1,7,19,29,13547,13866
1,8,19,27,13547,13866
1,9,19,23,13547,13866
1,10,19,23,13547,13955
1,11,19,28,13547,13954
1,12,19,32,13547,13953
1,2,16,5,13547,13547
1,3,16,13,13547,13549
1,4,16,15,13547,13550
1,5,16,20,13547,13550
1,6,16,20,13547,13687
1,7,16,30,13547,13866
1,8,16,27,13547,13866
1,9,16,25,13547,13866
1,10,16,26,13547,13955
1,11,16,28,13547,13954
1,12,16,29,13547,13953
1,2,18,4,13547,13547
1,3,18,13,13547,13549
1,4,18,13,13547,13550
1,5,18,18,13547,13550
1,6,18,21,13547,13687
1,7,18,30,13547,13866
1,8,18,26,13547,13866
1,9,18,25,13547,13866
1,10,18,27,13547,13955
1,11,18,34,13547,13954
1,12,18,36,13547,13953
1,2,19,4,13547,13547
1,3,19,10,13547,13549
1,4,19,15,13547,13550
1,5,19,19,13547,13550
1,6,19,21,13547,13687
1,7,19,31,13547,13866
1,8,19,28,13547,13866
1,9,19,22,13547,13866
1,10,19,24,13547,13955
1,11,19,28,13547,13954
1,12,19,29,13547,13953
1,2,18,7,13547,13547
1,3,18,14,13547,13549
1,4,18,16,13547,13550
1,5,18,21,13547,13550
1,6,18,22,13547,13687
1,7,18,30,13547,13866
1,8,18,27,13547,13866
1,9,18,26,13547,13866
1,10,18,22,13547,13955
1,11,18,31,13547,13954
1,12,18,32,13547,13953
1,2,18,6,13547,13547
1,3,18,11,13547,13549
1,4,18,13,13547,13550
1,5,18,17,13547,13550
1,6,18,22,13547,13687
1,7,18,28,13547,13866
1,8,18,26,13547,13866
1,9,18,23,13547,13866
1,10,18,24,13547,13955
1,11,18,27,13547,13954
1,12,18,28,13547,13953
1,2,20,4,13547,13547
1,3,20,12,13547,13549
1,4,20,17,13547,13550
1,5,20,20,13547,13550
1,6,20,22,13547,13687
1,7,20,30,13547,13866
1,8,20,28,13547,13866
1,9,20,25,13547,13866
1,10,20,25,13547,13955
1,11,20,33,13547,13954
1,12,20,32,13547,13953
1,2,17,9,13547,13547
1,3,17,17,13547,13549
1,4,17,17,13547,13550
1,5,17,20,13547,13550
1,6,17,22,13547,13687
1,7,17,31,13547,13866
1,8,17,27,13547,13866
1,9,17,25,13547,13866
1,10,17,25,13547,13955
1,11,17,29,13547,13954
1,12,17,31,13547,13953
1,2,18,3,13547,13547
1,3,18,13,13547,13549
1,4,18,14,13547,13550
1,5,18,18,13547,13550
1,6,18,22,13547,13687
1,7,18,29,13547,13866
1,8,18,27,13547,13866
1,9,18,23,13547,13866
1,10,18,25,13547,13955
1,11,18,32,13547,13954
1,12,18,29,13547,13953
1,2,19,6,13547,13547
1,3,19,12,13547,13549
1,4,19,13,13547,13550
1,5,19,18,13547,13550
1,6,19,20,13547,13687
1,7,19,29,13547,13866
1,8,19,26,13547,13866
1,9,19,22,13547,13866
1,10,19,23,13547,13955
1,11,19,26,13547,13954
1,12,19,29,13547,13953
1,2,18,5,13547,13547
1,3,18,15,13547,13549
1,4,18,15,13547,13550
1,5,18,20,13547,13550
1,6,18,24,13547,13687
1,7,18,30,13547,13866
1,8,18,27,13547,13866
1,9,18,24,13547,13866
1,10,18,23,13547,13955
1,11,18,28,13547,13954
1,12,18,28,13547,13953
1,2,21,4,13547,13547
1,3,21,10,13547,13549
1,4,21,13,13547,13550
1,5,21,18,13547,13550
1,6,21,21,13547,13687
1,7,21,29,13547,13866
1,8,21,26,13547,13866
1,9,21,23,13547,13866
1,10,21,24,13547,13955
1,11,21,29,13547,13954
1,12,21,29,13547,13953
1,2,20,5,13547,13547
1,3,20,13,13547,13549
1,4,20,14,13547,13550
1,5,20,19,13547,13550
1,6,20,21,13547,13687
1,7,20,31,13547,13866
1,8,20,28,13547,13866
1,9,20,25,13547,13866
1,10,20,26,13547,13955
1,11,20,28,13547,13954
1,12,20,31,13547,13953
1,2,22,6,13547,13547
1,3,22,11,13547,13549
1,4,22,16,13547,13550
1,5,22,18,13547,13550
1,6,22,21,13547,13687
1,7,22,31,13547,13866
1,8,22,28,13547,13866
1,9,22,23,13547,13866
1,10,22,25,13547,13955
1,11,22,28,13547,13954
1,12,22,33,13547,13953
1,2,20,3,13547,13547
1,3,20,9,13547,13549
1,4,20,16,13547,13550
1,5,20,20,13547,13550
1,6,20,24,13547,13687
1,7,20,32,13547,13866
1,8,20,29,13547,13866
1,9,20,25,13547,13866
1,10,20,24,13547,13955
1,11,20,28,13547,13954
1,12,20,30,13547,13953
1,2,19,5,13547,13547
1,3,19,11,13547,13549
1,4,19,13,13547,13550
1,5,19,17,13547,13550
1,6,19,21,13547,13687
1,7,19,29,13547,13866
1,8,19,25,13547,13866
1,9,19,23,13547,13866
1,10,19,24,13547,13955
1,11,19,27,13547,13954
1,12,19,30,13547,13953
1,2,19,6,13547,13547
1,3,19,11,13547,13549
1,4,19,15,13547,13550
1,5,19,19,13547,13550
1,6,19,21,13547,13687
1,7,19,29,13547,13866
1,8,19,27,13547,13866
1,9,19,22,13547,13866
1,10,19,23,13547,13955
1,11,19,29,13547,13954
1,12,19,28,13547,13953
1,2,22,7,13547,13547
1,3,22,12,13547,13549
1,4,22,15,13547,13550
1,5,22,19,13547,13550
1,6,22,20,13547,13687
1,7,22,30,13547,13866
1,8,22,27,13547,13866
1,9,22,24,13547,13866
1,10,22,26,13547,13955
1,11,22,29,13547,13954
1,12,22,30,13547,13953
1,2,19,4,13547,13547
1,3,19,11,13547,13549
1,4,19,15,13547,13550
1,5,19,19,13547,13550
1,6,19,23,13547,13687
1,7,19,30,13547,13866
1,8,19,28,13547,13866
1,9,19,25,13547,13866
1,10,19,23,13547,13955
1,11,19,28,13547,13954
1,12,19,29,13547,13953
1,2,20,7,13547,13547
1,3,20,14,13547,13549
1,4,20,16,13547,13550
1,5,20,20,13547,13550
1,6,20,23,13547,13687
1,7,20,34,13547,13866
1,8,20,29,13547,13866
1,9,20,25,13547,13866
1,10,20,25,13547,13955
1,11,20,25,13547,13954
1,12,20,29,13547,13953
1,2,20,3,13547,13547
1,3,20,13,13547,13549
1,4,20,15,13547,13550
1,5,20,19,13547,13550
1,6,20,21,13547,13687
1,7,20,31,13547,13866
1,8,20,28,13547,13866
1,9,20,25,13547,13866
1,10,20,27,13547,13955
1,11,20,31,13547,13954
1,12,20,33,13547,13953
1,2,20,6,13547,13547
1,3,20,13,13547,13549
1,4,20,17,13547,13550
1,5,20,20,13547,13550
1,6,20,22,13547,13687
1,7,20,30,13547,13866
1,8,20,28,13547,13866
1,9,20,25,13547,13866
1,10,20,25,13547,13955
1,11,20,29,13547,13954
1,12,20,31,13547,13953
1,2,19,5,13547,13547
1,3,19,11,13547,13549
1,4,19,13,13547,13550
1,5,19,19,13547,13550
1,6,19,22,13547,13687
1,7,19,29,13547,13866
1,8,19,26,13547,13866
1,9,19,24,13547,13866
1,10,19,25,13547,13955
1,11,19,27,13547,13954
1,12,19,30,13547,13953
1,2,20,4,13547,13547
1,3,20,12,13547,13549
1,4,20,15,13547,13550
1,5,20,20,13547,13550
1,6,20,22,13547,13687
1,7,20,31,13547,13866
1,8,20,29,13547,13866
1,9,20,26,13547,13866
1,10,20,25,13547,13955
1,11,20,28,13547,13954
1,12,20,28,13547,13953
1,2,22,5,13547,13547
1,3,22,12,13547,13549
1,4,22,15,13547,13550
1,5,22,19,13547,13550
1,6,22,22,13547,13687
1,7,22,31,13547,13866
1,8,22,27,13547,13866
1,9,22,25,13547,13866
1,10,22,25,13547,13955
1,11,22,30,13547,13954
1,12,22,29,13547,13953
1,2,21,5,13547,13547
1,3,21,14,13547,13549
1,4,21,16,13547,13550
1,5,21,18,13547,13550
1,6,21,22,13547,13687
1,7,21,29,13547,13866
1,8,21,27,13547,13866
1,9,21,23,13547,13866
1,10,21,27,13547,13955
1,11,21,31,13547,13954
1,12,21,35,13547,13953
1,2,21,5,13547,13547
1,3,21,11,13547,13549
1,4,21,14,13547,13550
1,5,21,20,13547,13550
1,6,21,21,13547,13687
1,7,21,31,13547,13866
1,8,21,27,13547,13866
1,9,21,24,13547,13866
1,10,21,25,13547,13955
1,11,21,29,13547,13954
1,12,21,31,13547,13953
1,2,22,7,13547,13547
1,3,22,13,13547,13549
1,4,22,17,13547,13550
1,5,22,20,13547,13550
1,6,22,21,13547,13687
1,7,22,30,13547,13866
1,8,22,26,13547,13866
1,9,22,23,13547,13866
1,10,22,24,13547,13955
1,11,22,28,13547,13954
1,12,22,31,13547,13953
1,2,23,4,13547,13547
1,3,23,12,13547,13549
1,4,23,14,13547,13550
1,5,23,19,13547,13550
1,6,23,21,13547,13687
1,7,23,30,13547,13866
1,8,23,27,13547,13866
1,9,23,23,13547,13866
1,10,23,23,13547,13955
1,11,23,27,13547,13954
1,12,23,29,13547,13953
1,2,19,3,13547,13547
1,3,19,14,13547,13549
1,4,19,14,13547,13550
1,5,19,20,13547,13550
1,6,19,21,13547,13687
1,7,19,33,13547,13866
1,8,19,29,13547,13866
1,9,19,24,13547,13866
1,10,19,26,13547,13955
1,11,19,33,13547,13954
1,12,19,33,13547,13953
1,2,20,5,13547,13547
1,3,20,15,13547,13549
1,4,20,16,13547,13550
1,5,20,19,13547,13550
1,6,20,22,13547,13687
1,7,20,31,13547,13866
1,8,20,28,13547,13866
1,9,20,25,13547,13866
1,10,20,25,13547,13955
1,11,20,29,13547,13954
1,12,20,30,13547,13953
1,2,20,3,13547,13547
1,3,20,11,13547,13549
1,4,20,16,13547,13550
1,5,20,19,13547,13550
1,6,20,21,13547,13687
1,7,20,30,13547,13866
1,8,20,27,13547,13866
1,9,20,25,13547,13866
1,10,20,24,13547,13955
1,11,20,29,13547,13954
1,12,20,28,13547,13953
1,2,20,5,13547,13547
1,3,20,11,13547,13549
1,4,20,14,13547,13550
1,5,20,19,13547,13550
1,6,20,21,13547,13687
1,7,20,30,13547,13866
1,8,20,27,13547,13866
1,9,20,24,13547,13866
1,10,20,23,13547,13955
1,11,20,27,13547,13954
1,12,20,30,13547,13953
1,2,20,4,13547,13547
1,3,20,13,13547,13549
1,4,20,18,13547,13550
1,5,20,21,13547,13550
1,6,20,22,13547,13687
1,7,20,32,13547,13866
1,8,20,30,13547,13866
1,9,20,26,13547,13866
1,10,20,24,13547,13955
1,11,20,26,13547,13954
1,12,20,27,13547,13953
1,2,17,3,13547,13547
1,3,17,12,13547,13549
1,4,17,16,13547,13550
1,5,17,18,13547,13550
1,6,17,23,13547,13687
1,7,17,30,13547,13866
1,8,17,28,13547,13866
1,9,17,23,13547,13866
1,10,17,26,13547,13955
1,11,17,29,13547,13954
1,12,17,31,13547,13953
1,2,21,3,13547,13547
1,3,21,14,13547,13549
1,4,21,16,13547,13550
1,5,21,18,13547,13550
1,6,21,25,13547,13687
1,7,21,31,13547,13866
1,8,21,28,13547,13866
1,9,21,25,13547,13866
1,10,21,26,13547,13955
1,11,21,30,13547,13954
1,12,21,30,13547,13953
1,2,20,6,13547,13547
1,3,20,12,13547,13549
1,4,20,16,13547,13550
1,5,20,19,13547,13550
1,6,20,23,13547,13687
1,7,20,32,13547,13866
1,8,20,28,13547,13866
1,9,20,24,13547,13866
1,10,20,25,13547,13955
1,11,20,32,13547,13954
1,12,20,35,13547,13953
1,2,21,5,13547,13547
1,3,21,12,13547,13549
1,4,21,15,13547,13550
1,5,21,19,13547,13550
1,6,21,22,13547,13687
1,7,21,28,13547,13866
1,8,21,26,13547,13866
1,9,21,24,13547,13866
1,10,21,24,13547,13955
1,11,21,28,13547,13954
1,12,21,30,13547,13953
1,2,20,6,13547,13547
1,3,20,14,13547,13549
1,4,20,16,13547,13550
1,5,20,21,13547,13550
1,6,20,22,13547,13687
1,7,20,30,13547,13866
1,8,20,28,13547,13866
1,9,20,24,13547,13866
1,10,20,25,13547,13955
1,11,20,28,13547,13954
1,12,20,32,13547,13953
1,2,18,5,13547,13547
1,3,18,14,13547,13549
1,4,18,18,13547,13550
1,5,18,21,13547,13550
1,6,18,23,13547,13687
1,7,18,31,13547,13866
1,8,18,29,13547,13866
1,9,18,25,13547,13866
1,10,18,23,13547,13955
1,11,18,26,13547,13954
1,12,18,30,13547,13953
1,2,18,5,13547,13547
1,3,18,11,13547,13549
1,4,18,12,13547,13550
1,5,18,18,13547,13550
1,6,18,21,13547,13687
1,7,18,30,13547,13866
1,8,18,27,13547,13866
1,9,18,24,13547,13866
1,10,18,25,13547,13955
1,11,18,30,13547,13954
1,12,18,30,13547,13953
1,2,19,4,13547,13547
1,3,19,13,13547,13549
1,4,19,16,13547,13550
1,5,19,18,13547,13550
1,6,19,22,13547,13687
1,7,19,29,13547,13866
1,8,19,26,13547,13866
1,9,19,23,13547,13866
1,10,19,26,13547,13955
1,11,19,30,13547,13954
1,12,19,31,13547,13953
1,2,18,5,13547,13547
1,3,18,11,13547,13549
1,4,18,16,13547,13550
1,5,18,20,13547,13550
1,6,18,21,13547,13687
1,7,18,31,13547,13866
1,8,18,28,13547,13866
1,9,18,24,13547,13866
1,10,18,25,13547,13955
1,11,18,28,13547,13954
1,12,18,32,13547,13953
1,2,23,6,13547,13547
1,3,23,11,13547,13549
1,4,23,16,13547,13550
1,5,23,20,13547,13550
1,6,23,22,13547,13687
1,7,23,33,13547,13866
1,8,23,29,13547,13866
1,9,23,25,13547,13866
1,10,23,27,13547,13955
1,11,23,31,13547,13954
1,12,23,34,13547,13953
1,2,19,7,13547,13547
1,3,19,15,13547,13549
1,4,19,16,13547,13550
1,5,19,21,13547,13550
1,6,19,21,13547,13687
1,7,19,32,13547,13866
1,8,19,29,13547,13866
1,9,19,25,13547,13866
1,10,19,25,13547,13955
1,11,19,31,13547,13954
1,12,19,33,13547,13953
1,2,19,5,13547,13547
1,3,19,12,13547,13549
1,4,19,14,13547,13550
1,5,19,18,13547,13550
1,6,19,22,13547,13687
1,7,19,30,13547,13866
1,8,19,28,13547,13866
1,9,19,23,13547,13866
1,10,19,24,13547,13955
1,11,19,29,13547,13954
1,12,19,32,13547,13953
1,2,23,3,13547,13547
1,3,23,11,13547,13549
1,4,23,15,13547,13550
1,5,23,17,13547,13550
1,6,23,22,13547,13687
1,7,23,29,13547,13866
1,8,23,26,13547,13866
1,9,23,23,13547,13866
1,10,23,24,13547,13955
1,11,23,29,13547,13954
1,12,23,30,13547,13953
1,2,19,5,13547,13547
1,3,19,13,13547,13549
1,4,19,16,13547,13550
1,5,19,21,13547,13550
1,6,19,20,13547,13687
1,7,19,31,13547,13866
1,8,19,28,13547,13866
1,9,19,27,13547,13866
1,10,19,25,13547,13955
1,11,19,29,13547,13954
1,12,19,31,13547,13953
1,2,21,6,13547,13547
1,3,21,12,13547,13549
1,4,21,15,13547,13550
1,5,21,20,13547,13550
1,6,21,22,13547,13687
1,7,21,31,13547,13866
1,8,21,27,13547,13866
1,9,21,24,13547,13866
1,10,21,24,13547,13955
1,11,21,29,13547,13954
1,12,21,32,13547,13953
1,2,19,4,13547,13547
1,3,19,13,13547,13549
1,4,19,14,13547,13550
1,5,19,19,13547,13550
1,6,19,23,13547,13687
1,7,19,31,13547,13866
1,8,19,28,13547,13866
1,9,19,25,13547,13866
1,10,19,25,13547,13955
1,11,19,31,13547,13954
1,12,19,34,13547,13953
1,2,19,5,13547,13547
1,3,19,12,13547,13549
1,4,19,15,13547,13550
1,5,19,19,13547,13550
1,6,19,20,13547,13687
1,7,19,31,13547,13866
1,8,19,29,13547,13866
1,9,19,23,13547,13866
1,10,19,25,13547,13955
1,11,19,28,13547,13954
1,12,19,29,13547,13953
1,2,20,5,13547,13547
1,3,20,13,13547,13549
1,4,20,14,13547,13550
