Splitting Approach,Metric,Performance Value
Time-based 50%/50%,AUC,0.9257933303852763
Time-based 50%/50%,F-1,0.3425062005432857
Time-based 50%/50%,MCC,0.3338619880471988
Time-based 60%/40%,AUC,0.9319416016880555
Time-based 60%/40%,F-1,0.3961673115901972
Time-based 60%/40%,MCC,0.39393613325024723
Time-based 70%/30%,AUC,0.910403899865016
Time-based 70%/30%,F-1,0.3566739606126915
Time-based 70%/30%,MCC,0.3527102656079139
Time-based 80%/20%,AUC,0.9117811879379949
Time-based 80%/20%,F-1,0.33360323886639676
Time-based 80%/20%,MCC,0.3297043785224825
Time-based 90%/10%,AUC,0.9414711456373481
Time-based 90%/10%,F-1,0.4269058295964125
Time-based 90%/10%,MCC,0.42715458740243756
Random 90%/10%,AUC,0.9420523994682763
Random 90%/10%,F-1,0.4636765634870499
Random 90%/10%,MCC,0.45915013182580056
Random 80%/20%,AUC,0.5
Random 80%/20%,F-1,0.0
Random 80%/20%,MCC,0.0
Random 70%/30%,AUC,0.9458817809670832
Random 70%/30%,F-1,0.44861830742659753
Random 70%/30%,MCC,0.44274109992324345
Random 60%/40%,AUC,0.9436428443080507
Random 60%/40%,F-1,0.4460055546479334
Random 60%/40%,MCC,0.4402431780502756
Random 50%/50%,AUC,0.942941538613531
Random 50%/50%,F-1,0.4604206500956023
Random 50%/50%,MCC,0.45421836980075503
Time-based 50%/50%,AUC,0.927359747892883
Time-based 50%/50%,F-1,0.37384167328567647
Time-based 50%/50%,MCC,0.36720163169605136
Time-based 60%/40%,AUC,0.931058678680009
Time-based 60%/40%,F-1,0.38351524275498683
Time-based 60%/40%,MCC,0.38272601304996945
Time-based 70%/30%,AUC,0.9106905709210177
Time-based 70%/30%,F-1,0.3638405390230207
Time-based 70%/30%,MCC,0.3615902078230689
Time-based 80%/20%,AUC,0.912717760839757
Time-based 80%/20%,F-1,0.309748427672956
Time-based 80%/20%,MCC,0.3040521085817839
Time-based 90%/10%,AUC,0.9408125580981562
Time-based 90%/10%,F-1,0.4308263695450325
Time-based 90%/10%,MCC,0.43465274720855496
Random 90%/10%,AUC,0.9440303651055817
Random 90%/10%,F-1,0.4484536082474227
Random 90%/10%,MCC,0.4418922604464857
Random 80%/20%,AUC,0.9427154807256489
Random 80%/20%,F-1,0.4662536680795566
Random 80%/20%,MCC,0.46088667895259694
Random 70%/30%,AUC,0.9404964899975248
Random 70%/30%,F-1,0.4475113122171946
Random 70%/30%,MCC,0.4432852505991388
Random 60%/40%,AUC,0.9437162774436493
Random 60%/40%,F-1,0.45119586296056885
Random 60%/40%,MCC,0.44530624123113594
Random 50%/50%,AUC,0.9422143079219452
Random 50%/50%,F-1,0.4471057884231537
Random 50%/50%,MCC,0.4417281017485114
Time-based 50%/50%,AUC,0.9264400709380547
Time-based 50%/50%,F-1,0.33422330097087377
Time-based 50%/50%,MCC,0.32541555648979287
Time-based 60%/40%,AUC,0.928145751361019
Time-based 60%/40%,F-1,0.3943141960494739
Time-based 60%/40%,MCC,0.3921850289842596
Time-based 70%/30%,AUC,0.5
Time-based 70%/30%,F-1,0.0
Time-based 70%/30%,MCC,0.0
Time-based 80%/20%,AUC,0.9124170762121605
Time-based 80%/20%,F-1,0.3350083752093802
Time-based 80%/20%,MCC,0.33334930679270974
Time-based 90%/10%,AUC,0.9401780129007052
Time-based 90%/10%,F-1,0.44323342415985467
Time-based 90%/10%,MCC,0.4450245137160128
Random 90%/10%,AUC,0.9447782848212876
Random 90%/10%,F-1,0.4644670050761421
Random 90%/10%,MCC,0.4583730561817906
Random 80%/20%,AUC,0.947088613405497
Random 80%/20%,F-1,0.45598650927487355
Random 80%/20%,MCC,0.45061497123755534
Random 70%/30%,AUC,0.5
Random 70%/30%,F-1,0.0
Random 70%/30%,MCC,0.0
Random 60%/40%,AUC,0.940889327297809
Random 60%/40%,F-1,0.4491027473400032
Random 60%/40%,MCC,0.4424840612522305
Random 50%/50%,AUC,0.94585493634606
Random 50%/50%,F-1,0.4424355224674289
Random 50%/50%,MCC,0.436544170778276
Time-based 50%/50%,AUC,0.5
Time-based 50%/50%,F-1,0.0
Time-based 50%/50%,MCC,0.0
Time-based 60%/40%,AUC,0.929217860042481
Time-based 60%/40%,F-1,0.40075187969924814
Time-based 60%/40%,MCC,0.4002980655314535
Time-based 70%/30%,AUC,0.9080476847227622
Time-based 70%/30%,F-1,0.3384700055035773
Time-based 70%/30%,MCC,0.3345287989402541
Time-based 80%/20%,AUC,0.9104405561916549
Time-based 80%/20%,F-1,0.3265637692932575
Time-based 80%/20%,MCC,0.32272140806313354
Time-based 90%/10%,AUC,0.9448806549163913
Time-based 90%/10%,F-1,0.44070961718020546
Time-based 90%/10%,MCC,0.4454868653364523
Random 90%/10%,AUC,0.5
Random 90%/10%,F-1,0.0
Random 90%/10%,MCC,0.0
Random 80%/20%,AUC,0.9483051265327548
Random 80%/20%,F-1,0.44916820702402954
Random 80%/20%,MCC,0.4420116306864207
Random 70%/30%,AUC,0.9467593847536293
Random 70%/30%,F-1,0.46441784548422194
Random 70%/30%,MCC,0.4586629478456506
Random 60%/40%,AUC,0.9426090401862095
Random 60%/40%,F-1,0.4545303408146301
Random 60%/40%,MCC,0.4500531447125243
Random 50%/50%,AUC,0.9430052863301931
Random 50%/50%,F-1,0.4558974358974358
Random 50%/50%,MCC,0.44930432202708503
Time-based 50%/50%,AUC,0.9275064247271483
Time-based 50%/50%,F-1,0.38508492569002123
Time-based 50%/50%,MCC,0.37870407349802865
Time-based 60%/40%,AUC,0.9294029039267577
Time-based 60%/40%,F-1,0.4001528759793618
Time-based 60%/40%,MCC,0.40128469611026196
Time-based 70%/30%,AUC,0.905463446628745
Time-based 70%/30%,F-1,0.3435953820780649
Time-based 70%/30%,MCC,0.33968112293576375
Time-based 80%/20%,AUC,0.9145935447623535
Time-based 80%/20%,F-1,0.32324840764331214
Time-based 80%/20%,MCC,0.31830596271625283
Time-based 90%/10%,AUC,0.9405635409821104
Time-based 90%/10%,F-1,0.4287011807447775
Time-based 90%/10%,MCC,0.43014740037788984
Random 90%/10%,AUC,0.942351326837073
Random 90%/10%,F-1,0.445842068483578
Random 90%/10%,MCC,0.4414572276404406
Random 80%/20%,AUC,0.943388210362415
Random 80%/20%,F-1,0.4361493123772102
Random 80%/20%,MCC,0.4292559542165387
Random 70%/30%,AUC,0.943117883159164
Random 70%/30%,F-1,0.45284640171858215
Random 70%/30%,MCC,0.4480246591263646
Random 60%/40%,AUC,0.9460975870598897
Random 60%/40%,F-1,0.45651460452904497
Random 60%/40%,MCC,0.4507374282146289
Random 50%/50%,AUC,0.9443785993722891
Random 50%/50%,F-1,0.4519424653851324
Random 50%/50%,MCC,0.44692326936849064
Time-based 50%/50%,AUC,0.9262787687034614
Time-based 50%/50%,F-1,0.3599704942217851
Time-based 50%/50%,MCC,0.3515648667547593
Time-based 60%/40%,AUC,0.930967195434127
Time-based 60%/40%,F-1,0.3930281555257613
Time-based 60%/40%,MCC,0.3941907910055929
Time-based 70%/30%,AUC,0.5
Time-based 70%/30%,F-1,0.0
Time-based 70%/30%,MCC,0.0
Time-based 80%/20%,AUC,0.9121142410386534
Time-based 80%/20%,F-1,0.3327787021630616
Time-based 80%/20%,MCC,0.3305820751589262
Time-based 90%/10%,AUC,0.9426813560621277
Time-based 90%/10%,F-1,0.4315886134067952
Time-based 90%/10%,MCC,0.4342144025872934
Random 90%/10%,AUC,0.9424476042648167
Random 90%/10%,F-1,0.4656831302116742
Random 90%/10%,MCC,0.4594328901552279
Random 80%/20%,AUC,0.5
Random 80%/20%,F-1,0.0
Random 80%/20%,MCC,0.0
Random 70%/30%,AUC,0.9483770425610207
Random 70%/30%,F-1,0.4550949913644215
Random 70%/30%,MCC,0.4490165461906163
Random 60%/40%,AUC,0.943516384299432
Random 60%/40%,F-1,0.45461952093856933
Random 60%/40%,MCC,0.44907941579363586
Random 50%/50%,AUC,0.9451153781073345
Random 50%/50%,F-1,0.4573966886525777
Random 50%/50%,MCC,0.4528058116375222
Time-based 50%/50%,AUC,0.9257833409533679
Time-based 50%/50%,F-1,0.3950447350309704
Time-based 50%/50%,MCC,0.39064573227365224
Time-based 60%/40%,AUC,0.9270688491466929
Time-based 60%/40%,F-1,0.3959005503890681
Time-based 60%/40%,MCC,0.39622666831901293
Time-based 70%/30%,AUC,0.5
Time-based 70%/30%,F-1,0.0
Time-based 70%/30%,MCC,0.0
Time-based 80%/20%,AUC,0.9126442853055949
Time-based 80%/20%,F-1,0.3323875152006486
Time-based 80%/20%,MCC,0.3285355928671431
Time-based 90%/10%,AUC,0.9432409471952119
Time-based 90%/10%,F-1,0.42152466367713004
Time-based 90%/10%,MCC,0.42165859119347976
Random 90%/10%,AUC,0.9493391569550607
Random 90%/10%,F-1,0.4402035623409669
Random 90%/10%,MCC,0.4347731178398015
Random 80%/20%,AUC,0.9479015508045492
Random 80%/20%,F-1,0.45407835581245987
Random 80%/20%,MCC,0.4479215835790052
Random 70%/30%,AUC,0.9469588728299091
Random 70%/30%,F-1,0.4574398960363873
Random 70%/30%,MCC,0.4511600462769422
Random 60%/40%,AUC,0.94134919734466
Random 60%/40%,F-1,0.4448358686949559
Random 60%/40%,MCC,0.43857968961033433
Random 50%/50%,AUC,0.9463302377943998
Random 50%/50%,F-1,0.45338645418326695
