Period,Index,Corr,P Value
1,1-User ID~Mem Requested,0.2501927303177796,4.982822831892753e-270
1,2-User ID~Avg Disk,0.001516472875236296,0.8341297884026693
1,3-Scheduling Class~Mem Requested,-0.03967550130053725,4.231726480198719e-08
1,4-Scheduling Class~CPU Requested,-0.20568252298565223,2.868733268962445e-181
1,5-User ID~Disk Requested,0.1855280274121025,2.841988290743296e-147
1,6-User ID~Std Disk,-0.00884607292490158,0.22187142978816768
1,7-Scheduling Class~Avg CPU,-0.05581634419012043,1.2229634573558373e-14
1,8-Scheduling Class~Std CPU,-0.1373611819309785,5.592614171343514e-81
1,9-Scheduling Class~Std Mem,-0.010350490605054722,0.1529109916342816
1,10-Num Tasks~Avg CPU,0.2101830225147326,2.229225353930034e-189
2,1-User ID~Mem Requested,0.2220227468737341,1.0580281546017377e-246
2,2-User ID~Avg Disk,-0.026280638181385242,8.791321727678491e-05
2,3-Scheduling Class~Mem Requested,-0.13546307545107653,1.1690274780643967e-91
2,4-Scheduling Class~CPU Requested,-0.2585618859240815,0.0
2,5-User ID~Disk Requested,0.18470663678071064,4.632544046172801e-170
2,6-User ID~Std Disk,-0.0236535119230345,0.00041620937668795515
2,7-Scheduling Class~Avg CPU,-0.08643447170519696,3.463893379992003e-38
2,8-Scheduling Class~Std CPU,-0.16545686469420812,2.140605151715173e-136
2,9-Scheduling Class~Std Mem,-0.051095831607014947,2.3758009138600463e-14
2,10-Num Tasks~Avg CPU,0.1594531467362632,1.0754545099404282e-126
3,1-User ID~Mem Requested,0.21538133930344133,1.0579503715460819e-223
3,2-User ID~Avg Disk,-0.07454721197600643,7.716315795295365e-28
3,3-Scheduling Class~Mem Requested,0.011566128577867247,0.09016948034774881
3,4-Scheduling Class~CPU Requested,-0.13641409853234757,1.1331145041352803e-89
3,5-User ID~Disk Requested,0.1349998251277717,7.60926668182061e-88
3,6-User ID~Std Disk,-0.061514396879861245,1.8731055493208e-19
3,7-Scheduling Class~Avg CPU,-0.08558965850338274,3.415294206730053e-36
3,8-Scheduling Class~Std CPU,-0.1650853694121454,5.466776270888486e-131
3,9-Scheduling Class~Std Mem,-0.018180085984871048,0.007730524244809857
3,10-Num Tasks~Avg CPU,0.22447500766539252,2.608988492269872e-243
4,1-User ID~Mem Requested,0.16211349654976662,3.953233268098364e-127
4,2-User ID~Avg Disk,-0.05728853553351627,3.550217410623461e-17
4,3-Scheduling Class~Mem Requested,-0.009438792011660806,0.1653525833097169
4,4-Scheduling Class~CPU Requested,-0.14105922432931367,2.0265659776408968e-96
4,5-User ID~Disk Requested,0.06041749567725627,6.224667059654963e-19
4,6-User ID~Std Disk,-0.05788542491613224,1.6684872257309033e-17
4,7-Scheduling Class~Avg CPU,-0.06144445652384011,1.576656345941798e-19
4,8-Scheduling Class~Std CPU,-0.15220121753268587,4.067481788778804e-112
4,9-Scheduling Class~Std Mem,-0.034725396279970434,3.302929620064683e-07
4,10-Num Tasks~Avg CPU,0.21403163615089763,2.7680821325356593e-222
5,1-User ID~Mem Requested,0.30806342107494145,0.0
5,2-User ID~Avg Disk,-0.07046689170730946,9.08659008334674e-26
5,3-Scheduling Class~Mem Requested,0.012613862848527658,0.06059673977738968
