Splitting Approach,Metric,Performance Value
Time-based 50%/50%,AUC,0.7710714243431187
Time-based 50%/50%,F-1,0.19875583203732505
Time-based 50%/50%,MCC,0.19787221831321825
Time-based 60%/40%,AUC,0.7766350246105969
Time-based 60%/40%,F-1,0.2030521407376007
Time-based 60%/40%,MCC,0.20709646790473243
Time-based 70%/30%,AUC,0.7375629345778534
Time-based 70%/30%,F-1,0.18799414348462665
Time-based 70%/30%,MCC,0.18426909109571155
Time-based 80%/20%,AUC,0.7206094104975209
Time-based 80%/20%,F-1,0.1900337837837838
Time-based 80%/20%,MCC,0.18540079984849916
Time-based 90%/10%,AUC,0.7487852863270277
Time-based 90%/10%,F-1,0.2053838484546361
Time-based 90%/10%,MCC,0.20821185559742902
Random 90%/10%,AUC,0.8012776490632587
Random 90%/10%,F-1,0.2632831086439334
Random 90%/10%,MCC,0.2648314166971133
Random 80%/20%,AUC,0.8152202616725732
Random 80%/20%,F-1,0.291981845688351
Random 80%/20%,MCC,0.2958769781060641
Random 70%/30%,AUC,0.8117115576018267
Random 70%/30%,F-1,0.2866632600919775
Random 70%/30%,MCC,0.2870091746325287
Random 60%/40%,AUC,0.836802446511691
Random 60%/40%,F-1,0.3251093613298338
Random 60%/40%,MCC,0.32063992207154896
Random 50%/50%,AUC,0.7860370855011187
Random 50%/50%,F-1,0.2317112471801482
Random 50%/50%,MCC,0.23891566300874967
Time-based 50%/50%,AUC,0.7628664957028306
Time-based 50%/50%,F-1,0.19690528821628972
Time-based 50%/50%,MCC,0.2057351629078646
Time-based 60%/40%,AUC,0.7699581713606137
Time-based 60%/40%,F-1,0.1989071038251366
Time-based 60%/40%,MCC,0.20637754618193174
Time-based 70%/30%,AUC,0.7262239107916582
Time-based 70%/30%,F-1,0.1710646041856233
Time-based 70%/30%,MCC,0.168876003336048
Time-based 80%/20%,AUC,0.7239719413950758
Time-based 80%/20%,F-1,0.19229175300455864
Time-based 80%/20%,MCC,0.18681860232017874
Time-based 90%/10%,AUC,0.7604055930542699
Time-based 90%/10%,F-1,0.2181110029211295
Time-based 90%/10%,MCC,0.21939256742275917
Random 90%/10%,AUC,0.8080281461574683
Random 90%/10%,F-1,0.2645739910313901
Random 90%/10%,MCC,0.2639058561780942
Random 80%/20%,AUC,0.8051978662644074
Random 80%/20%,F-1,0.2515151515151515
Random 80%/20%,MCC,0.2544708020651714
Random 70%/30%,AUC,0.7949861427205979
Random 70%/30%,F-1,0.22032996274614158
Random 70%/30%,MCC,0.22561488463364202
Random 60%/40%,AUC,0.7925461517338446
Random 60%/40%,F-1,0.2549893431505523
Random 60%/40%,MCC,0.25691743062179373
Random 50%/50%,AUC,0.8349494006183396
Random 50%/50%,F-1,0.3232574189095928
Random 50%/50%,MCC,0.31852157679362103
Time-based 50%/50%,AUC,0.7719405264799466
Time-based 50%/50%,F-1,0.1964823324354302
Time-based 50%/50%,MCC,0.19713706804551337
Time-based 60%/40%,AUC,0.7719873582302745
Time-based 60%/40%,F-1,0.19982884039366708
Time-based 60%/40%,MCC,0.2047239542870639
Time-based 70%/30%,AUC,0.7337262321084164
Time-based 70%/30%,F-1,0.19008264462809918
Time-based 70%/30%,MCC,0.1868678464928573
Time-based 80%/20%,AUC,0.7213274664583474
Time-based 80%/20%,F-1,0.19639110365086027
Time-based 80%/20%,MCC,0.1915978735996274
Time-based 90%/10%,AUC,0.7529713057028034
Time-based 90%/10%,F-1,0.20594059405940596
Time-based 90%/10%,MCC,0.20814993978441085
Random 90%/10%,AUC,0.806899808155428
