Training Period,Testing Period,Training Error,Testing Error,Training Size,Testing Size
23,24,255,282,24227,24491
23,24,255,282,24227,24491
23,24,255,282,24227,24491
23,24,255,282,24227,24491
24,25,282,266,24491,20018
24,25,282,266,24491,20018
24,25,282,266,24491,20018
24,25,282,266,24491,20018
24,25,282,266,24491,20018
24,25,282,266,24491,20018
24,25,282,266,24491,20018
24,25,282,266,24491,20018
24,25,282,266,24491,20018
24,25,282,266,24491,20018
25,26,265,357,20018,26072
25,26,265,357,20018,26072
25,26,265,357,20018,26072
25,26,265,357,20018,26072
25,26,265,357,20018,26072
25,26,265,357,20018,26072
25,26,265,357,20018,26072
25,26,265,357,20018,26072
25,26,265,357,20018,26072
25,26,265,357,20018,26072
26,27,360,217,26072,21354
26,27,360,217,26072,21354
26,27,360,217,26072,21354
26,27,360,217,26072,21354
26,27,360,217,26072,21354
26,27,360,217,26072,21354
26,27,360,217,26072,21354
26,27,360,217,26072,21354
26,27,360,217,26072,21354
26,27,360,217,26072,21354
27,28,121,133,21354,20809
27,28,121,133,21354,20809
27,28,121,133,21354,20809
27,28,121,133,21354,20809
27,28,121,133,21354,20809
27,28,121,133,21354,20809
27,28,121,133,21354,20809
27,28,121,133,21354,20809
27,28,121,133,21354,20809
27,28,121,133,21354,20809
