Scenario,Model,N,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time
Static Model,RF,4,3,0.2602976808584285,0.7308066083576288,0.9986276823863546,0.3838693210821848,0.9091997877277489,0.4356555756831418,0.0017627007756380092,3.9283817620016634,12.7104478511028
Updated Model,RF,4,3,0.22406148389003844,0.7366375121477162,0.99835367364991,0.34360834088848596,0.9104040173292938,0.4057142651638608,0.0019247139962753018,4.019960648845881,13.150527007877827
Static Model,RF,4,4,0.15570469798657718,0.7451820128479657,0.9988596233914777,0.2575869726128794,0.9154257358895098,0.34030995376650375,0.0018089033510927366,3.9283817620016634,12.797705376986414
Updated Model,RF,4,4,0.1811704834605598,0.7623126338329764,0.9990222094882063,0.29276315789473684,0.9301625503571059,0.3713417437346135,0.0014195812782678099,2.118791426997632,12.220630757045
Static Model,RF,4,-1,0.21467603434816548,0.7352941176470589,0.9987436528889162,0.3323262839879154,0.9101486554724818,0.3968899354823486,0.0017858020633653735,3.9283817620016634,12.754076614044607
Updated Model,RF,4,-1,0.20830216903515333,0.7446524064171123,0.9986879415690582,0.3255406195207481,0.9164860712327981,0.39342225531348285,0.0016721476372715566,3.0693760379217565,12.685578882461414
Static Model,RF,6,4,0.25598086124401914,0.7821637426900585,0.998546957820846,0.38572458543619326,0.9262102496623186,0.4469674889796388,0.0017412565062862836,3.6760616288520396,8.004230581922457
Updated Model,RF,6,4,0.24074074074074073,0.7602339181286549,0.9984616853924919,0.3656821378340365,0.9298318780310959,0.4272892410546209,0.0016377272919523291,4.025888550793752,7.937350190943107
Static Model,RF,6,5,0.17795353435491842,0.75,0.9984795926024463,0.28765481422293243,0.9068757222688569,0.3648780105921729,0.0019471498543546931,3.6760616288520396,7.843549061799422
Updated Model,RF,6,5,0.23567708333333334,0.7541666666666667,0.998898280225665,0.35912698412698413,0.9106085362155274,0.4212218938209467,0.0015259702723260272,2.4060406300704926,7.964303339133039
Static Model,RF,6,6,0.1462352209085252,0.7078313253012049,0.9987473480274782,0.24239298607529652,0.8995971997647869,0.3213723767250562,0.001857906118467279,3.6760616288520396,7.870546760037541
Updated Model,RF,6,6,0.21302325581395348,0.6897590361445783,0.9991907646549195,0.32551528073916136,0.925019615643351,0.3830410186940541,0.0013087704398010767,1.8390811521094292,7.667955194832757
Static Model,RF,6,-1,0.19755244755244755,0.7553475935828877,0.9985912994835902,0.3131929046563193,0.9135083826179913,0.3858553398314615,0.0018487708263694182,3.6760616288520396,7.90610880125314
Updated Model,RF,6,-1,0.23286522741563614,0.7426470588235294,0.9988502434243588,0.35455560874421577,0.9223174797853346,0.41546726900825603,0.0014908226680264778,2.757003444324558,7.856536241636301
Static Model,RF,8,5,0.22868900646678425,0.746641074856046,0.9983582215127557,0.3501350135013502,0.9208666910572813,0.4126684141584874,0.0017555096221408154,3.8301349820103496,6.710961329983547
Updated Model,RF,8,5,0.2583826429980276,0.7543186180422264,0.9985719710664965,0.3849167482859941,0.9125409957219663,0.44097787522751963,0.00167577421680117,3.9845571520272642,6.775846718112007
Static Model,RF,8,6,0.23372597644141352,0.7421259842519685,0.9984457678725325,0.3554926921263555,0.911499538474501,0.41595065864878067,0.001841088576450712,3.8301349820103496,6.382540716091171
Updated Model,RF,8,6,0.23771498771498772,0.7618110236220472,0.9984514527010895,0.36235955056179775,0.9271259092763571,0.42503351659519134,0.001887104307508295,2.7783366381190717,6.3883986689615995
Static Model,RF,8,7,0.12529550827423167,0.7794117647058824,0.9986868046033468,0.2158859470468432,0.944756156815472,0.312183854891709,0.0016790300318123004,3.8301349820103496,6.502485795877874
Updated Model,RF,8,7,0.16536203522504891,0.8284313725490197,0.9989903744482874,0.2756933115823817,0.9573535878363717,0.36986175946549754,0.0014610268619518977,2.3437445780728012,6.399103430099785
Static Model,RF,8,8,0.17209302325581396,0.7034220532319392,0.9988994171913763,0.2765321375186846,0.9279970579499204,0.3475880702302222,0.0016299340332494255,3.8301349820103496,6.672410099068657
Updated Model,RF,8,8,0.20186335403726707,0.7414448669201521,0.9990460857681454,0.31733116354759966,0.9048940529817491,0.3865698154647747,0.0014026527683978108,1.7737738059367985,5.801436972105876
Static Model,RF,8,-1,0.19618239660657477,0.7419786096256684,0.9985975527950028,0.31031590718479174,0.921042600893281,0.38108795085640823,0.001726390565913314,3.8301349820103496,6.567099485255312
Updated Model,RF,8,-1,0.22269807280513917,0.7647058823529411,0.9987649709960047,0.3449419568822553,0.9220067658317747,0.41227315284004307,0.0016066395386647918,2.720103043538984,6.341196447319817
Static Model,RF,10,6,0.24879227053140096,0.7322274881516587,0.9985134169098115,0.3713942307692308,0.9092110358224097,0.42629198737978763,0.0017046082881981507,4.092103652888909,5.494943341007456
Updated Model,RF,10,6,0.24417670682730924,0.7203791469194313,0.99849494121175,0.3647270545890822,0.9077325158934628,0.4188702207519468,0.0017653380327929433,4.072734958957881,5.22213665000163
Static Model,RF,10,7,0.27918781725888325,0.8009708737864077,0.9986725921546501,0.41405269761606023,0.9687922647087797,0.47242956306434364,0.0018328595122131465,4.092103652888909,5.5880058710463345
Updated Model,RF,10,7,0.22355289421157684,0.8155339805825242,0.998233439023801,0.35091383812010446,0.9602831799773426,0.42644565278581936,0.002050063508238188,3.166935952845961,5.6341264909133315
Static Model,RF,10,8,0.1791044776119403,0.6962457337883959,0.998544683475762,0.2849162011173184,0.863081627766634,0.35266781725931007,0.0020617605634803667,4.092103652888909,5.572561147855595
Updated Model,RF,10,8,0.17022900763358778,0.7610921501706485,0.9983556628725163,0.2782283218964442,0.8850458136343322,0.35947346088111265,0.0018216259467018748,2.122613918967545,5.300890117883682
Static Model,RF,10,9,0.12896174863387977,0.686046511627907,0.9987905523807358,0.2171113155473781,0.9036022287338259,0.2971111147520068,0.0016741334144369099,4.092103652888909,5.339459980838001
Updated Model,RF,10,9,0.1452991452991453,0.6918604651162791,0.9989298307199695,0.24016145307769932,0.924362858205009,0.3167491899746479,0.0012671941241595337,1.9809363919775933,4.953043284127489
Static Model,RF,10,10,0.16768665850673195,0.6954314720812182,0.9989483094073723,0.2702169625246548,0.9161053373242474,0.3411644640536224,0.0017101824967418913,4.092103652888909,5.482374561019242
Updated Model,RF,10,10,0.15973741794310722,0.7411167512690355,0.9988360343305919,0.26282628262826285,0.9223941596741673,0.3437382270522805,0.0014804972052033102,1.6934878779575229,5.109571828041226
Static Model,RF,10,-1,0.20736543909348443,0.733957219251337,0.9986939110102876,0.32336916507141805,0.9161297347946126,0.3897009826153228,0.0017967088058253556,4.092103652888909,5.495468980353325
Updated Model,RF,10,-1,0.1947850112243136,0.7540106951871658,0.9985699817829721,0.3095924248662001,0.9214044495223502,0.3827960804531291,0.0016769436517427012,2.6073418201413006,5.243953674193472
Static Model,RF,12,7,0.27053669222343923,0.6804407713498623,0.9986663392205418,0.3871473354231975,0.9083023580340721,0.4285348575264087,0.0015854927723089726,3.916532076895237,4.082487884908915
Updated Model,RF,12,7,0.2765726681127983,0.7024793388429752,0.9986782773605114,0.39688715953307396,0.8958143305419095,0.4402753648693011,0.0017200281057923859,3.8965841201134026,4.113242547027767
Static Model,RF,12,8,0.2644889357218124,0.7819314641744548,0.998690215500481,0.39527559055118117,0.9599776809392291,0.4543168969801894,0.001692402895169488,3.916532076895237,4.273405547020957
Updated Model,RF,12,8,0.23654015887025595,0.8348909657320872,0.9984343982154186,0.36863823933975237,0.9656648605323163,0.44391511150291996,0.0020131357721980755,3.1199089910369366,4.395751544972882
Static Model,RF,12,9,0.2507676560900716,0.7101449275362319,0.9985810667921877,0.37065052950075644,0.8818187663737529,0.4214819556332094,0.0019831952465737537,3.916532076895237,4.28361396305263
Updated Model,RF,12,9,0.25252525252525254,0.7246376811594203,0.9985759504464864,0.37453183520599254,0.9048057860317653,0.42726225339479074,0.001755651742854739,2.3317559850402176,4.215088464086875
