Scenario,Model,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Static Model,RF,7,0.27058823529411763,0.8282548476454293,0.9986437097351327,0.407912687585266,0.9418032248371847,0.4729638326786648,0.0017817991471621804
Updated Model,RF,7,0.2325020112630732,0.8005540166204986,0.9983968274058136,0.3603491271820449,0.9420756056595584,0.430921765098221,0.0017945251499653899
Static Model,RF,8,0.26371826371826373,0.7703349282296651,0.9985346917256471,0.3929225137278829,0.9187080162260056,0.4502145198751991,0.0018176219887546794
Updated Model,RF,8,0.27386934673366836,0.7822966507177034,0.9985891805760503,0.4057071960297767,0.9338386979824944,0.46237682470273544,0.0018845148577841004
Static Model,RF,9,0.2713815789473684,0.7894736842105263,0.9985966267171151,0.4039167686658507,0.9239825089384224,0.46238712393351217,0.0019113177588676188
Updated Model,RF,9,0.23314606741573032,0.7942583732057417,0.9983026963786054,0.36047774158523344,0.9363288247477626,0.42978220087851815,0.0019743946331778196
Static Model,RF,10,0.13758723828514458,0.7379679144385026,0.9985057350998574,0.23193277310924373,0.8805494942421008,0.3182471318723263,0.002060715546894414
Updated Model,RF,10,0.1639163916391639,0.7967914438502673,0.9986953792228515,0.2718978102189781,0.9465096913409581,0.3610456394590333,0.0018313299698304358
Static Model,RF,11,0.1536819637139808,0.6515837104072398,0.9988983158161328,0.24870466321243523,0.920707527266149,0.3160993300121216,0.0016430918070153224
Updated Model,RF,11,0.17031070195627157,0.669683257918552,0.9989945548942637,0.2715596330275229,0.9309923700812389,0.3373970930376155,0.0013259425098138538
Static Model,RF,12,0.16612377850162866,0.7285714285714285,0.9989580491649238,0.27055702917771884,0.9043030653392572,0.34759088262225657,0.0017815783092358522
Updated Model,RF,12,0.18620689655172415,0.7714285714285715,0.9990451941438574,0.3,0.9331264083603409,0.3787241869393722,0.0014283024158103727
Static Model,NN,7,0.08202281837804502,0.7368421052631579,0.9951998574957694,0.14761376248612654,0.901311465143648,0.24484048751356077,0.004623751205115042
Updated Model,NN,7,0.11840465309513917,0.7894736842105263,0.9965655230389652,0.20592485549132947,0.9232558723189263,0.30494397482624447,0.003351462119981483
Static Model,NN,8,0.10679984633115636,0.6650717703349283,0.9963698644258495,0.18404501820589209,0.9160936443068604,0.26556867278603236,0.003675936497564745
Updated Model,NN,8,0.15534929164631167,0.7607655502392344,0.9973064835841293,0.25801217038539553,0.8985094698232932,0.3430402155356754,0.002769875725702931
Static Model,NN,9,0.1270807957775071,0.7488038277511961,0.9967509170914729,0.21728566469975705,0.9612777398198226,0.3076547759373449,0.0031685099154295207
Updated Model,NN,9,0.15668849391955098,0.8014354066985646,0.9972825852037773,0.26212832550860715,0.9260819858995072,0.3536560260256994,0.002736441187019039
Static Model,NN,10,0.0689470871191876,0.6898395721925134,0.9970572463673342,0.12536443148688045,0.8878987809942299,0.21748717363893125,0.0026770773756529917
Updated Model,NN,10,0.09688826025459689,0.732620320855615,0.9978305366274736,0.1711430356027483,0.8925914991115474,0.2659325413016753,0.002336232840341976
Static Model,NN,11,0.11966604823747681,0.583710407239819,0.9986817778903381,0.19861431870669746,0.9275290143664768,0.26389110860534076,0.0017346758268075013
