Training Period,Testing Period,Training Error,Testing Error,Training Size,Testing Size
1,2,428,954,440114,439655
1,2,415,998,440114,439655
1,2,455,947,440114,439655
1,2,442,949,440114,439655
1,2,427,915,440114,439655
1,2,425,1019,440114,439655
1,2,428,966,440114,439655
1,2,410,916,440114,439655
1,2,418,984,440114,439655
1,2,433,940,440114,439655
2,3,308,757,439655,504994
2,3,297,747,439655,504994
2,3,295,748,439655,504994
2,3,298,763,439655,504994
2,3,300,821,439655,504994
2,3,310,731,439655,504994
2,3,301,825,439655,504994
2,3,282,751,439655,504994
2,3,300,782,439655,504994
2,3,291,744,439655,504994
3,4,351,542,504994,517314
3,4,342,563,504994,517314
3,4,353,615,504994,517314
3,4,366,551,504994,517314
3,4,352,562,504994,517314
3,4,356,618,504994,517314
3,4,369,603,504994,517314
3,4,347,581,504994,517314
3,4,359,617,504994,517314
3,4,344,607,504994,517314
4,5,197,423,517314,587950
4,5,213,428,517314,587950
4,5,208,333,517314,587950
4,5,232,348,517314,587950
4,5,219,380,517314,587950
4,5,223,327,517314,587950
4,5,212,436,517314,587950
4,5,192,338,517314,587950
4,5,222,424,517314,587950
4,5,205,367,517314,587950
5,6,203,490,587950,603956
5,6,200,474,587950,603956
5,6,170,470,587950,603956
5,6,187,479,587950,603956
5,6,205,446,587950,603956
5,6,215,467,587950,603956
5,6,179,469,587950,603956
5,6,164,462,587950,603956
5,6,166,506,587950,603956
5,6,176,488,587950,603956
6,7,260,380,603956,639981
6,7,262,378,603956,639981
6,7,245,395,603956,639981
6,7,255,398,603956,639981
6,7,270,374,603956,639981
6,7,260,382,603956,639981
6,7,249,402,603956,639981
6,7,266,401,603956,639981
6,7,264,411,603956,639981
6,7,257,374,603956,639981
7,8,155,454,639981,679038
7,8,159,468,639981,679038
7,8,148,467,639981,679038
7,8,159,455,639981,679038
7,8,148,422,639981,679038
7,8,165,461,639981,679038
7,8,156,476,639981,679038
7,8,163,473,639981,679038
7,8,155,392,639981,679038
7,8,145,481,639981,679038
8,9,335,486,679038,694042
8,9,310,440,679038,694042
8,9,296,436,679038,694042
8,9,309,428,679038,694042
8,9,352,472,679038,694042
8,9,339,482,679038,694042
8,9,303,510,679038,694042
8,9,337,491,679038,694042
8,9,358,486,679038,694042
8,9,346,498,679038,694042
9,10,255,306,694042,611672
9,10,252,309,694042,611672
9,10,199,317,694042,611672
9,10,255,343,694042,611672
9,10,190,325,694042,611672
9,10,172,313,694042,611672
9,10,203,292,694042,611672
9,10,255,319,694042,611672
9,10,270,329,694042,611672
9,10,285,319,694042,611672
10,11,125,287,611672,789700
10,11,125,270,611672,789700
10,11,122,252,611672,789700
10,11,124,215,611672,789700
10,11,126,271,611672,789700
10,11,123,264,611672,789700
10,11,127,254,611672,789700
10,11,130,282,611672,789700
10,11,126,259,611672,789700
10,11,123,215,611672,789700
11,12,129,132,789700,527856
11,12,139,139,789700,527856
11,12,140,160,789700,527856
11,12,137,136,789700,527856
11,12,121,148,789700,527856
11,12,142,164,789700,527856
11,12,139,153,789700,527856
11,12,148,136,789700,527856
11,12,125,145,789700,527856
11,12,141,141,789700,527856
