Scenario,Model,N,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time
Sliding Window,RGF,6,4,0.453635757,0.413625304,0.982940737,0.432707604,0.949866077,0.424532383,0.015946594,16.01955992,2.356871328
Sliding Window,RGF,6,5,0.532044761,0.426590538,0.98887273,0.473517429,0.926107307,0.470881679,0.012890778,16.9776758,2.343413839
Sliding Window,RGF,6,6,0.35019084,0.31207483,0.985744219,0.330035971,0.914663163,0.323403187,0.014815009,15.82739411,2.291075204
Sliding Window,RGF,6,-1,0.444759207,0.388037568,0.985852562,0.414466737,0.932637962,0.408311554,0.014550794,16.27487661,2.330453457
Sliding Window,RGF,10,6,0.435784852,0.422340426,0.983144634,0.42895732,0.940527773,0.42045869,0.016536132,16.41603591,1.40699727
Sliding Window,RGF,10,7,0.585034014,0.320895522,0.98450008,0.414457831,0.962107832,0.426268386,0.014123878,16.27633035,1.399466491
Sliding Window,RGF,10,8,0.479452055,0.379844961,0.989379684,0.423875433,0.909754252,0.421482369,0.012824805,17.55519228,1.383625337
Sliding Window,RGF,10,9,0.257911392,0.219086022,0.983256259,0.236918605,0.88862765,0.229288255,0.016075201,17.54338065,1.379284037
Sliding Window,RGF,10,10,0.496828753,0.364341085,0.989668203,0.42039356,0.943944437,0.420399385,0.012564275,15.70766996,1.36239959
Sliding Window,RGF,10,-1,0.444301766,0.342066238,0.985989878,0.386538193,0.931984287,0.382897646,0.014424805,16.69972183,1.386354545
Sliding Window,RGF,16,9,0.464646465,0.444751381,0.980277594,0.454481299,0.942502768,0.444553799,0.017828556,16.1212592,0.859751024
Sliding Window,RGF,16,10,0.367875648,0.268939394,0.991963056,0.310722101,0.93708779,0.310593031,0.009643283,16.93942759,0.865492288
Sliding Window,RGF,16,11,0.611973392,0.288702929,0.978185437,0.392324094,0.96211811,0.410963373,0.017711841,15.09929815,0.879088202
Sliding Window,RGF,16,12,0.604743083,0.470769231,0.993060162,0.529411765,0.937946119,0.530160911,0.009584016,17.74271315,0.864937178
Sliding Window,RGF,16,13,0.402564103,0.32776618,0.985839669,0.361334868,0.903892127,0.356166015,0.015314418,17.94749726,0.867400008
Sliding Window,RGF,16,14,0.239608802,0.21875,0.983135174,0.228704784,0.894874114,0.220430449,0.01607006,16.30496477,0.868354049
Sliding Window,RGF,16,15,0.429319372,0.307116105,0.984997704,0.358078603,0.920436108,0.355747073,0.016180639,15.19626493,0.872975694
Sliding Window,RGF,16,16,0.51459854,0.446202532,0.992142657,0.477966102,0.951195521,0.475251836,0.010444565,15.6992397,0.849500657
Sliding Window,RGF,16,-1,0.453858785,0.341571923,0.986200276,0.389789874,0.935260708,0.386914022,0.014097114,16.38133309,0.865937387
Sliding Window,RGF,18,10,0.403508772,0.4416,0.978271477,0.421695951,0.938946349,0.411080505,0.019253634,15.82993457,0.788850416
Sliding Window,RGF,18,11,0.448275862,0.345132743,0.989494532,0.39,0.94320649,0.388142457,0.011530607,16.93476584,0.780819467
Sliding Window,RGF,18,12,0.61038961,0.276470588,0.98243348,0.380566802,0.969172408,0.403387367,0.01468532,15.56445531,0.780730967
Sliding Window,RGF,18,13,0.70669746,0.62962963,0.991188036,0.66594124,0.951803288,0.662623878,0.010786119,17.02531233,0.775870849
Sliding Window,RGF,18,14,0.5,0.296829971,0.990039898,0.372513562,0.918047613,0.380593835,0.011513901,17.70001777,0.773001134
Sliding Window,RGF,18,15,0.309823678,0.312977099,0.984385315,0.311392405,0.901094962,0.303499714,0.015646113,17.6053728,0.75716732
Sliding Window,RGF,18,16,0.25,0.231111111,0.98111312,0.240184758,0.887570089,0.230819863,0.018166148,15.65278863,0.78530702
Sliding Window,RGF,18,17,0.477707006,0.324675325,0.986337151,0.386597938,0.933802734,0.387207641,0.01459392,15.56671415,0.767880422
Sliding Window,RGF,18,18,0.526066351,0.420454545,0.992739482,0.467368421,0.940082356,0.466713179,0.01025444,15.76997255,0.758161683
Sliding Window,RGF,18,-1,0.457585139,0.365299061,0.986222645,0.40626718,0.934930216,0.401981591,0.014047716,16.40548155,0.774198809
Sliding Window,RGF,6,4,0.487822878,0.402068127,0.983954917,0.440813605,0.946417063,0.43483359,0.015921385,16.49958809,2.387144416
Sliding Window,RGF,6,5,0.514395393,0.437194127,0.988556995,0.472663139,0.923818049,0.468495594,0.013337249,17.31020652,2.674242203
Sliding Window,RGF,6,6,0.361784675,0.317176871,0.98602168,0.338015406,0.916659327,0.331714505,0.014532432,16.50104342,2.35136876
Sliding Window,RGF,6,-1,0.457992999,0.388037568,0.986177864,0.420123093,0.930979481,0.414631203,0.014597022,16.77027935,2.47091846
Sliding Window,RGF,20,11,0.407108239,0.454054054,0.978631797,0.429301533,0.944548584,0.419093722,0.018332494,16.44574558,0.699645694
Sliding Window,RGF,20,12,0.5,0.355844156,0.987721257,0.415781487,0.938646155,0.41581994,0.013635022,17.3162365,0.701365604
Sliding Window,RGF,20,13,0.536082474,0.336569579,0.990591612,0.413518887,0.961963008,0.420333034,0.010051907,16.40511118,0.6984162
Sliding Window,RGF,20,14,0.735555556,0.433813893,0.982427045,0.545754328,0.967647317,0.556976985,0.015968529,16.32441977,0.701281226
Sliding Window,RGF,20,15,0.589595376,0.39688716,0.992792218,0.474418605,0.929408362,0.480307424,0.010168422,18.59330975,0.697328729
Sliding Window,RGF,20,16,0.40974212,0.368556701,0.985616329,0.388059701,0.905598294,0.381350024,0.014772,18.42496227,0.700978464
Sliding Window,RGF,20,17,0.23381295,0.195783133,0.984691437,0.213114754,0.891731465,0.206272167,0.014893672,18.61293624,0.68560316
Sliding Window,RGF,20,18,0.284574468,0.259708738,0.98169351,0.271573604,0.891193846,0.262604672,0.017937995,15.61155898,0.697787569
Sliding Window,RGF,20,19,0.463276836,0.391408115,0.985807686,0.424320828,0.949439577,0.418707506,0.013865113,16.21775526,0.686247586
Sliding Window,RGF,20,20,0.496932515,0.35840708,0.992762403,0.416452442,0.938891429,0.418499831,0.010589089,16.76125012,0.672086529
Sliding Window,RGF,20,-1,0.46006192,0.367276322,0.986273716,0.40846619,0.936142548,0.404220564,0.014021326,17.07132856,0.694074076
Sliding Window,RGF,24,13,0.383895131,0.439914163,0.977419725,0.41,0.947134316,0.399504888,0.018754858,16.623098,0.595511199
Sliding Window,RGF,24,14,0.582132565,0.438177874,0.984538253,0.5,0.929521451,0.497437459,0.017703266,18.1203522,0.611602615
Sliding Window,RGF,24,15,0.208955224,0.229508197,0.996172835,0.21875,0.948809167,0.217075733,0.005463835,17.93212774,0.585556776
Sliding Window,RGF,24,16,0.663265306,0.297256098,0.978567875,0.410526316,0.965406371,0.435140215,0.017955881,16.40439053,0.588302391
Sliding Window,RGF,24,17,0.718346253,0.65258216,0.990164185,0.683886839,0.963162399,0.679710287,0.011462209,17.21699711,0.572885037
Sliding Window,RGF,24,18,0.496240602,0.331658291,0.99234567,0.397590361,0.916769152,0.402015526,0.010094518,18.53804344,0.580470249
Sliding Window,RGF,24,19,0.47983871,0.353115727,0.986719737,0.406837607,0.903415293,0.405100522,0.014665235,19.29159646,0.586560046
Sliding Window,RGF,24,20,0.2578125,0.25,0.985150599,0.253846154,0.90094891,0.246378371,0.014475552,18.30600221,0.581397292
Sliding Window,RGF,24,21,0.216463415,0.217791411,0.980404914,0.217125382,0.886476082,0.207204758,0.018310297,16.48665966,0.586141174
Sliding Window,RGF,24,22,0.3187251,0.266666667,0.985035784,0.290381125,0.917603017,0.284029025,0.015406674,15.97349693,0.569393535
Sliding Window,RGF,24,23,0.585858586,0.461538462,0.987523441,0.516320475,0.956284614,0.513817639,0.013648417,15.75279373,0.57529976
Sliding Window,RGF,24,24,0.37398374,0.265895954,0.992196465,0.310810811,0.930339353,0.311526075,0.010752463,16.80895769,0.573967158
Sliding Window,RGF,24,-1,0.46431853,0.374691053,0.986353532,0.414717549,0.937091709,0.41029656,0.01405763,17.28787631,0.583923936
Sliding Window,RGF,12,7,0.425462459,0.421790723,0.979639871,0.423618635,0.934420669,0.413259757,0.018857391,17.02889521,1.155021561
Sliding Window,RGF,12,8,0.589005236,0.313807531,0.987581087,0.409463148,0.970470224,0.424373516,0.011624307,16.98559286,1.270931246
