Training Period,Testing Period,Training Error,Testing Error,Training Size,Testing Size
1,2,233,278,19071,22263
1,3,233,379,19071,21465
1,4,233,255,19071,21604
1,5,233,277,19071,22130
1,6,233,188,19071,20763
1,7,233,85,19071,17474
1,8,233,196,19071,21612
1,9,233,304,19071,22158
1,10,233,675,19071,23554
1,11,233,330,19071,24322
1,12,233,246,19071,22685
1,13,233,146,19071,18763
1,14,233,79,19071,15263
1,15,233,313,19071,19349
1,16,233,415,19071,24525
1,17,233,447,19071,23315
1,18,233,304,19071,43718
1,19,233,704,19071,25471
1,20,233,212,19071,21460
1,21,233,146,19071,18280
1,22,233,265,19071,20893
1,23,233,262,19071,24227
1,24,233,287,19071,24491
1,25,233,270,19071,20018
1,26,233,367,19071,26072
1,27,233,221,19071,21354
1,28,233,139,19071,20809
1,2,234,270,19071,22263
1,3,234,377,19071,21465
1,4,234,244,19071,21604
1,5,234,274,19071,22130
1,6,234,183,19071,20763
1,7,234,83,19071,17474
1,8,234,189,19071,21612
1,9,234,307,19071,22158
1,10,234,674,19071,23554
1,11,234,333,19071,24322
1,12,234,247,19071,22685
1,13,234,147,19071,18763
1,14,234,80,19071,15263
1,15,234,310,19071,19349
1,16,234,413,19071,24525
1,17,234,445,19071,23315
1,18,234,303,19071,43718
1,19,234,735,19071,25471
1,20,234,208,19071,21460
1,21,234,145,19071,18280
1,22,234,264,19071,20893
1,23,234,257,19071,24227
1,24,234,283,19071,24491
1,25,234,269,19071,20018
1,26,234,361,19071,26072
1,27,234,222,19071,21354
1,28,234,139,19071,20809
1,2,237,276,19071,22263
1,3,237,378,19071,21465
1,4,237,257,19071,21604
1,5,237,282,19071,22130
1,6,237,183,19071,20763
1,7,237,81,19071,17474
1,8,237,193,19071,21612
1,9,237,307,19071,22158
1,10,237,674,19071,23554
1,11,237,332,19071,24322
1,12,237,248,19071,22685
1,13,237,147,19071,18763
1,14,237,78,19071,15263
1,15,237,313,19071,19349
1,16,237,413,19071,24525
1,17,237,452,19071,23315
1,18,237,304,19071,43718
1,19,237,698,19071,25471
1,20,237,205,19071,21460
1,21,237,145,19071,18280
1,22,237,267,19071,20893
1,23,237,258,19071,24227
1,24,237,287,19071,24491
1,25,237,266,19071,20018
1,26,237,367,19071,26072
1,27,237,222,19071,21354
