Scenario,Model,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Static Model,RF,15,0.4955357142857143,0.6915887850467289,0.9832032663186728,0.577373211963589,0.9648661719702134,0.5772877477553079,0.014524393261330978
Updated Model,RF,15,0.468682505399568,0.67601246105919,0.9819112098816476,0.5535714285714286,0.9672649979011091,0.5541881599013212,0.015152209613664681
Static Model,RF,16,0.4085667215815486,0.5933014354066986,0.9784301732925587,0.48390243902439023,0.9611159418247555,0.48187940157869863,0.01847873629747768
Updated Model,RF,16,0.41341653666146644,0.6339712918660287,0.9784301732925587,0.5004721435316336,0.9679746179463451,0.501681993998052,0.01819211290629653
Static Model,RF,17,0.5859213250517599,0.5908141962421712,0.9830152262491958,0.5883575883575884,0.9573522065844101,0.5796916862706751,0.01754357574060876
Updated Model,RF,17,0.566420664206642,0.6409185803757829,0.9825434269783401,0.6013712047012733,0.9704842846020878,0.5936645649725945,0.015990010196876594
Static Model,RF,18,0.48484848484848486,0.567741935483871,0.9926574866187841,0.5230312035661218,0.9720209519874441,0.5209977620169125,0.008876927740196229
Updated Model,RF,18,0.4631043256997455,0.5870967741935483,0.9922457568964729,0.5177809388335703,0.9745184847746216,0.5176058409246171,0.007432642944997729
Static Model,RF,19,0.671559633027523,0.49931787175989084,0.9785638569353382,0.5727699530516432,0.9705041164280239,0.5685219645658967,0.018865338127742517
Updated Model,RF,19,0.7297297297297297,0.810368349249659,0.9859055396333085,0.7679379444085327,0.9813245266049867,0.7618018456871943,0.013080844280852448
Static Model,RF,20,0.47318611987381703,0.7425742574257426,0.9897949673811742,0.5780346820809249,0.9747978396484864,0.5880914443669689,0.01310028899301105
Updated Model,RF,20,0.6060606060606061,0.7920792079207921,0.9931966449207829,0.6866952789699571,0.9840869459511574,0.689581883135728,0.007236432669980403
Static Model,RF,21,0.3923444976076555,0.5815602836879432,0.9898249452954048,0.4685714285714285,0.9489884849032237,0.4728097979978082,0.014022863265746819
Updated Model,RF,21,0.5300546448087432,0.6879432624113475,0.9928884026258206,0.5987654320987655,0.9805725995357365,0.6003943260416464,0.007641882708386953
Static Model,RF,22,0.387434554973822,0.550185873605948,0.9830086631886278,0.45468509984639016,0.9381121283609382,0.4534163881433813,0.018825409263935673
Updated Model,RF,22,0.5249169435215947,0.587360594795539,0.9878428181687646,0.5543859649122806,0.9539558164451277,0.5491331071471162,0.011623825778257525
Static Model,RF,23,0.28610354223433243,0.4117647058823529,0.982994180047055,0.337620578778135,0.9180313306700956,0.3349036812718147,0.018291772071863766
Updated Model,RF,23,0.36615384615384616,0.4666666666666667,0.9858835183885747,0.4103448275862069,0.9406573191599351,0.40634826435347793,0.01353846679986103
Static Model,RF,24,0.23809523809523808,0.33687943262411346,0.979951819035564,0.27900146842878126,0.8930022507894461,0.27331701782256834,0.020017382246653104
Updated Model,RF,24,0.40397350993377484,0.4326241134751773,0.9861173492303295,0.4178082191780822,0.9175575492263149,0.41103843202544654,0.01382177308150719
Static Model,RF,25,0.39923954372623577,0.39473684210526316,0.9840643420921171,0.3969754253308128,0.9050545371630778,0.3889075925529004,0.015859491274050518
Updated Model,RF,25,0.44126984126984126,0.5225563909774437,0.9848636227395344,0.4784853700516351,0.9497577289213313,0.4725945704877917,0.014703298915426941
Static Model,RF,26,0.3793911007025761,0.453781512605042,0.9823565510892912,0.413265306122449,0.9288932061255378,0.40605273786913176,0.017229146180558798
Updated Model,RF,26,0.42890995260663506,0.5070028011204482,0.9840058300092053,0.46469833119383824,0.9464978369337237,0.45828405675903955,0.01552385244034933
Static Model,RF,27,0.5259259259259259,0.6574074074074074,0.9905404139739628,0.5843621399176955,0.9614584099900829,0.5833324849337951,0.010512188954407937
Updated Model,RF,27,0.6076923076923076,0.7314814814814815,0.9925072585932379,0.6638655462184874,0.9859024952429012,0.6630122772300531,0.007564511311458345
Static Model,RF,28,0.36065573770491804,0.4748201438848921,0.9908693353837282,0.40993788819875776,0.9535835482557351,0.4093222458784548,0.011867975663971766
Updated Model,RF,28,0.42857142857142855,0.6690647482014388,0.9918304579749146,0.5224719101123596,0.9784693000316728,0.5316858223092312,0.007644635264280961
Static Model,NN,15,0.37467018469656993,0.4423676012461059,0.9785001808879011,0.40571428571428575,0.8933236280097472,0.3962558253182544,0.017913555311082813
Updated Model,NN,15,0.3299798792756539,0.5109034267912772,0.9746756938343066,0.4009779951100244,0.8825166323182035,0.39837665115980814,0.02165453833907449
Static Model,NN,16,0.28996865203761757,0.44258373205741625,0.9720285423037717,0.35037878787878785,0.8845717845260453,0.344605224246595,0.021859125937047915
Updated Model,NN,16,0.2612942612942613,0.5119617224880383,0.967013251783894,0.34599838318512527,0.8898304369891571,0.350749803432222,0.027195175847593272
Static Model,NN,17,0.39267015706806285,0.4697286012526096,0.9741797126313532,0.42775665399239543,0.8885099654027575,0.41639930348575444,0.02216500671487221
Updated Model,NN,17,0.4209650582362729,0.5281837160751566,0.9753806562298949,0.4685185185185185,0.9086753563852409,0.45916016805752935,0.02231917996909307
Static Model,NN,18,0.22606924643584522,0.3580645161290323,0.9867560272656571,0.27715355805243447,0.8939849797272391,0.27813709801989855,0.01204492594939027
Updated Model,NN,18,0.36556603773584906,0.5,0.9903014776522256,0.4223433242506812,0.9095578487093209,0.4227880093770522,0.00972561629183486
Static Model,NN,19,0.45726495726495725,0.4379263301500682,0.9688665541203721,0.4473867595818815,0.9324780727949786,0.43148312851563897,0.024775013324910656
Updated Model,NN,19,0.6707317073170732,0.6753069577080492,0.9811157787287503,0.6730115567641061,0.9402720042195001,0.6632928674462921,0.018169034893289745
Static Model,NN,20,0.2676348547717842,0.6386138613861386,0.9801491146318733,0.37719298245614036,0.9018175102861683,0.4053475383850161,0.017043551299854996
Updated Model,NN,20,0.35,0.6584158415841584,0.9852749301025163,0.4570446735395189,0.9382641270054186,0.4735627903204859,0.013661293667954238
Static Model,NN,21,0.1330049261083744,0.3829787234042553,0.9759846827133479,0.19744058500914075,0.8567146374392546,0.2158410198383779,0.019524356751945193
Updated Model,NN,21,0.25339366515837103,0.3971631205673759,0.9863238512035011,0.30939226519337015,0.8932031565542526,0.310655907549413,0.01238155234280013
Static Model,NN,22,0.23076923076923078,0.44609665427509293,0.9737232565931173,0.30418250950570347,0.8608667023801627,0.308786194002865,0.021909655824483794
Updated Model,NN,22,0.3407821229050279,0.45353159851301117,0.9816685014119562,0.3891547049441786,0.8657139803196046,0.3840458338657308,0.016829090570032935
Static Model,NN,23,0.15612648221343872,0.30980392156862746,0.975110414000908,0.2076215505913272,0.8363967111957414,0.20837741185295702,0.021012691765531822
Updated Model,NN,23,0.22146118721461186,0.3803921568627451,0.979403145251166,0.27994227994227994,0.861656409602052,0.28046362846343503,0.018136833987739905
Static Model,NN,24,0.10661764705882353,0.20567375886524822,0.9710097586868646,0.14043583535108958,0.8124649000767254,0.13435771896328727,0.023595281132055747
Updated Model,NN,24,0.16449086161879894,0.22340425531914893,0.977991915397493,0.1894736842105263,0.8328528104400538,0.18073274705522252,0.01903467376706457
Static Model,NN,25,0.1989100817438692,0.2744360902255639,0.9756718952942351,0.23064770932069512,0.8625632656976585,0.22153613573466416,0.021178465765020717
Updated Model,NN,25,0.19714964370546317,0.31203007518796994,0.9739734239184734,0.24163027656477443,0.8947004890720117,0.23534860141402578,0.021529034432771946
Static Model,NN,26,0.2511111111111111,0.3165266106442577,0.9777155569193003,0.2800495662949195,0.8890060243424611,0.2707452445668509,0.019337729495691673
Updated Model,NN,26,0.18115942028985507,0.42016806722689076,0.966055538508745,0.25316455696202533,0.9007249798616705,0.2609823769976357,0.027329913703961196
Static Model,NN,27,0.39009287925696595,0.5833333333333334,0.9865598951016203,0.4675324675324676,0.9057310338060645,0.4705977001454239,0.014327890074675054
Updated Model,NN,27,0.3181818181818182,0.6481481481481481,0.9823920576941089,0.426829268292683,0.9440467054243192,0.4465528261451494,0.01680704774374062
Static Model,NN,28,0.2169811320754717,0.33093525179856115,0.9875534624441348,0.2621082621082621,0.8463485815121488,0.26192776498888,0.015567888995990162
Updated Model,NN,28,0.26521739130434785,0.43884892086330934,0.9881301359988467,0.33062330623306235,0.929794161767828,0.33554367064997676,0.012665856895058196
Static Model,CART,15,0.2774869109947644,0.660436137071651,0.9658380278050546,0.39078341013824885,0.8156328237711011,0.4141367423623909,0.03384454136010363
Updated Model,CART,15,0.287292817679558,0.6479750778816199,0.9674918600444468,0.3980861244019138,0.8118820796635488,0.41785283034331544,0.032364104366551134
Static Model,CART,16,0.249269717624148,0.6124401913875598,0.9619571865443425,0.354325259515571,0.7904231989636317,0.3750849938553897,0.03749888566524652
Updated Model,CART,16,0.2576853526220615,0.6818181818181818,0.9611009174311926,0.37401574803149606,0.827188364554122,0.4040296554682683,0.03856903846813784
Static Model,CART,17,0.27734711455641686,0.6722338204592901,0.9572807205661591,0.3926829268292683,0.8175167784375914,0.4144257763769818,0.04268713177288339
Updated Model,CART,17,0.2768,0.7223382045929019,0.9555221960111516,0.4002313475997687,0.8438824114289016,0.42996541102711006,0.04452953620510382
Static Model,CART,18,0.19144800777453838,0.635483870967742,0.9783841895786632,0.29424943988050783,0.8111742818329905,0.34111760329904905,0.021610427152872855
Updated Model,CART,18,0.18089053803339517,0.6290322580645161,0.9771718742851915,0.28097982708933716,0.8071366360296304,0.32933978581206425,0.022834076917320187
Static Model,CART,19,0.388801261829653,0.6725784447476125,0.9601507596874878,0.4927536231884057,0.8224661023239788,0.4929098703087039,0.039743345287713214
Updated Model,CART,19,0.4995983935742972,0.8485675306957708,0.9711829139020848,0.6289180990899899,0.9121986136401161,0.638426582933597,0.028816162607584222
Static Model,CART,20,0.1959544879898862,0.7673267326732673,0.9681733457595526,0.31218529707955683,0.8685170591572282,0.3779175849735245,0.03185007618254801
Updated Model,CART,20,0.2766323024054983,0.7970297029702971,0.9784715750232992,0.4107142857142857,0.8908959376039213,0.4620382484801419,0.02157905973776153
Static Model,CART,21,0.12721893491124261,0.6099290780141844,0.9647155361050328,0.2105263157894737,0.7883769113140879,0.26767994975399595,0.035289456238152356
Updated Model,CART,21,0.23006833712984054,0.7163120567375887,0.9793216630196937,0.34827586206896555,0.8517034922206335,0.3986846425091653,0.02087021608365436
Static Model,CART,22,0.1809421841541756,0.6282527881040892,0.9585985736849663,0.28096425602660013,0.7971618225130573,0.32249639366000954,0.04139508453908102
Updated Model,CART,22,0.2531055900621118,0.6059479553903345,0.9719044656104916,0.35706462212486306,0.7942714266556306,0.380020861914455,0.02814782373225011
Static Model,CART,23,0.11819887429643527,0.49411764705882355,0.9558756758987906,0.19076457229371688,0.7288925314828084,0.22635281581214928,0.0441506170418112
Updated Model,CART,23,0.15420023014959724,0.5254901960784314,0.9646675197094151,0.23843416370106763,0.7557218715952925,0.27155013724671295,0.03532131034010931
Static Model,CART,24,0.09442870632672333,0.3546099290780142,0.9534114572700175,0.14914243102162567,0.6563244751893161,0.16522133765101762,0.046560615101432196
Updated Model,CART,24,0.15282791817087846,0.450354609929078,0.9649258911436854,0.22821203953279426,0.7130276413818318,0.2482391556500836,0.03504143806361959
Static Model,CART,25,0.13898704358068315,0.44360902255639095,0.9560895194325107,0.21165919282511209,0.7038761849946861,0.23102569050398306,0.04395758944662657
Updated Model,CART,25,0.2010652463382157,0.5676691729323309,0.9642821460685383,0.2969518190757129,0.7783143498174355,0.32376516501416597,0.035893851783394944
Static Model,CART,26,0.1452471482889734,0.5350140056022409,0.9505216324025775,0.2284688995215311,0.7465628133423308,0.26089507669717943,0.04957781572700436
Updated Model,CART,26,0.1636085626911315,0.5994397759103641,0.9525544645596808,0.257057057057057,0.7793705621466942,0.2964746748693517,0.04758729969838572
