Period,Index,Corr,P Value
1,1-smart_7_raw~smart_9_raw,0.3926508489966313,0.0
1,2-smart_194_raw~smart_193_raw_diff,0.08351219911240054,0.0
1,3-smart_4_raw~smart_193_raw,0.488518820495823,0.0
1,4-smart_9_raw~smart_193_raw,0.3614696594863311,0.0
1,5-smart_7_raw~smart_193_raw_diff,-0.2060877354030099,0.0
1,6-smart_9_raw~smart_194_raw,0.007050362867791068,2.906310840009286e-06
1,7-smart_7_raw~smart_194_raw,0.014807900527070783,8.854543715198378e-23
1,8-smart_12_raw~smart_193_raw,0.48699328998971547,0.0
1,9-smart_5_raw_diff~smart_187_raw_diff,0.2621250042696929,0.0
1,10-smart_9_raw~smart_193_raw_diff,-0.0934794261359456,0.0
2,1-smart_7_raw~smart_9_raw,0.45169028170165854,0.0
2,2-smart_194_raw~smart_193_raw_diff,0.01087956078708474,5.431285617477017e-13
2,3-smart_4_raw~smart_193_raw,0.48054415062310907,0.0
2,4-smart_9_raw~smart_193_raw,0.3726391207223727,0.0
2,5-smart_7_raw~smart_193_raw_diff,-0.13199589010884763,0.0
2,6-smart_9_raw~smart_194_raw,-0.006349779265092281,2.5497996380230926e-05
2,7-smart_7_raw~smart_194_raw,0.04120205328303096,1.808727969618838e-164
2,8-smart_12_raw~smart_193_raw,0.47911240289805573,0.0
2,9-smart_5_raw_diff~smart_187_raw_diff,0.38258322361842473,0.0
2,10-smart_9_raw~smart_193_raw_diff,-0.09666571748839295,0.0
3,1-smart_7_raw~smart_9_raw,0.4179619848490107,0.0
3,2-smart_194_raw~smart_193_raw_diff,0.15991969515651777,0.0
3,3-smart_4_raw~smart_193_raw,0.404079477628036,0.0
3,4-smart_9_raw~smart_193_raw,0.28537347053424766,0.0
3,5-smart_7_raw~smart_193_raw_diff,-0.34383985424207075,0.0
3,6-smart_9_raw~smart_194_raw,-0.04190072008802383,5.441977591716244e-195
3,7-smart_7_raw~smart_194_raw,-0.007031260270150306,5.832907600278382e-07
3,8-smart_12_raw~smart_193_raw,0.4024215057271449,0.0
3,9-smart_5_raw_diff~smart_187_raw_diff,0.31138963828888844,0.0
3,10-smart_9_raw~smart_193_raw_diff,-0.2652159963086041,0.0
4,1-smart_7_raw~smart_9_raw,0.3716286445890586,0.0
4,2-smart_194_raw~smart_193_raw_diff,0.1689654986281274,0.0
4,3-smart_4_raw~smart_193_raw,0.3796127661447931,0.0
4,4-smart_9_raw~smart_193_raw,0.28858696205603673,0.0
4,5-smart_7_raw~smart_193_raw_diff,-0.13680443707956708,0.0
4,6-smart_9_raw~smart_194_raw,-0.19239650647714687,0.0
4,7-smart_7_raw~smart_194_raw,-0.1036430019137669,0.0
4,8-smart_12_raw~smart_193_raw,0.37822964518968016,0.0
4,9-smart_5_raw_diff~smart_187_raw_diff,0.19901981035770974,0.0
4,10-smart_9_raw~smart_193_raw_diff,-0.11376274236861475,0.0
5,1-smart_7_raw~smart_9_raw,0.420961857084349,0.0
5,2-smart_194_raw~smart_193_raw_diff,0.11233341611336742,0.0
5,3-smart_4_raw~smart_193_raw,0.33972480776568637,0.0
5,4-smart_9_raw~smart_193_raw,0.28554222253682365,0.0
5,5-smart_7_raw~smart_193_raw_diff,-0.15058543257850868,0.0
