Scenario,Model,N,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time
Static Model,CART,4,3,0.17931212160247328,0.6134861172322609,0.9537687288313975,0.27751196172248804,0.7882349065567176,0.31502986566566654,0.046260136546496564,0.6043703269679099,0.10092642111703753
Updated Model,CART,4,3,0.2370748299319728,0.6143675628029969,0.9658049331215676,0.34212786845011656,0.7930482358634888,0.3679316295671703,0.03409871065200532,0.6216464689932764,0.10836710687726736
Static Model,CART,4,4,0.13139518312669232,0.5188519977490152,0.9556698006097795,0.20968842392540368,0.7424554946052101,0.2454999139445264,0.04437304505312024,0.6043703269679099,0.10439078905619681
Updated Model,CART,4,4,0.14990227033528794,0.5610579628587508,0.95896107872278,0.23659231134314196,0.7635370185151418,0.2755183066023498,0.04101920095098339,0.5947855559643358,0.1049485900439322
Static Model,CART,4,-1,0.15656292286874154,0.5719228868017795,0.9547192677520691,0.24583023478168492,0.7681854563431624,0.2831150405586772,0.045316587790621025,0.6043703269679099,0.10265860508661717
Updated Model,CART,4,-1,0.19080679913813742,0.5909540286702917,0.9623829950088502,0.28847197924835616,0.7798544292181229,0.32161783253576937,0.03755896683702288,0.6082160124788061,0.10665784846059978
Static Model,CART,6,4,0.2830508474576271,0.7110705596107056,0.9671252798561013,0.40491860062348456,0.8425863789057713,0.43576804891289267,0.03272511175555863,0.5915928538888693,0.06593862408772111
Updated Model,CART,6,4,0.21473563657186487,0.6843065693430657,0.955672707093515,0.3268923434548889,0.8235425489438406,0.367408900716056,0.044178118079094955,0.5965222190134227,0.06997317378409207
Static Model,CART,6,5,0.14824351664520877,0.6574225122349103,0.9516733959700722,0.24193306318475163,0.8084721245757683,0.2970109939619463,0.04817045583287068,0.5915928538888693,0.07067080400884151
Updated Model,CART,6,5,0.23707403055229143,0.6582381729200653,0.971143726439465,0.34859611231101517,0.8188937273062148,0.3840145053433036,0.02870112278504339,0.5978706798050553,0.0607753018848598
Static Model,CART,6,6,0.12682158330051202,0.5476190476190477,0.9524871076072293,0.20594819315637994,0.7538005825788121,0.2476052933965528,0.047451695161024654,0.5915928538888693,0.07301153405569494
Updated Model,CART,6,6,0.17419863373620598,0.5637755102040817,0.9650207139371789,0.2661581694098756,0.7707211812180046,0.30032348144767324,0.034936527199850326,0.6221121400594711,0.07155898306518793
Static Model,CART,6,-1,0.1788323659952202,0.6473059812160158,0.9570952464479916,0.28024182761756994,0.8058855887361352,0.3254319598499805,0.04278243580788886,0.5915928538888693,0.06987365405075252
Updated Model,CART,6,-1,0.20845047795003616,0.6413741967375185,0.9639457192518059,0.3146408002424978,0.8072041482308432,0.35230798178506273,0.03593858615885306,0.605501679625983,0.0674358195780466
Static Model,CART,8,5,0.2020048602673147,0.6730769230769231,0.9623666887788948,0.3107476635514019,0.8206253988429631,0.35547098549060946,0.0374847570183215,0.5830638378392905,0.05396539089269936
Updated Model,CART,8,5,0.20754716981132076,0.6568825910931174,0.9640633770475072,0.3154313487241798,0.812928723493289,0.35619487790995985,0.03580934516696557,0.6015287560876459,0.04765292117372155
Static Model,CART,8,6,0.20104895104895104,0.7181889149102264,0.9487549114660407,0.3141540037561892,0.8361287533093076,0.3627365996490158,0.05124285930205398,0.5830638378392905,0.05365908890962601
Updated Model,CART,8,6,0.3274401473296501,0.6939890710382514,0.9717048527835893,0.44494494494494496,0.8368772544315705,0.46477234556254093,0.02803852822813038,0.5643574479036033,0.0486550647765398
Static Model,CART,8,7,0.1051063829787234,0.5329018338727076,0.9408200234729805,0.17558201528345477,0.7397726067307114,0.21792648363433115,0.058924418288526785,0.5830638378392905,0.05186380003578961
Updated Model,CART,8,7,0.17362329007365837,0.5339805825242718,0.9644333316323928,0.2620434092112229,0.7525882078362794,0.2907761068596812,0.03541313918775954,0.7321057999506593,0.058363192016258836
Static Model,CART,8,8,0.14691508857666463,0.5658823529411765,0.959664765986759,0.23326867119301653,0.7678656699774167,0.2743030487335042,0.04022449979434203,0.5830638378392905,0.05182102997787297
Updated Model,CART,8,8,0.18669606762219773,0.5976470588235294,0.9674078042682382,0.2845141416970037,0.7870335548170236,0.3219909145077741,0.032454893837277385,0.6349929240532219,0.0502756719943136
Static Model,CART,8,-1,0.16159575811134957,0.6327236777063767,0.9529017052720877,0.2574416733708769,0.7961434587376235,0.3039193555179555,0.04696902605044852,0.5830638378392905,0.052827327453996986
Updated Model,CART,8,-1,0.22262134221131943,0.6280276816608996,0.9669023494930746,0.3287192755498059,0.8010551135616627,0.3611714805296827,0.03292896904527905,0.6332462319987826,0.05123671249020845
Static Model,CART,10,6,0.25658153241650294,0.6946808510638298,0.965252750757455,0.37474892395982784,0.8337252728894768,0.40892001789373605,0.03459750056355747,0.7576195630244911,0.0452502160333097
Updated Model,CART,10,6,0.22995626822157433,0.6712765957446809,0.96137777069048,0.34256243213897936,0.8184064597907819,0.3784379154660439,0.03830471170695396,0.5919198750052601,0.0410106829367578
Static Model,CART,10,7,0.2867988190636862,0.6343283582089553,0.9667836070802105,0.39500435666569855,0.8047928976745785,0.41244843754865007,0.03320157656330414,0.7576195630244911,0.0434608890209347
Updated Model,CART,10,7,0.3913690476190476,0.7360074626865671,0.9759209057566576,0.5110103626943004,0.8597274656843302,0.5262325944024128,0.023902700837087454,0.6591728141065687,0.04875861993059516
Static Model,CART,10,8,0.13806361412093673,0.6124031007751938,0.9566895232020411,0.22532800912721052,0.7895314302272499,0.2768985734015438,0.04331308315243075,0.7576195630244911,0.04231450310908258
Updated Model,CART,10,8,0.20248138957816378,0.6325581395348837,0.9705948014670707,0.3067669172932331,0.804446451176155,0.3470874093011498,0.029156169753153008,0.6537216980941594,0.038751887856051326
Static Model,CART,10,9,0.1333597150771666,0.4529569892473118,0.9585871471854569,0.20605319474166922,0.7094978420354693,0.2299321921368344,0.041450681046880974,0.7576195630244911,0.04155531199648976
Updated Model,CART,10,9,0.16997578692493948,0.4717741935483871,0.9664008929995216,0.24991100035599856,0.7234819784106372,0.2694635341480232,0.03351457731921126,0.6822104998864233,0.03993871086277068
Static Model,CART,10,10,0.13756063756063755,0.6155038759689923,0.9563609113665715,0.22486547720192582,0.789575395508187,0.27707094692053175,0.04363963144145193,0.7576195630244911,0.04416730999946594
Updated Model,CART,10,10,0.14543446244477173,0.6124031007751938,0.9590076372391142,0.23504909253198453,0.7902821538583731,0.2850102316451884,0.04092489269756288,0.5733250591438264,0.04145580297335982
Static Model,CART,10,-1,0.1866565579984837,0.6085022244191794,0.9607346623761397,0.2856811325133442,0.7886288332006093,0.32262220310182416,0.03924062082077297,0.7576195630244911,0.04334964603185654
Updated Model,CART,10,-1,0.22274143302180685,0.6361838853188334,0.966660181975322,0.3299576977310601,0.8048974571135902,0.3637048381801841,0.033160833318907276,0.6320699892472476,0.041983140911906955
Static Model,CART,12,7,0.2597609561752988,0.703344120819849,0.9591840639889779,0.3794006400931044,0.8336571764861543,0.41183888956467646,0.04061253568068895,0.601819806965068,0.032231298042461276
Updated Model,CART,12,7,0.2626877791311409,0.697950377562028,0.9598920760060468,0.38171091445427724,0.8312918080249384,0.41270349920343496,0.03997517726419033,0.6254310968797654,0.03526421496644616
Static Model,CART,12,8,0.28447276940903826,0.6847977684797768,0.9720430930557415,0.40196479738027013,0.831450412378482,0.4301564566892043,0.02784618827294173,0.601819806965068,0.032111273845657706
Updated Model,CART,12,8,0.3462059620596206,0.7126917712691772,0.9775923764327675,0.4660282717738259,0.8473875444201793,0.48727938313477653,0.022441146763442454,0.617368902079761,0.03230031509883702
Static Model,CART,12,9,0.2036379769299024,0.7344,0.962475363095352,0.31886071552622436,0.8525696866405857,0.3743660205471432,0.03740809963785885,0.601819806965068,0.04173565818928182
Updated Model,CART,12,9,0.29879974731522424,0.7568,0.9758510495799767,0.4284420289855072,0.8699771313475617,0.4663718590861,0.023776266867097873,0.5703871170990169,0.035356043139472604
Static Model,CART,12,10,0.14742524916943522,0.5906821963394343,0.9560075776421286,0.23595879029577932,0.7762579711991622,0.28018520077415476,0.043915033678006136,0.601819806965068,0.03187840501777828
Updated Model,CART,12,10,0.19811875367430923,0.5607321131447587,0.9688474712489714,0.29278887923544744,0.7702025622375345,0.32104551436635065,0.03125136139758619,0.7133781029842794,0.029960126848891377
Static Model,CART,12,11,0.13503480278422275,0.46485623003194887,0.9579211236342066,0.20927723840345203,0.7174142815146145,0.23458514000268202,0.04187529116178392,0.601819806965068,0.03265407797880471
Updated Model,CART,12,11,0.1608171817705605,0.4904153354632588,0.9632407814921832,0.24220907297830377,0.7318097640331935,0.26639644267410667,0.03676638831570636,0.6240416988730431,0.033229246037080884
Static Model,CART,12,12,0.19228709159078736,0.6527272727272727,0.9674894756984309,0.2970624741414977,0.81426056152318,0.34284105618554833,0.03240333234114329,0.601819806965068,0.03221584088169038
Updated Model,CART,12,12,0.2510176390773406,0.6727272727272727,0.9754305396096441,0.36561264822134387,0.8325265378597423,0.4014954045500906,0.024574107525438635,0.5605174899101257,0.034608574816957116
Static Model,CART,12,-1,0.20178018575851392,0.6443400889767672,0.9625201320342524,0.3073205233997406,0.8070874456814109,0.3469394414020001,0.037343397707,0.601819806965068,0.033804425659279026
Updated Model,CART,12,-1,0.24938713935508203,0.6537320810677212,0.9701423992600979,0.361042861042861,0.8161798961580446,0.3920631709698618,0.029797391363920546,0.6185207346376652,0.03345308681794753
Static Model,CART,14,8,0.31427099433281813,0.7076566125290024,0.964659656642779,0.4352479486264716,0.8388503253440944,0.4570459151204376,0.03512355575011024,0.5830798109527677,0.028183880960568786
Updated Model,CART,14,8,0.2953983176645225,0.6925754060324826,0.9622932154577725,0.4141519250780437,0.8296523693214116,0.43694428660982715,0.0376369913250669,0.6035938039422035,0.027752296067774296
Static Model,CART,14,9,0.18044354838709678,0.5811688311688312,0.9789699283370169,0.2753846153846154,0.7888974322294543,0.31608956638631297,0.02101725599133169,0.5830798109527677,0.02704960503615439
Updated Model,CART,14,9,0.1976401179941003,0.6525974025974026,0.979394101756971,0.30339622641509434,0.8231677028153369,0.3518576134301647,0.020610813654652622,0.6266884270589799,0.02972435997799039
Static Model,CART,14,10,0.37962435970404096,0.7156652360515021,0.9697497376822272,0.49609520267757534,0.8466463823043006,0.5079331079829602,0.03030300639210687,0.5830798109527677,0.02843418694101274
Updated Model,CART,14,10,0.4239306984298863,0.8401287553648069,0.9729198758734624,0.5635120546959338,0.9095709886470261,0.5856977266075998,0.026863134176507708,0.5674183710943907,0.027693554060533643
Static Model,CART,14,11,0.19001919385796545,0.6556291390728477,0.9682539682539683,0.29464285714285715,0.814047357316183,0.3418973537588302,0.03183991567866798,0.5830798109527677,0.025953202974051237
Updated Model,CART,14,11,0.2127659574468085,0.6181015452538632,0.9730091755408211,0.3165630299604296,0.799950263914902,0.3523821568165739,0.02709589320441551,0.6127168610692024,0.029687706846743822
Static Model,CART,14,12,0.14328180737217597,0.4898373983739837,0.9622262407072534,0.22171113155473782,0.7372314725043371,0.2507222580018962,0.03764529588236554,0.5830798109527677,0.030694670975208282
Updated Model,CART,14,12,0.18011126564673158,0.5264227642276422,0.9684772174223651,0.26839378238341965,0.7586911681231663,0.29552530286911594,0.03152612527819066,0.6308727478608489,0.028530050069093704
Static Model,CART,14,13,0.1517766497461929,0.49750415973377704,0.955952939075302,0.23259432127576818,0.7330541113290545,0.25793141760756494,0.04393225950403843,0.5830798109527677,0.028775532031431794
Updated Model,CART,14,13,0.15798134942402633,0.47920133111480867,0.9587435536802625,0.23762376237623764,0.7294148902203785,0.2588046786021914,0.04116646576288379,0.5633447079453617,0.0282762770075351
Static Model,CART,14,14,0.18560860793544048,0.6934673366834171,0.9702455357142857,0.2928381962864721,0.8353493572542683,0.3489625048813316,0.029721719984934156,0.5830798109527677,0.02835934702306986
Updated Model,CART,14,14,0.23553719008264462,0.7160804020100503,0.9768303571428572,0.3544776119402985,0.8486099985536439,0.4024356400499239,0.023146483688507292,0.5983410978224128,0.02823056001216173
Static Model,CART,14,-1,0.22550912921348315,0.6349480968858131,0.9671512128537623,0.3328151314937168,0.8059391904570979,0.36577845568591877,0.03279750407388384,0.5830798109527677,0.028207203705928156
Updated Model,CART,14,-1,0.2523425787106447,0.6655956500247158,0.9702383610049815,0.3659464601168637,0.8231978911308242,0.39823966752768364,0.029720697101264345,0.6004251452562,0.02855640057740467
Static Model,CART,16,9,0.2524850894632207,0.7016574585635359,0.9561157319997959,0.3713450292397661,0.8314971880219502,0.40427471343572513,0.04380499523148896,0.5938574708998203,0.024869831977412105
Updated Model,CART,16,9,0.2456876456876457,0.7279005524861878,0.9536918916160637,0.3673753921226908,0.8426332063299664,0.406024683786136,0.04596816088300108,0.596812702016905,0.02491376898251474
Static Model,CART,16,10,0.12731871838111297,0.571969696969697,0.970709802520794,0.20827586206896548,0.7741007558243622,0.26041519420493375,0.029293909561512132,0.5938574708998203,0.025000816211104393
Updated Model,CART,16,10,0.21921182266009853,0.6742424242424242,0.9816298413022402,0.3308550185873606,0.8323630603491892,0.37783285406819367,0.018424162515488212,0.5970044420100749,0.024634142173454165
Static Model,CART,16,11,0.3233404710920771,0.7897489539748954,0.9545593713323468,0.45882710422364026,0.8769177263695931,0.4877663160348835,0.04539876159309052,0.5938574708998203,0.025058495812118053
Updated Model,CART,16,11,0.36222692036645526,0.5376569037656904,0.9656324947696076,0.4328421052631579,0.7585331006571701,0.42446043516086485,0.03410596078665654,0.5562584458384663,0.024896577931940556
Static Model,CART,16,12,0.1059204440333025,0.7046153846153846,0.9482318722253407,0.1841576196220346,0.8283692561008675,0.2601306177349254,0.05179512383082506,0.5938574708998203,0.023409045999869704
Updated Model,CART,16,12,0.23582089552238805,0.7292307692307692,0.9781599224371077,0.35639097744360904,0.857323554266105,0.4070300818049081,0.021860575134198798,0.6190392840653658,0.025132311042398214
Static Model,CART,16,13,0.1205761316872428,0.6116910229645094,0.940730724090422,0.20144379511859745,0.7783127706161697,0.25354345648098164,0.05935572803567536,0.5938574708998203,0.02522787288762629
Updated Model,CART,16,13,0.1839841164791529,0.5803757828810021,0.9634127672602949,0.2793969849246231,0.7764449915972323,0.3130408073081833,0.036521117960726344,0.6314670229330659,0.02531469101086259
Static Model,CART,16,14,0.09580193756727665,0.39732142857142855,0.9502474868602337,0.15437987857762359,0.6801061780110021,0.17706082179540128,0.049744772681414265,0.5938574708998203,0.025429644156247377
Updated Model,CART,16,14,0.18081180811808117,0.546875,0.9664999744858906,0.2717692734331669,0.7637380828712274,0.30153165278186467,0.03347152754051944,0.6203781911171973,0.023959493963047862
Static Model,CART,16,15,0.15384615384615385,0.5318352059925093,0.953768433943971,0.23865546218487396,0.749484921848207,0.26891509854036527,0.04621266235524289,0.5938574708998203,0.025547530967742205
Updated Model,CART,16,15,0.15170603674540684,0.5411985018726592,0.9525182425881512,0.23698236982369827,0.7552634510793221,0.26922207066535503,0.0476788931377694,0.5774037118535489,0.0235037999227643
Static Model,CART,16,16,0.14156431803490627,0.6930379746835443,0.963647031812036,0.23510466988727857,0.8307527662507158,0.30261702408841096,0.03630484042943139,0.5938574708998203,0.025283199036493897
Updated Model,CART,16,16,0.19302721088435373,0.7183544303797469,0.9735197326462409,0.3042895442359249,0.8529232618335368,0.3637671060359378,0.026381726654015527,0.6104391471017152,0.0253812070004642
Static Model,CART,16,-1,0.1702003121748179,0.6468116658428077,0.9547514486999173,0.2694882092472454,0.8046345287957962,0.3164950982163984,0.0452387067525589,0.5938574708998203,0.024978304631076753
Updated Model,CART,16,-1,0.22025070621468926,0.6166584280771132,0.966883214216235,0.3245739560296605,0.7967796551488799,0.3556903994134875,0.033051409219665664,0.6011003683670424,0.02471699900343083
Static Model,CART,18,10,0.2875250166777852,0.6896,0.9637762277906944,0.4058380414312618,0.8334433156018004,0.4306634896971364,0.03599758719360338,0.7278451488818973,0.02284417999908328
Updated Model,CART,18,10,0.2537149146945515,0.7376,0.9563707339475874,0.3775593775593776,0.8487285204886889,0.416675280602901,0.04334205599706059,0.6111005551647395,0.023068423150107265
Static Model,CART,18,11,0.1607843137254902,0.4837758112094395,0.9704067280920807,0.24135393671817512,0.7287927835492283,0.2672438730244487,0.029627265436906434,0.7278451488818973,0.020084107061848044
Updated Model,CART,18,11,0.22244488977955912,0.6548672566371682,0.9743678061942076,0.3320867614061332,0.815831815655594,0.37213188525464264,0.025609825253799182,0.7150817820802331,0.02343275398015976
Static Model,CART,18,12,0.36306729264475746,0.6823529411764706,0.9704354315565888,0.4739530132788559,0.8314537508847035,0.48461320024214094,0.029832596554932273,0.7278451488818973,0.022145535796880722
Updated Model,CART,18,12,0.3266613290632506,0.6,0.9680530440024111,0.42301710730948683,0.7879019696815757,0.428129793638234,0.03192132732142006,0.5775661710649729,0.029659064020961523
