Training Period,Testing Period,Training Error,Testing Error,Training Size,Testing Size
1,2,821,654,440114,439655
1,2,821,654,440114,439655
1,2,821,654,440114,439655
1,2,821,654,440114,439655
1,2,821,654,440114,439655
1,2,821,654,440114,439655
1,2,821,654,440114,439655
1,2,821,654,440114,439655
1,2,821,654,440114,439655
1,2,821,654,440114,439655
2,3,654,704,439655,504994
2,3,654,704,439655,504994
2,3,654,704,439655,504994
2,3,654,704,439655,504994
2,3,654,704,439655,504994
2,3,654,704,439655,504994
2,3,654,704,439655,504994
2,3,654,704,439655,504994
2,3,654,704,439655,504994
2,3,654,704,439655,504994
3,4,704,361,504994,517314
3,4,704,361,504994,517314
3,4,704,361,504994,517314
3,4,704,361,504994,517314
3,4,704,361,504994,517314
3,4,704,361,504994,517314
3,4,704,361,504994,517314
3,4,704,361,504994,517314
3,4,704,361,504994,517314
3,4,704,361,504994,517314
4,5,361,333,517314,587950
4,5,361,333,517314,587950
4,5,361,333,517314,587950
4,5,361,333,517314,587950
4,5,361,333,517314,587950
4,5,361,333,517314,587950
4,5,361,333,517314,587950
4,5,361,333,517314,587950
4,5,361,333,517314,587950
4,5,361,333,517314,587950
5,6,333,415,587950,603956
5,6,333,415,587950,603956
5,6,333,415,587950,603956
5,6,333,415,587950,603956
5,6,333,415,587950,603956
5,6,333,415,587950,603956
5,6,333,415,587950,603956
5,6,333,415,587950,603956
5,6,333,415,587950,603956
5,6,333,415,587950,603956
6,7,415,361,603956,639981
6,7,415,361,603956,639981
6,7,415,361,603956,639981
6,7,415,361,603956,639981
6,7,415,361,603956,639981
6,7,415,361,603956,639981
6,7,415,361,603956,639981
6,7,415,361,603956,639981
6,7,415,361,603956,639981
6,7,415,361,603956,639981
7,8,361,418,639981,679038
7,8,361,418,639981,679038
7,8,361,418,639981,679038
7,8,361,418,639981,679038
7,8,361,418,639981,679038
7,8,361,418,639981,679038
7,8,361,418,639981,679038
7,8,361,418,639981,679038
7,8,361,418,639981,679038
7,8,361,418,639981,679038
8,9,418,418,679038,694042
8,9,418,418,679038,694042
8,9,418,418,679038,694042
8,9,418,418,679038,694042
8,9,418,418,679038,694042
8,9,418,418,679038,694042
8,9,418,418,679038,694042
8,9,418,418,679038,694042
8,9,418,418,679038,694042
8,9,418,418,679038,694042
9,10,418,187,694042,611672
9,10,418,187,694042,611672
9,10,418,187,694042,611672
9,10,418,187,694042,611672
9,10,418,187,694042,611672
9,10,418,187,694042,611672
9,10,418,187,694042,611672
9,10,418,187,694042,611672
9,10,418,187,694042,611672
9,10,418,187,694042,611672
10,11,187,221,611672,789700
10,11,187,221,611672,789700
10,11,187,221,611672,789700
10,11,187,221,611672,789700
10,11,187,221,611672,789700
10,11,187,221,611672,789700
10,11,187,221,611672,789700
10,11,187,221,611672,789700
10,11,187,221,611672,789700
10,11,187,221,611672,789700
11,12,221,140,789700,527856
11,12,221,140,789700,527856
11,12,221,140,789700,527856
11,12,221,140,789700,527856
11,12,221,140,789700,527856
11,12,221,140,789700,527856
11,12,221,140,789700,527856
11,12,221,140,789700,527856
11,12,221,140,789700,527856
11,12,221,140,789700,527856
