Scenario,Model,N,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time
Static Model,SVM,4,3,0.4460674157303371,0.1749669457910974,0.9849148790957858,0.2513453624564736,0.8037062878546296,0.27305850117965236,0.01770019197822751,311.213012289023,56.52232177788392
Updated Model,SVM,4,3,0.36639857015192134,0.18069634200088144,0.983620046307813,0.24203069657615112,0.8048729504499321,0.24984463225200654,0.017957187106074236,297.98579002008773,55.64191542705521
Static Model,SVM,4,4,0.20496224379719524,0.10692177827799662,0.9851764915995866,0.14053254437869822,0.7149710094814246,0.1410674496546425,0.01734849507547211,311.213012289023,58.004587014205754
Updated Model,SVM,4,4,0.2198912198912199,0.15925717501406866,0.9840666420033423,0.18472584856396868,0.7137321970624133,0.17924002346131504,0.017758204781669718,356.35898164706305,60.67679905006662
Static Model,SVM,4,-1,0.3230599889928453,0.14508156203657935,0.9850456857648578,0.20023878560463926,0.7646288532481773,0.20981059769999533,0.017524342966028107,311.213012289023,57.263454396044835
Updated Model,SVM,4,-1,0.2880299251870324,0.17128027681660898,0.9838433448677265,0.2148171109733416,0.761819230796191,0.21436794538437515,0.017857695626571465,327.1723858335754,58.159357238560915
Static Model,SVM,6,4,0.4109947643979058,0.19099756690997566,0.9829694406705065,0.260797342192691,0.8136034540067842,0.27259660526458407,0.018437746442533452,290.35630820388906,36.387409870978445
Updated Model,SVM,6,4,0.4361851332398317,0.18917274939172748,0.983399988518724,0.2638947815019092,0.8090544006139464,0.2800550006282778,0.018347182890758224,254.0526103260927,37.957345525035635
Static Model,SVM,6,5,0.21628498727735368,0.13866231647634583,0.9840027555062286,0.16898608349900593,0.772931849422398,0.16537787369780008,0.017957916286421866,290.35630820388906,36.99580850987695
Updated Model,SVM,6,5,0.3204272363150868,0.19575856443719414,0.9856962437092176,0.24303797468354432,0.7768475134620495,0.24358598375521642,0.016601128176857324,296.220339091029,38.976286669960245
Static Model,SVM,6,6,0.192,0.12244897959183673,0.9843282082683531,0.14953271028037385,0.7246805367977098,0.14568755929607075,0.017561997296084052,290.35630820388906,38.9675988801755
Updated Model,SVM,6,6,0.2112676056338028,0.15306122448979592,0.9840411791157588,0.17751479289940827,0.6706136270925543,0.1719156679478902,0.018499777736653074,272.46728789806366,35.75139038893394
Static Model,SVM,6,-1,0.27304347826086955,0.15521502718734553,0.9837668032721532,0.19791994957453513,0.7751781497135577,0.19814210398942075,0.017985885323131074,290.35630820388906,37.45027242034363
Updated Model,SVM,6,-1,0.31590319792566984,0.18067226890756302,0.98437913603674,0.22987421383647802,0.758177818346625,0.2314938326557582,0.017816031782055087,274.24674577172846,37.561674194643274
Static Model,SVM,8,5,0.4274193548387097,0.16093117408906882,0.9867071490534265,0.2338235294117647,0.7643017305861552,0.25676458178503425,0.01644109989236121,284.736819593003,25.866918025072664
Updated Model,SVM,8,5,0.32765151515151514,0.17510121457489877,0.9850742460580701,0.22823218997361475,0.7796661292094278,0.23256078935549035,0.017205170494864964,264.02029961603694,21.310017274925485
