Training Period,Testing Period,Training Error,Testing Error,Training Size,Testing Size
1,2,662,553,440114,439655
1,2,666,581,440114,439655
1,2,658,573,440114,439655
1,2,673,572,440114,439655
1,2,682,565,440114,439655
1,2,632,555,440114,439655
1,2,642,579,440114,439655
1,2,665,587,440114,439655
1,2,666,551,440114,439655
1,2,685,567,440114,439655
2,3,464,568,439655,504994
2,3,469,556,439655,504994
2,3,472,608,439655,504994
2,3,472,539,439655,504994
2,3,456,563,439655,504994
2,3,458,592,439655,504994
2,3,450,601,439655,504994
2,3,462,570,439655,504994
2,3,441,588,439655,504994
2,3,487,533,439655,504994
3,4,433,849,504994,517314
3,4,422,703,504994,517314
3,4,432,824,504994,517314
3,4,443,848,504994,517314
3,4,468,881,504994,517314
3,4,440,352,504994,517314
3,4,432,815,504994,517314
3,4,439,862,504994,517314
3,4,440,883,504994,517314
3,4,451,824,504994,517314
4,5,270,286,517314,587950
4,5,270,279,517314,587950
4,5,274,285,517314,587950
4,5,267,286,517314,587950
4,5,282,279,517314,587950
4,5,273,311,517314,587950
4,5,294,312,517314,587950
4,5,263,290,517314,587950
4,5,266,291,517314,587950
4,5,278,294,517314,587950
5,6,236,330,587950,603956
5,6,248,333,587950,603956
5,6,241,344,587950,603956
5,6,237,330,587950,603956
5,6,225,359,587950,603956
5,6,236,339,587950,603956
5,6,235,337,587950,603956
5,6,242,333,587950,603956
5,6,219,332,587950,603956
5,6,214,336,587950,603956
6,7,298,311,603956,639981
6,7,301,281,603956,639981
6,7,287,289,603956,639981
6,7,284,284,603956,639981
6,7,298,308,603956,639981
6,7,289,288,603956,639981
6,7,288,288,603956,639981
6,7,290,297,603956,639981
6,7,297,292,603956,639981
6,7,299,293,603956,639981
7,8,193,284,639981,679038
7,8,205,284,639981,679038
7,8,207,274,639981,679038
7,8,193,286,639981,679038
7,8,199,282,639981,679038
7,8,205,290,639981,679038
7,8,202,280,639981,679038
7,8,188,285,639981,679038
7,8,197,282,639981,679038
7,8,212,282,639981,679038
8,9,258,238,679038,694042
8,9,242,249,679038,694042
8,9,232,245,679038,694042
8,9,236,251,679038,694042
8,9,249,254,679038,694042
8,9,238,273,679038,694042
8,9,252,250,679038,694042
8,9,249,294,679038,694042
8,9,260,260,679038,694042
8,9,249,268,679038,694042
9,10,180,183,694042,611672
9,10,181,189,694042,611672
9,10,191,194,694042,611672
9,10,192,193,694042,611672
9,10,200,175,694042,611672
9,10,195,189,694042,611672
9,10,195,192,694042,611672
9,10,219,192,694042,611672
9,10,185,178,694042,611672
9,10,178,192,694042,611672
10,11,133,158,611672,789700
10,11,140,174,611672,789700
10,11,131,137,611672,789700
10,11,130,145,611672,789700
10,11,144,137,611672,789700
10,11,132,140,611672,789700
10,11,138,148,611672,789700
10,11,143,135,611672,789700
10,11,140,151,611672,789700
10,11,122,179,611672,789700
11,12,129,97,789700,527856
11,12,128,94,789700,527856
11,12,128,94,789700,527856
11,12,120,96,789700,527856
11,12,128,109,789700,527856
11,12,118,96,789700,527856
11,12,132,84,789700,527856
11,12,133,97,789700,527856
11,12,117,96,789700,527856
11,12,122,94,789700,527856
