Splitting Approach,Metric,Performance Value
Random 90%/10%,AUC,0.9728276918319072
Random 90%/10%,F-1,0.1283868278449354
Random 90%/10%,MCC,0.2550524432361188
Random 80%/20%,AUC,0.9689872893405032
Random 80%/20%,F-1,0.13250773993808052
Random 80%/20%,MCC,0.2584248801283807
Random 70%/30%,AUC,0.9686964905676955
Random 70%/30%,F-1,0.11896688852609985
Random 70%/30%,MCC,0.2438434445533176
Random 60%/40%,AUC,0.9596269794806125
Random 60%/40%,F-1,0.10458627234355967
Random 60%/40%,MCC,0.22558286517851328
Random 50%/50%,AUC,0.9645936468824469
Random 50%/50%,F-1,0.11031452358926919
Random 50%/50%,MCC,0.23324941682277306
Random 90%/10%,AUC,0.9637095760588078
Random 90%/10%,F-1,0.13673036093418256
Random 90%/10%,MCC,0.2614476070114662
Random 80%/20%,AUC,0.9691948625979456
Random 80%/20%,F-1,0.1365641952983725
Random 80%/20%,MCC,0.2627156586220194
Random 70%/30%,AUC,0.9651010181352414
Random 70%/30%,F-1,0.11961161797940906
Random 70%/30%,MCC,0.2436602864151381
Random 60%/40%,AUC,0.9572934305896045
Random 60%/40%,F-1,0.10504308518152282
Random 60%/40%,MCC,0.2255560270125964
Random 50%/50%,AUC,0.966270941265003
Random 50%/50%,F-1,0.10542580110620955
Random 50%/50%,MCC,0.22809456826761929

Oracle,AUC,0.865164543952544
Oracle,F-1,0.11889250814332249
Oracle,MCC,0.2170133428491073
Oracle,AUC,0.8605591126449085
Oracle,F-1,0.13397901533494755
Oracle,MCC,0.2303309421190479
Oracle,AUC,0.8492226576796389
Oracle,F-1,0.12876935615321924
Oracle,MCC,0.2221068465803078
Oracle,AUC,0.8492326651518848
Oracle,F-1,0.12908496732026142
Oracle,MCC,0.2224103819589825
Oracle,AUC,0.8518272132434687
Oracle,F-1,0.13224489795918368
Oracle,MCC,0.22615388286232546
Oracle,AUC,0.8649851079803107
Oracle,F-1,0.13680781758957655
Oracle,MCC,0.23429799628744286
Oracle,AUC,0.8597584748582527
Oracle,F-1,0.1362179487179487
Oracle,MCC,0.23220775011320724
Oracle,AUC,0.8724834655676599
Oracle,F-1,0.132398753894081
Oracle,MCC,0.23223943751270149
Oracle,AUC,0.8341632623249811
Oracle,F-1,0.12251392203659507
Oracle,MCC,0.21179412652636648
Oracle,AUC,0.8608842992848755
Oracle,F-1,0.10980392156862745
Oracle,MCC,0.20670510339728554
Oracle,AUC,0.829787588893781
Oracle,F-1,0.11030008110300081
Oracle,MCC,0.19875994607734215
Oracle,AUC,0.8398521475159942
Oracle,F-1,0.12334113973458236
Oracle,MCC,0.21421391001937437
Oracle,AUC,0.8619300163003265
Oracle,F-1,0.13488372093023254
Oracle,MCC,0.23156831758013852
Oracle,AUC,0.863804624463493
Oracle,F-1,0.11688311688311688
Oracle,MCC,0.2146400078540447
Oracle,AUC,0.8694119600074093
Oracle,F-1,0.14125200642054575
Oracle,MCC,0.23977043424580147
Oracle,AUC,0.869311027257909
Oracle,F-1,0.136327185244587
Oracle,MCC,0.2350937364642363
Oracle,AUC,0.8408338118685632
Oracle,F-1,0.11869918699186992
Oracle,MCC,0.2100497761917972

Time-based 50%/50%,AUC,0.8418537858896836
Time-based 50%/50%,F-1,0.07360957708340757
Time-based 50%/50%,MCC,0.16275445235423722
Time-based 60%/40%,AUC,0.8752722879913891
Time-based 60%/40%,F-1,0.06411623040783292
Time-based 60%/40%,MCC,0.15828112399176478
Time-based 70%/30%,AUC,0.8580949444987965
Time-based 70%/30%,F-1,0.0628025644380479
Time-based 70%/30%,MCC,0.15312634742456735
Time-based 80%/20%,AUC,0.8678287795358594
Time-based 80%/20%,F-1,0.05839572192513368
Time-based 80%/20%,MCC,0.14936426606718417
Time-based 90%/10%,AUC,0.8428731848628334
Time-based 90%/10%,F-1,0.06293864613991396
Time-based 90%/10%,MCC,0.15015998765276356
Random 90%/10%,AUC,0.9675444096098783
Random 90%/10%,F-1,0.14466165413533835
Random 90%/10%,MCC,0.27058237515597433
Random 80%/20%,AUC,0.9656570957643612
Random 80%/20%,F-1,0.1440131874719017
Random 80%/20%,MCC,0.2694187290725369
Random 70%/30%,AUC,0.958556568562267
Random 70%/30%,F-1,0.11973163598830208
Random 70%/30%,MCC,0.2421713269742462
Random 60%/40%,AUC,0.9623932731717615
Random 60%/40%,F-1,0.1053144248674975
Random 60%/40%,MCC,0.22706424585937823
Random 50%/50%,AUC,0.9562721553708866
Random 50%/50%,F-1,0.09515894452524412
Random 50%/50%,MCC,0.2138322949523381
Time-based 50%/50%,AUC,0.8463307124449563
Time-based 50%/50%,F-1,0.07699102016781982
Time-based 50%/50%,MCC,0.1677134207705383
Time-based 60%/40%,AUC,0.8671270496164282
Time-based 60%/40%,F-1,0.07486782477341389
Time-based 60%/40%,MCC,0.1699275906233398
