Splitting Approach,Metric,Performance Value
Oracle,AUC,0.9232887595405869
Oracle,F-1,0.34515366430260047
Oracle,MCC,0.40842845470491
Random 90%/10%,AUC,0.9987321042160249
Random 90%/10%,F-1,0.37319762510602206
Random 90%/10%,MCC,0.4635813013796406
Random 80%/20%,AUC,0.9942210771548858
Random 80%/20%,F-1,0.360233918128655
Random 80%/20%,MCC,0.45388144442512174
Random 70%/30%,AUC,0.9947998678782728
Random 70%/30%,F-1,0.3509657871480873
Random 70%/30%,MCC,0.4477167173867823
Random 60%/40%,AUC,0.9929602891345033
Random 60%/40%,F-1,0.3179091688089118
Random 60%/40%,MCC,0.41772998240561426
Random 50%/50%,AUC,0.9947371847485558
Random 50%/50%,F-1,0.3170224563349044
Random 50%/50%,MCC,0.4171173059271001
Oracle,AUC,0.9610483996879018
Oracle,F-1,0.37410071942446044
Oracle,MCC,0.4390333276955209
Random 90%/10%,AUC,0.9952607901244364
Random 90%/10%,F-1,0.36405005688282144
Random 90%/10%,MCC,0.45921575625328154
Random 80%/20%,AUC,0.9956529837624897
Random 80%/20%,F-1,0.3606618330544711
Random 80%/20%,MCC,0.45515247033974965
Random 70%/30%,AUC,0.9952713845847783
Random 70%/30%,F-1,0.33566270673188914
Random 70%/30%,MCC,0.4340304349242246
Random 60%/40%,AUC,0.993110637324225
Random 60%/40%,F-1,0.30715005035246723
Random 60%/40%,MCC,0.4093131978407689
Random 50%/50%,AUC,0.9919241151592988
Random 50%/50%,F-1,0.29116945107398573
Random 50%/50%,MCC,0.3968956773338892

Oracle,AUC,0.9587852473300595
Oracle,F-1,0.4624447717231222
Oracle,MCC,0.49864887960029447
Oracle,AUC,0.9591970566800323
Oracle,F-1,0.4615384615384615
Oracle,MCC,0.5036539925826431
Oracle,AUC,0.9601734129007855
Oracle,F-1,0.446064139941691
Oracle,MCC,0.48490037186770546
Oracle,AUC,0.9568114634716226
Oracle,F-1,0.4594180704441041
Oracle,MCC,0.4940210881612599
Oracle,AUC,0.9604446261521664
Oracle,F-1,0.4112149532710281
Oracle,MCC,0.4757705082645347
Oracle,AUC,0.9386037734417574
Oracle,F-1,0.38277511961722493
Oracle,MCC,0.4450245043065145
Oracle,AUC,0.9453481930684376
Oracle,F-1,0.3341645885286783
Oracle,MCC,0.4118709401300967
Oracle,AUC,0.9468005336891261
Oracle,F-1,0.3510392609699769
Oracle,MCC,0.4158612339892741
Oracle,AUC,0.9480709684451902
Oracle,F-1,0.35211267605633806
Oracle,MCC,0.42397391937368606
Oracle,AUC,0.9649721756257028
Oracle,F-1,0.3538083538083538
Oracle,MCC,0.4274389223284621
Oracle,AUC,0.9559281020523891
Oracle,F-1,0.3624454148471616
Oracle,MCC,0.4304918147547032
Oracle,AUC,0.937825753042155
Oracle,F-1,0.3568075117370892
Oracle,MCC,0.43130637404429906
Oracle,AUC,0.9504667210381788
Oracle,F-1,0.3501199040767386
Oracle,MCC,0.42160328180091267
Oracle,AUC,0.958557392887263
Oracle,F-1,0.37772397094431
Oracle,MCC,0.44496344162381274
Oracle,AUC,0.9281149310558757
Oracle,F-1,0.3282275711159737
Oracle,MCC,0.40224844326255405
Oracle,AUC,0.9580095481003659
Oracle,F-1,0.36923076923076925
Oracle,MCC,0.4319022187083327
Oracle,AUC,0.9562348346511853
Oracle,F-1,0.39101123595505616
Oracle,MCC,0.4629760513406281
Oracle,AUC,0.9848561929858838
Oracle,F-1,0.3855932203389831
Oracle,MCC,0.4629882019226484
Oracle,AUC,0.9344365325758672
Oracle,F-1,0.3493670886075949
Oracle,MCC,0.4209791452903755
Oracle,AUC,0.9521348062785411
Oracle,F-1,0.356043956043956
Oracle,MCC,0.4308639474680382
Oracle,AUC,0.9463642763223725
Oracle,F-1,0.34418604651162793
Oracle,MCC,0.4142129061756297
Oracle,AUC,0.9527157940962152
Oracle,F-1,0.36363636363636365
Oracle,MCC,0.4389948642168335
Oracle,AUC,0.9672226864360867
Oracle,F-1,0.3581395348837209
Oracle,MCC,0.43610465029440515
Oracle,AUC,0.9260125865850448
Oracle,F-1,0.34761904761904766
Oracle,MCC,0.41803077326154725
Oracle,AUC,0.9311176727717029
Oracle,F-1,0.3356009070294785
Oracle,MCC,0.40755191238933236
Oracle,AUC,0.9304805340582203
Oracle,F-1,0.3673469387755102
Oracle,MCC,0.42783822919718306
Oracle,AUC,0.9227169977625254
Oracle,F-1,0.33415233415233414
Oracle,MCC,0.4004131130314223
Oracle,AUC,0.9416936752419744
Oracle,F-1,0.334841628959276
Oracle,MCC,0.40240088681454855
Oracle,AUC,0.9490590078351759
Oracle,F-1,0.38388625592417064
Oracle,MCC,0.4448181371913228
Oracle,AUC,0.9673563417920495
Oracle,F-1,0.3217821782178218
Oracle,MCC,0.3994718387436241
Oracle,AUC,0.9488873430875151
Oracle,F-1,0.38604651162790704
Oracle,MCC,0.45795728580057393
Oracle,AUC,0.9288981726564758
Oracle,F-1,0.3627906976744186
Oracle,MCC,0.4318433125537746
Oracle,AUC,0.9296680238100362
Oracle,F-1,0.3690205011389522
Oracle,MCC,0.44415527099345764
Oracle,AUC,0.9192588990571221
Oracle,F-1,0.3478260869565218
Oracle,MCC,0.41300457510691546
Oracle,AUC,0.9323986909542807
Oracle,F-1,0.36674816625916873
Oracle,MCC,0.4290248666173168
Oracle,AUC,0.9489017647929209
Oracle,F-1,0.3373493975903615
Oracle,MCC,0.4120902191575341
Oracle,AUC,0.9437180740784954
Oracle,F-1,0.33944954128440363
Oracle,MCC,0.4105397181970494
Oracle,AUC,0.9588079518074258
Oracle,F-1,0.37471783295711064
Oracle,MCC,0.45083376526747587
Oracle,AUC,0.9400171528404021
Oracle,F-1,0.3954022988505747
Oracle,MCC,0.46608115784334236
Oracle,AUC,0.9575166704442367
Oracle,F-1,0.4008438818565401
Oracle,MCC,0.4726786034013136
Oracle,AUC,0.9260774869456165
Oracle,F-1,0.32682926829268294
Oracle,MCC,0.3911067397002775
Oracle,AUC,0.9516169890351819
Oracle,F-1,0.37310195227765725
Oracle,MCC,0.4442081920560447
Oracle,AUC,0.9526002995970771
Oracle,F-1,0.3902439024390244
Oracle,MCC,0.4523678855036831
Oracle,AUC,0.9613358104742591
Oracle,F-1,0.3824884792626728
Oracle,MCC,0.4602349943947743

Time-based 50%/50%,AUC,0.9058291762130083
Time-based 50%/50%,F-1,0.34412698412698417
Time-based 50%/50%,MCC,0.40404733470628595
Time-based 60%/40%,AUC,0.9245636207495989
Time-based 60%/40%,F-1,0.28202443280977313
Time-based 60%/40%,MCC,0.36142287928976263
Time-based 70%/30%,AUC,0.9059230142121901
Time-based 70%/30%,F-1,0.24388988937483919
Time-based 70%/30%,MCC,0.32361926906289706
Time-based 80%/20%,AUC,0.9176401259204029
Time-based 80%/20%,F-1,0.2675832892649392
Time-based 80%/20%,MCC,0.3376403874672135
Time-based 90%/10%,AUC,0.9317248050773193
Time-based 90%/10%,F-1,0.27969348659003834
Time-based 90%/10%,MCC,0.35436145341901626
Random 90%/10%,AUC,0.9957807001790239
Random 90%/10%,F-1,0.38329238329238324
Random 90%/10%,MCC,0.47982238433644536
Random 80%/20%,AUC,0.9956295124761605
Random 80%/20%,F-1,0.3775949862906385
Random 80%/20%,MCC,0.46784003063097945
Random 70%/30%,AUC,0.9936710386828769
Random 70%/30%,F-1,0.353668890236507
Random 70%/30%,MCC,0.44884976023326434
Random 60%/40%,AUC,0.9934188839495425
Random 60%/40%,F-1,0.33792853255940497
Random 60%/40%,MCC,0.43537170359913263
Random 50%/50%,AUC,0.9928174419948815
Random 50%/50%,F-1,0.31689803733843946
Random 50%/50%,MCC,0.41616597170196373
Time-based 50%/50%,AUC,0.9090976501625322
Time-based 50%/50%,F-1,0.35077021822849813
Time-based 50%/50%,MCC,0.41032896843113564
Time-based 60%/40%,AUC,0.9184791501369829
Time-based 60%/40%,F-1,0.28416447944007
Time-based 60%/40%,MCC,0.36380361279053375
Time-based 70%/30%,AUC,0.9025467809972286
Time-based 70%/30%,F-1,0.2939356435643564
Time-based 70%/30%,MCC,0.3634172295255602
Time-based 80%/20%,AUC,0.9175773707276057
Time-based 80%/20%,F-1,0.2636514065085494
