Scenario,Model,N,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time
Static Model,RF,4,3,0.5823529411764706,0.6108417805200529,0.9880275805762325,0.5962572596257261,0.9673816747404232,0.590357871575331,0.013154420954081392,3.8333941919263452,1.3494874900206923
Updated Model,RF,4,3,0.533256880733945,0.6148082855883649,0.9866370704886559,0.571136131013306,0.9697052246638225,0.5658585460357389,0.014166920924073016,3.7882035481743515,1.2714867151807994
Static Model,RF,4,4,0.3794749403341289,0.4473832301631964,0.9854443863297146,0.41064049586776863,0.9302355128124375,0.4047234846463664,0.01499046017949507,3.8333941919263452,1.336198071949184
Updated Model,RF,4,4,0.4596472474612507,0.4839617332583005,0.9877023561979359,0.47149122807017546,0.9347607981195627,0.4654324054229241,0.01305215384518947,4.1366744088009,1.3634088470134884
Static Model,RF,4,-1,0.4873743016759777,0.5390509144834404,0.9867359793337692,0.5119117474474827,0.9513944715910099,0.5058649440243234,0.014072443494566812,3.8333941919263452,1.3428427809849381
Updated Model,RF,4,-1,0.5025629596612436,0.5573405832921404,0.9871697150420181,0.528536270948084,0.9542932279324106,0.5227682357881915,0.013609535607005181,3.9624389784876257,1.3174477810971439
Static Model,RF,6,4,0.5829912023460411,0.6046228710462287,0.9869783195239098,0.5936100328456256,0.9704988366701106,0.5870960073402736,0.013444291888481216,3.8435246360022575,0.5169962479267269
Updated Model,RF,6,4,0.5562805872756933,0.6222627737226277,0.9862511720469201,0.5874246339362619,0.9719538859503892,0.5813990094763274,0.013199810424595226,2.3809178799856454,0.5100519550032914
Static Model,RF,6,5,0.4533333333333333,0.5546492659053833,0.9869304808741078,0.4988994864269993,0.9443144054969776,0.4949187317313979,0.01531817194315545,3.8435246360022575,0.5329765868373215
Updated Model,RF,6,5,0.47763074984247006,0.6182707993474714,0.9875906542413747,0.5389264130821186,0.9580588905561698,0.5373054610627986,0.011642238767146035,2.5003368330653757,0.5252475291490555
Static Model,RF,6,6,0.3685314685314685,0.4481292517006803,0.9851510251724567,0.4044512663085188,0.9300440854084685,0.3989528054913278,0.014935236042861231,3.8435246360022575,0.522423107875511
