Training Period,Testing Period,Training Error,Testing Error,Training Size,Testing Size
1,2,741,603,440114,439655
1,2,743,617,440114,439655
1,2,739,613,440114,439655
1,2,747,613,440114,439655
1,2,751,609,440114,439655
1,2,726,604,440114,439655
1,2,731,616,440114,439655
1,2,743,620,440114,439655
1,2,743,602,440114,439655
1,2,753,610,440114,439655
2,3,559,636,439655,504994
2,3,561,630,439655,504994
2,3,563,656,439655,504994
2,3,563,621,439655,504994
2,3,555,633,439655,504994
2,3,556,648,439655,504994
2,3,552,652,439655,504994
2,3,558,637,439655,504994
2,3,547,646,439655,504994
2,3,570,618,439655,504994
3,4,568,605,504994,517314
3,4,563,532,504994,517314
3,4,568,592,504994,517314
3,4,573,604,504994,517314
3,4,586,621,504994,517314
3,4,572,356,504994,517314
3,4,568,588,504994,517314
3,4,571,611,504994,517314
3,4,572,622,504994,517314
3,4,577,592,504994,517314
4,5,315,309,517314,587950
4,5,315,306,517314,587950
4,5,317,309,517314,587950
4,5,314,309,517314,587950
4,5,321,306,517314,587950
4,5,317,322,517314,587950
4,5,327,322,517314,587950
4,5,312,311,517314,587950
4,5,313,312,517314,587950
4,5,319,313,517314,587950
5,6,284,372,587950,603956
5,6,290,374,587950,603956
5,6,287,379,587950,603956
5,6,285,372,587950,603956
5,6,279,387,587950,603956
5,6,284,377,587950,603956
5,6,284,376,587950,603956
5,6,287,374,587950,603956
5,6,276,373,587950,603956
5,6,273,375,587950,603956
6,7,356,336,603956,639981
6,7,358,321,603956,639981
6,7,351,325,603956,639981
6,7,349,322,603956,639981
6,7,356,334,603956,639981
6,7,352,324,603956,639981
6,7,351,324,603956,639981
6,7,352,329,603956,639981
6,7,356,326,603956,639981
6,7,357,327,603956,639981
7,8,277,351,639981,679038
7,8,283,351,639981,679038
7,8,284,346,639981,679038
7,8,277,352,639981,679038
7,8,280,350,639981,679038
7,8,283,354,639981,679038
7,8,281,349,639981,679038
7,8,274,351,639981,679038
7,8,279,350,639981,679038
7,8,286,350,639981,679038
8,9,338,328,679038,694042
8,9,330,333,679038,694042
8,9,325,331,679038,694042
8,9,327,334,679038,694042
8,9,333,336,679038,694042
8,9,328,345,679038,694042
8,9,335,334,679038,694042
8,9,333,356,679038,694042
8,9,339,339,679038,694042
8,9,333,343,679038,694042
9,10,299,185,694042,611672
9,10,299,188,694042,611672
9,10,304,190,694042,611672
9,10,305,190,694042,611672
9,10,309,181,694042,611672
9,10,306,188,694042,611672
9,10,306,189,694042,611672
9,10,318,189,694042,611672
9,10,301,182,694042,611672
9,10,298,189,694042,611672
10,11,160,189,611672,789700
10,11,163,197,611672,789700
10,11,159,179,611672,789700
10,11,158,183,611672,789700
10,11,165,179,611672,789700
10,11,159,180,611672,789700
10,11,162,184,611672,789700
10,11,165,178,611672,789700
10,11,163,186,611672,789700
10,11,154,200,611672,789700
11,12,175,118,789700,527856
11,12,174,117,789700,527856
11,12,174,117,789700,527856
11,12,170,118,789700,527856
11,12,174,124,789700,527856
11,12,169,118,789700,527856
11,12,176,112,789700,527856
11,12,177,118,789700,527856
11,12,169,118,789700,527856
11,12,171,117,789700,527856
