Scenario,Model,N,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time
Sliding Window,RGF,4,3,0.16795974,0.778425656,0.997614646,0.276302173,0.924572963,0.360921321,0.002309795,16.94399872,74.33768292
Sliding Window,RGF,4,4,0.105436081,0.755888651,0.998232587,0.185058978,0.944706695,0.281903181,0.001800813,9.548067176,74.19217332
Sliding Window,RGF,4,-1,0.142170753,0.771390374,0.997923616,0.240091543,0.926107221,0.330624685,0.002055304,13.24603295,74.26492812
Sliding Window,RGF,6,4,0.175393511,0.798245614,0.997693381,0.28759547,0.936533525,0.373535841,0.002261463,16.66727674,42.79117021
Sliding Window,RGF,6,5,0.147292994,0.770833333,0.998079665,0.247326203,0.929103276,0.336447493,0.002067525,10.28755011,42.64789224
Sliding Window,RGF,6,6,0.112682697,0.719879518,0.99831587,0.194863433,0.937240204,0.284394116,0.001621769,8.428281336,43.01338099
Sliding Window,RGF,6,-1,0.149109218,0.772058824,0.998029638,0.249945899,0.932578544,0.338772499,0.001983586,11.79436939,42.81748114
Sliding Window,RGF,8,5,0.165398478,0.792706334,0.997507771,0.273691186,0.913933784,0.361417991,0.002452703,16.68775084,30.94332139
Sliding Window,RGF,8,6,0.172444444,0.763779528,0.997746534,0.281363307,0.937498465,0.362270715,0.0024273,11.52696795,30.80912022
Sliding Window,RGF,8,7,0.102286402,0.833333333,0.99826499,0.182207931,0.95008246,0.291604021,0.001763973,9.359131752,30.84976388
Sliding Window,RGF,8,8,0.118051218,0.718631179,0.998310469,0.2027897,0.918645777,0.290835474,0.001762171,8.030246185,30.62196921
Sliding Window,RGF,8,-1,0.144818976,0.77540107,0.997957441,0.244056385,0.924852673,0.334569367,0.002101537,11.40102418,30.80604367
Sliding Window,RGF,10,6,0.17248567,0.78436019,0.997613793,0.282785135,0.909635207,0.367151132,0.002338557,16.60041384,23.60898171
Sliding Window,RGF,10,7,0.185505679,0.832524272,0.997761598,0.303405573,0.982789931,0.392376169,0.002410254,12.52583576,23.58200787
Sliding Window,RGF,10,8,0.138676845,0.744027304,0.997969094,0.233780161,0.905176824,0.320676023,0.002158501,9.387294129,23.55855445
Sliding Window,RGF,10,9,0.094542659,0.715116279,0.998256178,0.16700611,0.94263751,0.259616831,0.001860935,8.678709251,23.37120769
Sliding Window,RGF,10,10,0.121035058,0.736040609,0.99842957,0.207885305,0.924448525,0.298079113,0.001563895,7.642253671,22.99383353
Sliding Window,RGF,10,-1,0.147978058,0.77540107,0.998006047,0.248527049,0.9320743,0.338211854,0.002066428,10.96690133,23.42291705
Sliding Window,RGF,12,7,0.165586329,0.774104683,0.997445238,0.272815534,0.898936085,0.357313303,0.002551503,16.50174298,19.01109344
Sliding Window,RGF,12,8,0.184300341,0.841121495,0.997875011,0.302351624,0.97288211,0.393153917,0.002132699,13.0152894,19.18479574
Sliding Window,RGF,12,9,0.170998632,0.724637681,0.997770979,0.276701716,0.91731531,0.351341753,0.00230602,10.35297035,18.89857779
Sliding Window,RGF,12,10,0.104803493,0.888888889,0.998226333,0.1875,0.974672774,0.30488141,0.00171907,9.733311205,18.89516113
Sliding Window,RGF,12,11,0.122533749,0.686046512,0.998466802,0.207929515,0.932966639,0.289523856,0.001557615,8.309284549,18.7349969
Sliding Window,RGF,12,12,0.127795527,0.75,0.99853502,0.218380346,0.92378613,0.3092199,0.001624464,7.293450886,18.87032012
Sliding Window,RGF,12,-1,0.151088515,0.77473262,0.99805323,0.252863532,0.929333299,0.341612683,0.001981895,10.8676749,18.93249085
Sliding Window,RGF,14,8,0.170479705,0.747572816,0.997608389,0.277644231,0.890886584,0.356298343,0.002591645,16.34991902,15.74479508
Sliding Window,RGF,14,9,0.193126023,0.842857143,0.997950616,0.31424767,0.968457267,0.402895468,0.002119745,13.28704677,15.87836069
Sliding Window,RGF,14,10,0.196357878,0.80781759,0.997863069,0.315923567,0.984246163,0.397655279,0.002322992,11.07715169,15.92598387
Sliding Window,RGF,14,11,0.129496403,0.75,0.99772578,0.220858896,0.884287173,0.311064369,0.002400501,9.439275395,15.79598249
Sliding Window,RGF,14,12,0.072186837,0.772727273,0.998221214,0.132038835,0.963010244,0.235848351,0.001600692,9.077360235,15.73718698
Sliding Window,RGF,14,13,0.140722291,0.676646707,0.998519668,0.232989691,0.944681183,0.308145006,0.001478219,8.062690143,15.80999749
Sliding Window,RGF,14,14,0.114219114,0.759689922,0.99842619,0.19858156,0.914426209,0.294196376,0.001724954,7.22823838,15.60280279
Sliding Window,RGF,14,-1,0.150246946,0.772727273,0.998044991,0.251577802,0.93259046,0.340214518,0.002034106,10.64595452,15.78501563
Sliding Window,RGF,16,9,0.161825726,0.72761194,0.997537332,0.264765784,0.877798238,0.342423295,0.002436138,17.65863859,13.60989764
Sliding Window,RGF,16,10,0.187776794,0.837944664,0.997821574,0.306801737,0.957907473,0.39607658,0.002129532,13.74560754,13.57696924
Sliding Window,RGF,16,11,0.20372093,0.862204724,0.997973927,0.329571106,0.990079473,0.418549574,0.002254687,12.21631113,13.66101992
