Test Name,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Oracle P,Oracle R,Oracle A,Oracle F,Oracle AUC,Oracle MCC,Oracle B,Importance0,Importance1,Importance2,Importance3,Importance4,Importance5,Importance6,Importance7,Importance8,Importance9,Importance10,Importance11,Importance12,Importance13,Importance14,Importance15,Importance16,Importance17,Importance18
Time-based 50%/50%,0.11408083441981746,0.47770700636942676,0.997355986238167,0.18417821434835993,0.9215731876309777,0.23254486152857218,0.003031965738709621,0.13280865715691098,0.5418060200668896,0.9983019417100419,0.2133263102449302,0.8866673723923075,0.2676777996094349,0.0021692590573571813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Time-based 50%/50%,0.11587693689647428,0.4695177434030937,0.997430457492263,0.18587896253602307,0.9148976480055662,0.23236072966819074,0.0029184903475671675,0.13564444444444446,0.5103678929765886,0.9984099534526237,0.21432584269662922,0.883228641624694,0.26255467996466303,0.002083261583869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Time-based 50%/50%,0.09641556450067089,0.45768880800727935,0.9969813560362647,0.15927802406586447,0.9157010660325285,0.20908171581225457,0.003153408078547785,0.08119885216282283,0.5110367892976588,0.9973349523725064,0.14013206162876007,0.8930871208118001,0.20295327677863317,0.002690676739212339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Time-based 50%/50%,0.10039333208466004,0.48771610555050043,0.9969495209963458,0.16651133892513204,0.9146725456687579,0.22030311571510008,0.0033021653900927894,0.09843205574912892,0.5290969899665552,0.997740564890044,0.1659846815654181,0.8949852931402951,0.2275337548291514,0.0024900751857763154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Time-based 50%/50%,0.08914798206278027,0.45222929936305734,0.9967710173796579,0.14893617021276595,0.9143302062355768,0.19975874153136972,0.0036434426239828578,0.06258590671675983,0.4568561872909699,0.9968614061537132,0.1100902643455835,0.884873296149217,0.1682426695142186,0.0034342048349107553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Time-based 50%/50%,0.12244897959183673,0.4913557779799818,0.9974821894321311,0.19604283899074243,0.918361001283074,0.24441894129044164,0.0031945049248210886,0.12426219322771047,0.5351170568561873,0.9981998990374449,0.20168914660279844,0.8840207441264221,0.25727419223826037,0.002333239939201649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Time-based 50%/50%,0.12624277456647398,0.4968152866242038,0.9975373322691334,0.20132743362831862,0.9214707395525696,0.24958379737895572,0.0031027027632172656,0.13657561625582945,0.5484949832775919,0.9983346294742443,0.218695826110148,0.8854312666499872,0.27313838459363016,0.002160237537386734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Time-based 50%/50%,0.09612546125461255,0.4740673339399454,0.9968864193993637,0.1598404663291916,0.9110767226969525,0.21247760156498638,0.003364942976431757,0.09286165508528112,0.4916387959866221,0.9977431230628947,0.15621679064824656,0.8839665208074969,0.2129760356320353,0.002578701576310337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Time-based 50%/50%,0.08369384359400998,0.45768880800727935,0.9965305491316993,0.141510761007174,0.9155436394013436,0.1946510159622505,0.0034379564449047145,0.06938775510204082,0.534448160535117,0.9967562368254098,0.12282859338970023,0.8805328693776258,0.19174786715422537,0.003057994745920753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Time-based 50%/50%,0.11488783140720599,0.46132848043676067,0.9974429641150883,0.18396226415094338,0.9118645452910411,0.22932698114491448,0.0032157620049229753,0.1354184567795154,0.5270903010033445,0.9983690226870138,0.21547716707683898,0.886402766932715,0.26660497184857634,0.0021993400626824262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
