Training Period,Testing Period,Training Error,Testing Error,Training Size,Testing Size
1,2,374,460,19071,22263
1,2,364,429,19071,22263
1,2,358,458,19071,22263
1,2,369,450,19071,22263
1,2,371,433,19071,22263
1,2,360,442,19071,22263
1,2,354,466,19071,22263
1,2,360,447,19071,22263
1,2,349,462,19071,22263
1,2,365,439,19071,22263
2,3,324,453,22263,21465
2,3,358,464,22263,21465
2,3,707,482,22263,21465
2,3,358,474,22263,21465
2,3,321,464,22263,21465
2,3,321,454,22263,21465
2,3,672,441,22263,21465
2,3,682,834,22263,21465
2,3,365,494,22263,21465
2,3,363,452,22263,21465
3,4,301,367,21465,21604
3,4,297,345,21465,21604
3,4,299,354,21465,21604
3,4,294,339,21465,21604
3,4,295,336,21465,21604
3,4,303,354,21465,21604
3,4,311,350,21465,21604
3,4,304,344,21465,21604
3,4,312,347,21465,21604
3,4,304,333,21465,21604
4,5,327,381,21604,22130
4,5,351,368,21604,22130
4,5,346,382,21604,22130
4,5,345,374,21604,22130
4,5,350,386,21604,22130
4,5,349,378,21604,22130
4,5,339,381,21604,22130
4,5,347,387,21604,22130
4,5,341,367,21604,22130
4,5,338,373,21604,22130
5,6,348,257,22130,20763
5,6,342,250,22130,20763
5,6,345,266,22130,20763
5,6,344,262,22130,20763
5,6,351,267,22130,20763
5,6,349,263,22130,20763
5,6,355,261,22130,20763
5,6,349,268,22130,20763
5,6,354,266,22130,20763
5,6,333,266,22130,20763
6,7,205,137,20763,17474
6,7,191,139,20763,17474
6,7,202,140,20763,17474
6,7,190,137,20763,17474
6,7,196,131,20763,17474
6,7,192,131,20763,17474
6,7,215,137,20763,17474
6,7,194,132,20763,17474
6,7,200,145,20763,17474
6,7,198,142,20763,17474
7,8,103,262,17474,21612
7,8,110,257,17474,21612
7,8,103,265,17474,21612
7,8,103,255,17474,21612
7,8,104,265,17474,21612
7,8,97,260,17474,21612
7,8,96,256,17474,21612
7,8,109,257,17474,21612
7,8,106,263,17474,21612
7,8,103,255,17474,21612
8,9,307,421,21612,22158
8,9,314,731,21612,22158
8,9,304,711,21612,22158
8,9,304,718,21612,22158
8,9,316,726,21612,22158
8,9,315,408,21612,22158
8,9,311,722,21612,22158
8,9,318,730,21612,22158
8,9,309,719,21612,22158
8,9,313,721,21612,22158
9,10,722,845,22158,23554
9,10,731,856,22158,23554
9,10,718,845,22158,23554
9,10,724,846,22158,23554
9,10,385,860,22158,23554
9,10,717,834,22158,23554
9,10,720,851,22158,23554
9,10,707,855,22158,23554
9,10,385,865,22158,23554
9,10,720,864,22158,23554
10,11,761,459,23554,24322
10,11,790,470,23554,24322
10,11,777,451,23554,24322
10,11,785,483,23554,24322
10,11,779,481,23554,24322
10,11,778,443,23554,24322
10,11,762,484,23554,24322
10,11,788,469,23554,24322
10,11,782,454,23554,24322
10,11,768,470,23554,24322
11,12,413,311,24322,22685
11,12,418,295,24322,22685
11,12,408,303,24322,22685
11,12,409,312,24322,22685
11,12,424,311,24322,22685
11,12,400,301,24322,22685
11,12,409,289,24322,22685
11,12,410,292,24322,22685
11,12,418,300,24322,22685
11,12,407,290,24322,22685
12,13,590,190,22685,18763
12,13,309,182,22685,18763
12,13,311,191,22685,18763
12,13,312,190,22685,18763
12,13,313,191,22685,18763
12,13,490,190,22685,18763
12,13,330,189,22685,18763
12,13,322,189,22685,18763
12,13,538,180,22685,18763
12,13,325,193,22685,18763
13,14,211,137,18763,15263
13,14,207,109,18763,15263
13,14,217,120,18763,15263
13,14,206,119,18763,15263
13,14,204,126,18763,15263
13,14,210,125,18763,15263
13,14,216,126,18763,15263
13,14,191,123,18763,15263
13,14,203,124,18763,15263
13,14,215,124,18763,15263
14,15,143,440,15263,19349
14,15,145,448,15263,19349
14,15,140,395,15263,19349
14,15,146,411,15263,19349
14,15,146,409,15263,19349
14,15,152,363,15263,19349
14,15,141,384,15263,19349
14,15,144,380,15263,19349
14,15,153,437,15263,19349
14,15,151,355,15263,19349
15,16,438,612,19349,24525
15,16,440,598,19349,24525
15,16,434,600,19349,24525
15,16,402,590,19349,24525
15,16,420,595,19349,24525
