Splitting Approach,Metric,Performance Value
Oracle,AUC,0.8675173301480572
Oracle,F-1,0.4206008583690987
Oracle,MCC,0.45991114216636236
Random 90%/10%,AUC,0.8771579811697593
Random 90%/10%,F-1,0.45366528354080216
Random 90%/10%,MCC,0.4874730295953335
Random 80%/20%,AUC,0.878897613643846
Random 80%/20%,F-1,0.4410480349344978
Random 80%/20%,MCC,0.4784606950676097
Random 70%/30%,AUC,0.8835924043328128
Random 70%/30%,F-1,0.42866771512019775
Random 70%/30%,MCC,0.470889886710758
Random 60%/40%,AUC,0.8655879028526705
Random 60%/40%,F-1,0.4193795155121122
Random 60%/40%,MCC,0.457166796777397
Random 50%/50%,AUC,0.8648302721865987
Random 50%/50%,F-1,0.395274040039383
Random 50%/50%,MCC,0.4381061303111055
Oracle,AUC,0.8839688101265823
Oracle,F-1,0.43231441048034935
Oracle,MCC,0.4757606976862988
Random 90%/10%,AUC,0.8740310015525729
Random 90%/10%,F-1,0.43041506801534707
Random 90%/10%,MCC,0.468521898514907
Random 80%/20%,AUC,0.8826079640612782
Random 80%/20%,F-1,0.43256826939185794
Random 80%/20%,MCC,0.4734268027469859
Random 70%/30%,AUC,0.8680085823255809
Random 70%/30%,F-1,0.41617832931173154
Random 70%/30%,MCC,0.4554514840147836
Random 60%/40%,AUC,0.8698358843341317
Random 60%/40%,F-1,0.41051252660880955
Random 60%/40%,MCC,0.4518254756600641
Random 50%/50%,AUC,0.8672135090409993
Random 50%/50%,F-1,0.4019901766919691
Random 50%/50%,MCC,0.4443695761493606
Oracle,AUC,0.8169564699042317
Oracle,F-1,0.3454157782515992
Oracle,MCC,0.37986811854936514
Random 90%/10%,AUC,0.8909320231297019
Random 90%/10%,F-1,0.4756466241182398
Random 90%/10%,MCC,0.5104217505954264
Random 80%/20%,AUC,0.8829604862101545
Random 80%/20%,F-1,0.4411305704872551
Random 80%/20%,MCC,0.479326473930507
Random 70%/30%,AUC,0.866659230656277
Random 70%/30%,F-1,0.42741749365335796
Random 70%/30%,MCC,0.46337089254800506
Random 60%/40%,AUC,0.8632194281111588
Random 60%/40%,F-1,0.40906390562675043
Random 60%/40%,MCC,0.44783184118384123
Random 50%/50%,AUC,0.8614224441229282
Random 50%/50%,F-1,0.39705296694544007
Random 50%/50%,MCC,0.437431231528162
Oracle,AUC,0.8860652247834747
Oracle,F-1,0.46311475409836067
Oracle,MCC,0.4998530928333441
Random 90%/10%,AUC,0.8839262583863399
Random 90%/10%,F-1,0.45382220684884117
Random 90%/10%,MCC,0.4903620729773163
Random 80%/20%,AUC,0.881622028018834
Random 80%/20%,F-1,0.4288885094758409
Random 80%/20%,MCC,0.469212803516231
Random 70%/30%,AUC,0.874079156359348
Random 70%/30%,F-1,0.43567947410177943
Random 70%/30%,MCC,0.47359728248298616
Random 60%/40%,AUC,0.8705699103126479
Random 60%/40%,F-1,0.4227183303395774
Random 60%/40%,MCC,0.4612019635194568
Random 50%/50%,AUC,0.861266016452421
Random 50%/50%,F-1,0.4014107939043055
Random 50%/50%,MCC,0.44085634720811795
Oracle,AUC,0.8715418353576249
Oracle,F-1,0.4128440366972478
Oracle,MCC,0.4525926977934764
Random 90%/10%,AUC,0.881527444638271
Random 90%/10%,F-1,0.4473872584108804
Random 90%/10%,MCC,0.48554745629697466
Random 80%/20%,AUC,0.874513006283355
Random 80%/20%,F-1,0.43635102323968084
Random 80%/20%,MCC,0.47349884377586615
Random 70%/30%,AUC,0.8861931300035775
Random 70%/30%,F-1,0.43204800533392596
Random 70%/30%,MCC,0.4750282793033846
Random 60%/40%,AUC,0.8764594734162177
Random 60%/40%,F-1,0.4178324624978932
Random 60%/40%,MCC,0.4597451403867574
Random 50%/50%,AUC,0.8615124757349408
Random 50%/50%,F-1,0.39922355224846334
Random 50%/50%,MCC,0.4394481586033604
Oracle,AUC,0.8596968245991987
Oracle,F-1,0.422360248447205
Oracle,MCC,0.45780114589287957
Random 90%/10%,AUC,0.8844182008877165
Random 90%/10%,F-1,0.4502470007057162
Random 90%/10%,MCC,0.48854095772296696
Random 80%/20%,AUC,0.8701477477309911
Random 80%/20%,F-1,0.4316066725197542
Random 80%/20%,MCC,0.4679399645209591
Random 70%/30%,AUC,0.8685239138135763
Random 70%/30%,F-1,0.41558441558441556
Random 70%/30%,MCC,0.4551385371546708
Random 60%/40%,AUC,0.8691165370799222
Random 60%/40%,F-1,0.41018629294137754
Random 60%/40%,MCC,0.4510597853258955
Random 50%/50%,AUC,0.8592480589934832
Random 50%/50%,F-1,0.3938367536693896
Random 50%/50%,MCC,0.43422898209706356
Oracle,AUC,0.8664283417462821
Oracle,F-1,0.42424242424242425
