Test Name,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Oracle P,Oracle R,Oracle A,Oracle F,Oracle AUC,Oracle MCC,Oracle B
Oracle,0.28087618455802393,0.4468610973801285,0.9780995359665768,0.34493942573690733,0.8904124115662173,0.3437506862414351,0.01835121864067864,0.28087618455802393,0.4468610973801285,0.9780995359665768,0.34493942573690733,0.8904124115662173,0.3437506862414351,0.01835121864067864
Oracle,0.230399624985351,0.48591201186356897,0.9724227009615538,0.3125844661737817,0.8861185605270703,0.3223299719732974,0.023149691741210093,0.230399624985351,0.48591201186356897,0.9724227009615538,0.3125844661737817,0.8861185605270703,0.3223299719732974,0.023149691741210093
Oracle,0.268671679197995,0.39742956005931784,0.978265376090319,0.32060612102482305,0.8840519048182875,0.3161335002427112,0.01843333506811122,0.268671679197995,0.39742956005931784,0.978265376090319,0.32060612102482305,0.8840519048182875,0.3161335002427112,0.01843333506811122
Oracle,0.2834300047029315,0.4468610973801285,0.9782845114892125,0.34685851318944844,0.8892769474701953,0.34542710418040734,0.019172674722067618,0.2834300047029315,0.4468610973801285,0.9782845114892125,0.34685851318944844,0.8892769474701953,0.34542710418040734,0.019172674722067618
Oracle,0.25076330811097836,0.46688086999505685,0.9751207922055142,0.3262803350893859,0.8791359779678275,0.3306683458418723,0.021617421967886997,0.25076330811097836,0.46688086999505685,0.9751207922055142,0.3262803350893859,0.8791359779678275,0.3306683458418723,0.021617421967886997
Oracle,0.28390273012084144,0.4703410776075136,0.9778571542472613,0.35407944925109314,0.8874081503098972,0.3548968280811215,0.019397876433919624,0.28390273012084144,0.4703410776075136,0.9778571542472613,0.35407944925109314,0.8874081503098972,0.3548968280811215,0.019397876433919624
Oracle,0.21567512228415425,0.46861097380128525,0.9711533861682958,0.2953961205889226,0.8787843794310561,0.30514646234492304,0.024749459425470948,0.21567512228415425,0.46861097380128525,0.9711533861682958,0.2953961205889226,0.8787843794310561,0.30514646234492304,0.024749459425470948
Oracle,0.23579976403168718,0.34577360355907066,0.9770981167578255,0.28038881651468084,0.8805218913638935,0.2742806376677264,0.019249398168169937,0.23579976403168718,0.34577360355907066,0.9770981167578255,0.28038881651468084,0.8805218913638935,0.2742806376677264,0.019249398168169937
Oracle,0.20149253731343283,0.4337617399901137,0.9705123503053691,0.27516462841015993,0.8844305266070273,0.28245535770233277,0.023575448848354295,0.20149253731343283,0.4337617399901137,0.9705123503053691,0.27516462841015993,0.8844305266070273,0.28245535770233277,0.023575448848354295
Oracle,0.27476572958500667,0.4058329214038557,0.9785109470427835,0.32767910596687283,0.8769370248724293,0.32341766543793066,0.01902923730795318,0.27476572958500667,0.4058329214038557,0.9785109470427835,0.32767910596687283,0.8769370248724293,0.32341766543793066,0.01902923730795318
Oracle,0.28620535047078166,0.47330696984676224,0.9779719666406212,0.35671044053273726,0.8886741478007614,0.35758479875966315,0.018952137982979372,0.28620535047078166,0.47330696984676224,0.9779719666406212,0.35671044053273726,0.8886741478007614,0.35758479875966315,0.018952137982979372
Oracle,0.22156468221091252,0.46267918932278795,0.9720910207140693,0.29963985594237696,0.8827273793740382,0.30766834046166264,0.0227065057651122,0.22156468221091252,0.46267918932278795,0.9720910207140693,0.29963985594237696,0.8827273793740382,0.30766834046166264,0.0227065057651122
Oracle,0.309929213698106,0.4003954522985665,0.9807593564127506,0.34940148819152383,0.8889712602331108,0.34267132564323904,0.016882776677087617,0.309929213698106,0.4003954522985665,0.9807593564127506,0.34940148819152383,0.8889712602331108,0.34267132564323904,0.016882776677087617
Oracle,0.2620956198110507,0.45254572417202177,0.9764953516926855,0.33194343727338654,0.8865411814931335,0.33331003366991896,0.020090821227999073,0.2620956198110507,0.45254572417202177,0.9764953516926855,0.33194343727338654,0.8865411814931335,0.33331003366991896,0.020090821227999073
Oracle,0.21186150154268082,0.45823035096391496,0.9710130599097447,0.28975541142455263,0.8846454612985979,0.298705879733923,0.02316824240961416,0.21186150154268082,0.45823035096391496,0.9710130599097447,0.28975541142455263,0.8846454612985979,0.298705879733923,0.02316824240961416
Oracle,0.23846614739364888,0.49184379634206626,0.9731753599846917,0.3212008716003551,0.89346903758511,0.33047975507188654,0.021472505540040526,0.23846614739364888,0.49184379634206626,0.9731753599846917,0.3212008716003551,0.89346903758511,0.33047975507188654,0.021472505540040526
