Test Name,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Oracle P,Oracle R,Oracle A,Oracle F,Oracle AUC,Oracle MCC,Oracle B
Oracle,0.46435391470401016,0.3606030647553139,0.9863819744542425,0.405954368391764,0.9281969033321664,0.4024456284504672,0.01541396355216005,0.46435391470401016,0.3606030647553139,0.9863819744542425,0.405954368391764,0.9281969033321664,0.4024456284504672,0.01541396355216005
Oracle,0.38556430446194223,0.36307464162135444,0.9843153513737621,0.3739816700610997,0.9262082872902068,0.3662166140122644,0.015944740009461215,0.38556430446194223,0.36307464162135444,0.9843153513737621,0.3739816700610997,0.9262082872902068,0.3662166140122644,0.015944740009461215
Oracle,0.3760640961442163,0.3712308452792882,0.9839390218621933,0.3736318407960199,0.9263687774018334,0.3655052472705256,0.01611489386493731,0.3760640961442163,0.3712308452792882,0.9839390218621933,0.3736318407960199,0.9263687774018334,0.3655052472705256,0.01611489386493731
Oracle,0.4150263376767397,0.36999505684626793,0.9851413627593245,0.391219129753038,0.9255209078486433,0.3843716893754115,0.016049266265320498,0.4150263376767397,0.36999505684626793,0.9851413627593245,0.391219129753038,0.9255209078486433,0.3843716893754115,0.016049266265320498
Oracle,0.39915254237288134,0.3492338111715274,0.9848192502112867,0.37252834168204585,0.9268541510376582,0.3657140865179796,0.01584680071843793,0.39915254237288134,0.3492338111715274,0.9848192502112867,0.37252834168204585,0.9268541510376582,0.3657140865179796,0.01584680071843793
Oracle,0.42082239720035,0.35664854176964905,0.9853646090797468,0.3860869565217392,0.9255867784477296,0.3800602788140764,0.015780854074291042,0.42082239720035,0.35664854176964905,0.9853646090797468,0.3860869565217392,0.9255867784477296,0.3800602788140764,0.015780854074291042
Oracle,0.412327947336924,0.3405832921403856,0.9852274720543446,0.37303735787763936,0.9261180450166453,0.3673430857348827,0.015747646504683577,0.412327947336924,0.3405832921403856,0.9852274720543446,0.37303735787763936,0.9261180450166453,0.3673430857348827,0.015747646504683577
Oracle,0.4240774349667272,0.34651507661888287,0.9854953676388513,0.38139281828073995,0.9281168880584413,0.37608482568605134,0.015607198675733534,0.4240774349667272,0.34651507661888287,0.9854953676388513,0.38139281828073995,0.9281168880584413,0.37608482568605134,0.015607198675733534
Oracle,0.33377454224575337,0.3739495798319328,0.9822901883242174,0.35272176244317516,0.9279633177615316,0.3443441025326413,0.016329462139945676,0.33377454224575337,0.3739495798319328,0.9822901883242174,0.35272176244317516,0.9279633177615316,0.3443441025326413,0.016329462139945676
Oracle,0.3932744371615845,0.3410776075135937,0.9847076270510756,0.3653209794837856,0.9246708510734223,0.3585501741369676,0.01611454408514042,0.3932744371615845,0.3410776075135937,0.9847076270510756,0.3653209794837856,0.9246708510734223,0.3585501741369676,0.01611454408514042
Oracle,0.3732306928234418,0.37147800296589223,0.9838401556345777,0.37235228539576365,0.9264013613404076,0.3641680721268359,0.01659776398282982,0.3732306928234418,0.37147800296589223,0.9838401556345777,0.37235228539576365,0.9264013613404076,0.3641680721268359,0.01659776398282982
Oracle,0.4012091233855455,0.36085022244191794,0.9848033040455423,0.37996096291476905,0.9269674753312299,0.3728264412293673,0.01592424976940248,0.4012091233855455,0.36085022244191794,0.9848033040455423,0.37996096291476905,0.9269674753312299,0.3728264412293673,0.01592424976940248
