Splitting Approach,Metric,Performance Value
Time-based 50%/50%,AUC,0.9273417124342581
Time-based 50%/50%,F-1,0.24359379943055995
Time-based 50%/50%,MCC,0.33369525039886677
Time-based 60%/40%,AUC,0.9489004221072138
Time-based 60%/40%,F-1,0.23104895104895104
Time-based 60%/40%,MCC,0.3233489950105645
Time-based 70%/30%,AUC,0.921875801643037
Time-based 70%/30%,F-1,0.2116724738675958
Time-based 70%/30%,MCC,0.30049255286582977
Time-based 80%/20%,AUC,0.9408755496799005
Time-based 80%/20%,F-1,0.1829436038514443
Time-based 80%/20%,MCC,0.27472876869005175
Time-based 90%/10%,AUC,0.9243467681763877
Time-based 90%/10%,F-1,0.20027247956403268
Time-based 90%/10%,MCC,0.2908799512177447
Random 90%/10%,AUC,0.9634870610454698
Random 90%/10%,F-1,0.25934658134051874
Random 90%/10%,MCC,0.3514194229615672
Random 80%/20%,AUC,0.9626958219503813
Random 80%/20%,F-1,0.271944352434581
Random 80%/20%,MCC,0.3635003742147608
Random 70%/30%,AUC,0.9677887656195037
Random 70%/30%,F-1,0.27490942028985504
Random 70%/30%,MCC,0.36526147455650065
Random 60%/40%,AUC,0.9704608926118049
Random 60%/40%,F-1,0.2808438818565401
Random 60%/40%,MCC,0.3723292641899406
Random 50%/50%,AUC,0.9617337596506368
Random 50%/50%,F-1,0.2732809962100704
Random 50%/50%,MCC,0.36422545428053543
Time-based 50%/50%,AUC,0.934334164268086
Time-based 50%/50%,F-1,0.2743214028344943
Time-based 50%/50%,MCC,0.3568719262704438
Time-based 60%/40%,AUC,0.9410602243192755
Time-based 60%/40%,F-1,0.2293807275756734
Time-based 60%/40%,MCC,0.32197031259878767
Time-based 70%/30%,AUC,0.9196411987503558
Time-based 70%/30%,F-1,0.1959445894398715
Time-based 70%/30%,MCC,0.2877712644815258
Time-based 80%/20%,AUC,0.938523141132105
Time-based 80%/20%,F-1,0.17960837272113436
Time-based 80%/20%,MCC,0.2718449353200255
Time-based 90%/10%,AUC,0.925022681810346
Time-based 90%/10%,F-1,0.1961307538358906
Time-based 90%/10%,MCC,0.28737441903172056
Random 90%/10%,AUC,0.9570131178162526
Random 90%/10%,F-1,0.27533725354548594
Random 90%/10%,MCC,0.3640719349625038
Random 80%/20%,AUC,0.9702406465944597
Random 80%/20%,F-1,0.2764227642276423
Random 80%/20%,MCC,0.365925492689409
