Training Period,Testing Period,Training Error,Testing Error,Training Size,Testing Size
13,14,156,83,18763,15263
13,14,154,90,18763,15263
14,15,87,309,15263,19349
14,15,90,316,15263,19349
14,15,90,318,15263,19349
14,15,90,314,15263,19349
14,15,89,316,15263,19349
14,15,91,319,15263,19349
14,15,91,327,15263,19349
14,15,89,314,15263,19349
14,15,86,322,15263,19349
14,15,88,320,15263,19349
15,16,313,475,19349,24525
15,16,314,466,19349,24525
15,16,311,463,19349,24525
15,16,299,439,19349,24525
15,16,311,497,19349,24525
15,16,303,472,19349,24525
15,16,307,443,19349,24525
15,16,303,469,19349,24525
15,16,305,477,19349,24525
15,16,299,443,19349,24525
16,17,358,356,24525,23315
16,17,347,368,24525,23315
16,17,354,349,24525,23315
16,17,348,330,24525,23315
16,17,353,365,24525,23315
16,17,356,343,24525,23315
16,17,349,353,24525,23315
16,17,365,351,24525,23315
16,17,371,382,24525,23315
16,17,355,368,24525,23315
17,18,333,307,23315,43718
17,18,339,319,23315,43718
17,18,351,300,23315,43718
17,18,339,313,23315,43718
17,18,344,303,23315,43718
17,18,342,330,23315,43718
17,18,339,322,23315,43718
17,18,350,298,23315,43718
17,18,339,295,23315,43718
17,18,331,306,23315,43718
18,19,292,333,43718,25471
18,19,291,337,43718,25471
18,19,302,349,43718,25471
18,19,301,338,43718,25471
18,19,287,348,43718,25471
18,19,302,336,43718,25471
18,19,313,344,43718,25471
18,19,299,347,43718,25471
18,19,297,338,43718,25471
18,19,287,338,43718,25471
19,20,308,122,25471,21460
19,20,319,122,25471,21460
19,20,319,113,25471,21460
19,20,316,110,25471,21460
19,20,298,115,25471,21460
19,20,299,129,25471,21460
19,20,301,119,25471,21460
19,20,309,103,25471,21460
19,20,318,114,25471,21460
19,20,317,129,25471,21460
20,21,115,141,21460,18280
20,21,114,139,21460,18280
20,21,113,143,21460,18280
20,21,108,145,21460,18280
20,21,117,140,21460,18280
20,21,119,144,21460,18280
20,21,108,138,21460,18280
20,21,106,146,21460,18280
20,21,110,146,21460,18280
20,21,111,143,21460,18280
21,22,145,309,18280,20893
21,22,160,305,18280,20893
21,22,150,288,18280,20893
21,22,154,288,18280,20893
21,22,148,301,18280,20893
21,22,148,273,18280,20893
21,22,148,313,18280,20893
21,22,156,303,18280,20893
21,22,160,288,18280,20893
21,22,154,328,18280,20893
22,23,251,282,20893,24227
22,23,243,287,20893,24227
22,23,249,288,20893,24227
22,23,261,276,20893,24227
22,23,268,285,20893,24227
22,23,264,282,20893,24227
22,23,249,294,20893,24227
22,23,253,284,20893,24227
22,23,250,290,20893,24227
22,23,252,264,20893,24227
23,24,256,331,24227,24491
23,24,259,345,24227,24491
23,24,259,298,24227,24491
23,24,259,304,24227,24491
23,24,260,297,24227,24491
23,24,260,333,24227,24491
23,24,261,311,24227,24491
23,24,260,294,24227,24491
23,24,265,325,24227,24491
23,24,257,328,24227,24491
24,25,296,286,24491,20018
24,25,284,284,24491,20018
24,25,290,291,24491,20018
24,25,286,272,24491,20018
24,25,301,304,24491,20018
24,25,290,280,24491,20018
24,25,277,294,24491,20018
24,25,281,282,24491,20018
24,25,297,281,24491,20018
24,25,288,272,24491,20018
25,26,268,373,20018,26072
25,26,285,382,20018,26072
25,26,274,393,20018,26072
25,26,283,378,20018,26072
25,26,282,383,20018,26072
25,26,287,368,20018,26072
25,26,275,387,20018,26072
25,26,285,380,20018,26072
25,26,270,376,20018,26072
25,26,276,368,20018,26072
26,27,344,238,26072,21354
26,27,342,141,26072,21354
26,27,350,141,26072,21354
26,27,339,148,26072,21354
26,27,337,152,26072,21354
26,27,338,155,26072,21354
26,27,346,143,26072,21354
26,27,367,142,26072,21354
26,27,345,147,26072,21354
26,27,349,144,26072,21354
27,28,135,134,21354,20809
27,28,131,137,21354,20809
27,28,131,131,21354,20809
27,28,124,143,21354,20809
27,28,136,129,21354,20809
27,28,144,132,21354,20809
27,28,140,140,21354,20809
27,28,130,133,21354,20809
27,28,134,130,21354,20809
27,28,132,132,21354,20809
