Training Period,Testing Period,Training Error,Testing Error,Training Size,Testing Size
1,2,259,281,19071,22263
1,2,256,284,19071,22263
1,2,259,294,19071,22263
1,2,265,302,19071,22263
1,2,260,276,19071,22263
1,2,254,312,19071,22263
1,2,257,299,19071,22263
1,2,253,295,19071,22263
1,2,256,277,19071,22263
1,2,256,306,19071,22263
2,3,231,349,22263,21465
2,3,223,327,22263,21465
2,3,254,242,22263,21465
2,3,236,321,22263,21465
2,3,227,340,22263,21465
2,3,229,332,22263,21465
2,3,227,319,22263,21465
2,3,229,347,22263,21465
2,3,240,354,22263,21465
2,3,228,310,22263,21465
3,4,221,236,21465,21604
3,4,224,262,21465,21604
3,4,227,240,21465,21604
3,4,215,245,21465,21604
3,4,230,247,21465,21604
3,4,227,245,21465,21604
3,4,231,260,21465,21604
3,4,235,242,21465,21604
3,4,239,256,21465,21604
3,4,228,258,21465,21604
4,5,241,284,21604,22130
4,5,237,293,21604,22130
4,5,232,284,21604,22130
4,5,242,278,21604,22130
4,5,236,277,21604,22130
4,5,238,276,21604,22130
4,5,238,283,21604,22130
4,5,248,297,21604,22130
4,5,241,272,21604,22130
4,5,238,290,21604,22130
5,6,279,174,22130,20763
5,6,269,183,22130,20763
5,6,268,170,22130,20763
5,6,258,173,22130,20763
5,6,270,170,22130,20763
5,6,272,199,22130,20763
5,6,282,170,22130,20763
5,6,280,171,22130,20763
5,6,261,169,22130,20763
5,6,268,167,22130,20763
6,7,159,110,20763,17474
6,7,175,118,20763,17474
6,7,172,81,20763,17474
6,7,161,109,20763,17474
6,7,183,125,20763,17474
6,7,174,79,20763,17474
6,7,165,128,20763,17474
6,7,155,114,20763,17474
6,7,167,87,20763,17474
6,7,162,121,20763,17474
7,8,90,202,17474,21612
7,8,96,200,17474,21612
7,8,97,202,17474,21612
7,8,87,198,17474,21612
7,8,94,203,17474,21612
7,8,96,196,17474,21612
7,8,91,205,17474,21612
7,8,91,201,17474,21612
7,8,91,202,17474,21612
7,8,96,200,17474,21612
8,9,208,249,21612,22158
8,9,202,248,21612,22158
8,9,201,263,21612,22158
8,9,202,247,21612,22158
8,9,202,273,21612,22158
8,9,197,259,21612,22158
8,9,208,278,21612,22158
8,9,201,252,21612,22158
8,9,205,259,21612,22158
8,9,200,261,21612,22158
9,10,240,683,22158,23554
9,10,243,678,22158,23554
9,10,239,682,22158,23554
9,10,247,682,22158,23554
9,10,246,686,22158,23554
9,10,242,688,22158,23554
9,10,249,682,22158,23554
9,10,239,690,22158,23554
9,10,245,675,22158,23554
9,10,243,687,22158,23554
10,11,622,297,23554,24322
10,11,645,270,23554,24322
10,11,657,284,23554,24322
10,11,628,297,23554,24322
10,11,696,277,23554,24322
10,11,660,294,23554,24322
10,11,638,288,23554,24322
10,11,649,326,23554,24322
10,11,652,308,23554,24322
10,11,644,280,23554,24322
11,12,300,238,24322,22685
11,12,296,253,24322,22685
11,12,303,232,24322,22685
11,12,305,262,24322,22685
11,12,303,266,24322,22685
11,12,301,232,24322,22685
11,12,312,225,24322,22685
11,12,308,249,24322,22685
11,12,296,227,24322,22685
11,12,300,238,24322,22685
12,13,232,160,22685,18763
12,13,238,144,22685,18763
12,13,229,149,22685,18763
12,13,241,152,22685,18763
12,13,235,152,22685,18763
12,13,236,168,22685,18763
12,13,227,149,22685,18763
12,13,231,155,22685,18763
12,13,246,162,22685,18763
12,13,237,143,22685,18763
13,14,156,88,18763,15263
13,14,151,90,18763,15263
13,14,152,89,18763,15263
13,14,148,89,18763,15263
13,14,155,97,18763,15263
13,14,159,98,18763,15263
13,14,159,90,18763,15263
13,14,147,93,18763,15263
