Splitting Approach,Metric,Performance Value
Time-based 50%/50%,AUC,0.8875963767765496
Time-based 50%/50%,F-1,0.296119592875318
Time-based 50%/50%,MCC,0.3043260685238414
Time-based 60%/40%,AUC,0.8989907053781144
Time-based 60%/40%,F-1,0.37722419928825623
Time-based 60%/40%,MCC,0.3743664425228357
Time-based 70%/30%,AUC,0.8864144926816078
Time-based 70%/30%,F-1,0.31226014946475467
Time-based 70%/30%,MCC,0.3084853424966415
Time-based 80%/20%,AUC,0.8944895972986405
Time-based 80%/20%,F-1,0.28869286287089013
Time-based 80%/20%,MCC,0.2886570767716699
Time-based 90%/10%,AUC,0.9021424778692871
Time-based 90%/10%,F-1,0.2256446991404011
Time-based 90%/10%,MCC,0.25475953917452027
Random 90%/10%,AUC,0.9341103260778305
Random 90%/10%,F-1,0.44272445820433437
Random 90%/10%,MCC,0.4402082461329588
Random 80%/20%,AUC,0.9368902290310958
Random 80%/20%,F-1,0.4241008874357777
Random 80%/20%,MCC,0.42816499915745515
Random 70%/30%,AUC,0.930571888354833
Random 70%/30%,F-1,0.4273364867068994
Random 70%/30%,MCC,0.42756951898671897
Random 60%/40%,AUC,0.9247175079145215
Random 60%/40%,F-1,0.4201120298746332
Random 60%/40%,MCC,0.4140448895983793
Random 50%/50%,AUC,0.9281824576432471
Random 50%/50%,F-1,0.3983856502242153
Random 50%/50%,MCC,0.4044371385145211
Time-based 50%/50%,AUC,0.8952842553918501
Time-based 50%/50%,F-1,0.3597601598934044
Time-based 50%/50%,MCC,0.35937489519299165
Time-based 60%/40%,AUC,0.8912669340239423
Time-based 60%/40%,F-1,0.3507919990750376
Time-based 60%/40%,MCC,0.3551916473550498
Time-based 70%/30%,AUC,0.8810451793129642
Time-based 70%/30%,F-1,0.27578910245106686
Time-based 70%/30%,MCC,0.27727156723344687
Time-based 80%/20%,AUC,0.8879777268685614
Time-based 80%/20%,F-1,0.26354245401864446
Time-based 80%/20%,MCC,0.26538312355319893
Time-based 90%/10%,AUC,0.9069489197558199
Time-based 90%/10%,F-1,0.29144768275203053
Time-based 90%/10%,MCC,0.30543437734593853
Random 90%/10%,AUC,0.9307126843329772
Random 90%/10%,F-1,0.43379701184956204
Random 90%/10%,MCC,0.43299722650207895
Random 80%/20%,AUC,0.9305748464633444
Random 80%/20%,F-1,0.4208081746400371
Random 80%/20%,MCC,0.42384246206648385
Random 70%/30%,AUC,0.933454872644071
Random 70%/30%,F-1,0.4065554052022252
Random 70%/30%,MCC,0.410317031553195
Random 60%/40%,AUC,0.9284304844447564
Random 60%/40%,F-1,0.4222597778850797
Random 60%/40%,MCC,0.4230503598084588
Random 50%/50%,AUC,0.9255999440801862
Random 50%/50%,F-1,0.40314369920514415
Random 50%/50%,MCC,0.40866568960223854
Time-based 50%/50%,AUC,0.8876332592971585
Time-based 50%/50%,F-1,0.3143254520166898
Time-based 50%/50%,MCC,0.32191514663807697
Time-based 60%/40%,AUC,0.8882361229647316
Time-based 60%/40%,F-1,0.3854051054384018
Time-based 60%/40%,MCC,0.3803741586193734
Time-based 70%/30%,AUC,0.8671347233304956
Time-based 70%/30%,F-1,0.27052631578947367
Time-based 70%/30%,MCC,0.2719874313630449
Time-based 80%/20%,AUC,0.8731866609943333
Time-based 80%/20%,F-1,0.26181147729891674
Time-based 80%/20%,MCC,0.269120052050077
Time-based 90%/10%,AUC,0.8987682690524676
Time-based 90%/10%,F-1,0.2297872340425532
Time-based 90%/10%,MCC,0.2530452507846637
Random 90%/10%,AUC,0.9360626923124529
Random 90%/10%,F-1,0.4083816317432011
Random 90%/10%,MCC,0.41270719567539527
Random 80%/20%,AUC,0.9277981015473268
Random 80%/20%,F-1,0.4366812227074236
Random 80%/20%,MCC,0.43006585684271703
Random 70%/30%,AUC,0.9308456105847281
Random 70%/30%,F-1,0.39119440725866433
Random 70%/30%,MCC,0.39630870904633925
Random 60%/40%,AUC,0.9315368281492324
Random 60%/40%,F-1,0.41641025641025636
Random 60%/40%,MCC,0.4134944700129416
Random 50%/50%,AUC,0.925413279706707
Random 50%/50%,F-1,0.39713289422704384
Random 50%/50%,MCC,0.3969211780942644
Time-based 50%/50%,AUC,0.88501265028054
Time-based 50%/50%,F-1,0.29859673337934206
Time-based 50%/50%,MCC,0.3099554649320248
Time-based 60%/40%,AUC,0.9027049597299832
Time-based 60%/40%,F-1,0.3494543365881677
Time-based 60%/40%,MCC,0.35425817923812286
Time-based 70%/30%,AUC,0.8827755138019561
Time-based 70%/30%,F-1,0.2864497150211436
Time-based 70%/30%,MCC,0.2861891152614691
Time-based 80%/20%,AUC,0.8802607264978258
Time-based 80%/20%,F-1,0.27984044185332924
Time-based 80%/20%,MCC,0.2736449551762352
Time-based 90%/10%,AUC,0.9292186078818653
Time-based 90%/10%,F-1,0.3599339570720969
Time-based 90%/10%,MCC,0.3677028130522391
Random 90%/10%,AUC,0.9283822812682487
Random 90%/10%,F-1,0.43661971830985913
Random 90%/10%,MCC,0.4326022160119703
Random 80%/20%,AUC,0.9361451646177246
Random 80%/20%,F-1,0.45202902445579146
Random 80%/20%,MCC,0.4473292869871942
Random 70%/30%,AUC,0.9288575656764083
Random 70%/30%,F-1,0.4217585692995529
Random 70%/30%,MCC,0.4154156594578995
Random 60%/40%,AUC,0.9250538786665841
Random 60%/40%,F-1,0.4359464627151052
Random 60%/40%,MCC,0.43041598202642833
Random 50%/50%,AUC,0.9211356752972764
Random 50%/50%,F-1,0.41179440573563564
Random 50%/50%,MCC,0.40850624909592453
Time-based 50%/50%,AUC,0.8821625442572879
Time-based 50%/50%,F-1,0.3232476046394352
Time-based 50%/50%,MCC,0.32945522318400217
Time-based 60%/40%,AUC,0.897359978897175
Time-based 60%/40%,F-1,0.3850089890748168
Time-based 60%/40%,MCC,0.38009957538335193
Time-based 70%/30%,AUC,0.8745785551299845
Time-based 70%/30%,F-1,0.2894978848629759
Time-based 70%/30%,MCC,0.2893656429080204
Time-based 80%/20%,AUC,0.8699116668926625
Time-based 80%/20%,F-1,0.23649431949918848
Time-based 80%/20%,MCC,0.24114670192025733
Time-based 90%/10%,AUC,0.9200722105854954
Time-based 90%/10%,F-1,0.3185924869234427
Time-based 90%/10%,MCC,0.3357807115527227
Random 90%/10%,AUC,0.9237444697657754
Random 90%/10%,F-1,0.4131506849315068
Random 90%/10%,MCC,0.41101103280196183
Random 80%/20%,AUC,0.9341433005880574
Random 80%/20%,F-1,0.43180563224737717
Random 80%/20%,MCC,0.425940803032981
Random 70%/30%,AUC,0.9348436427346895
Random 70%/30%,F-1,0.39138381201044387
Random 70%/30%,MCC,0.40627715722372554
Random 60%/40%,AUC,0.9204344105312656
Random 60%/40%,F-1,0.4158761857214179
Random 60%/40%,MCC,0.41245599619056394
Random 50%/50%,AUC,0.9332837580444033
Random 50%/50%,F-1,0.3923823889884039
Random 50%/50%,MCC,0.3956463786625779
Time-based 50%/50%,AUC,0.8742697415438383
Time-based 50%/50%,F-1,0.3407704042715484
Time-based 50%/50%,MCC,0.3394238549424816
Time-based 60%/40%,AUC,0.8923726422712627
Time-based 60%/40%,F-1,0.3427758941266542
Time-based 60%/40%,MCC,0.35101475744328603
Time-based 70%/30%,AUC,0.8886166392619574
Time-based 70%/30%,F-1,0.3004881576568432
Time-based 70%/30%,MCC,0.30188315027201756
Time-based 80%/20%,AUC,0.8810533695435346
Time-based 80%/20%,F-1,0.28036383092562867
Time-based 80%/20%,MCC,0.2798646053205284
Time-based 90%/10%,AUC,0.9219374309689577
Time-based 90%/10%,F-1,0.3380762663631189
Time-based 90%/10%,MCC,0.3420995210612099
Random 90%/10%,AUC,0.9315947262166424
Random 90%/10%,F-1,0.4586549062844543
Random 90%/10%,MCC,0.45244995351909206
Random 80%/20%,AUC,0.9300418853563803
Random 80%/20%,F-1,0.42917181705809637
Random 80%/20%,MCC,0.4264865198770072
Random 70%/30%,AUC,0.92533494315536
Random 70%/30%,F-1,0.41465677179962895
Random 70%/30%,MCC,0.41745324870984934
Random 60%/40%,AUC,0.9276800766470917
Random 60%/40%,F-1,0.4047976011994002
Random 60%/40%,MCC,0.40874695369415515
Random 50%/50%,AUC,0.9236895546987319
Random 50%/50%,F-1,0.39935557240333586
Random 50%/50%,MCC,0.4000885541132111
Time-based 50%/50%,AUC,0.8868792051190189
Time-based 50%/50%,F-1,0.3372480280455741
Time-based 50%/50%,MCC,0.34128675953170295
Time-based 60%/40%,AUC,0.8999180983615738
Time-based 60%/40%,F-1,0.3641769743101808
Time-based 60%/40%,MCC,0.3672528447322937
Time-based 70%/30%,AUC,0.8866702538158007
Time-based 70%/30%,F-1,0.2875888463641334
Time-based 70%/30%,MCC,0.2878614707876929
Time-based 80%/20%,AUC,0.8772885849829891
Time-based 80%/20%,F-1,0.2227488151658768
Time-based 80%/20%,MCC,0.23640005215651202
Time-based 90%/10%,AUC,0.9213206360748007
Time-based 90%/10%,F-1,0.29430523917995444
Time-based 90%/10%,MCC,0.31273131767331114
